"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.09735888140859657,0.09000989119683453,0.09948371723590221,0.09620000000000026,"","",0,0.03158984981874676,0.026046818331684832,0.026211278792692565,0.027199999999999988,"","",0,0.0025893319523562918,0.002637652489284537,0.001985702938840349,0.0023
1,0.189021232522011,0.17606330365974324,0.19102462271644338,0.18610000000000135,"","",1,0.06162610046607974,0.06033630069238395,0.05718824463860229,0.059000000000000156,"","",1,0.0124287933713102,0.01351796900758324,0.009928514694201748,0.011499999999999996
2,0.2770585189021258,0.2716782063963083,0.2732327243844348,0.2735000000000022,"","",2,0.09218021750388398,0.09165842400263734,0.08657664813343979,0.08920000000000018,"","",2,0.030036250647332983,0.027365644576327106,0.027204130262112734,0.027799999999999984
3,0.35577421025375494,0.3376195186284178,0.3447180301826882,0.344700000000001,"","",3,0.12118073537027445,0.1269370260468175,0.11616362192216134,0.1204000000000002,"","",3,0.04919730709476954,0.05176393010220917,0.04567116759332813,0.04820000000000008
4,0.41791817711030427,0.4025717111770457,0.413026211278797,0.4107999999999999,"","",4,0.14759192128430923,0.1632047477744808,0.15031771247021575,0.15370000000000078,"","",4,0.06939409632314862,0.08143752060665993,0.0700953137410647,0.07340000000000013
5,0.4800621439668536,0.46224859874710483,0.4720015885623561,0.4705999999999988,"","",5,0.15225271879855068,0.17441477085394036,0.16679904686259084,0.166300000000001,"","",5,0.08803728638011392,0.09825255522584857,0.09273232724384495,0.09350000000000018
6,0.5282237182806794,0.5146719419716344,0.525019857029394,0.5224999999999987,"","",6,0.16209218021750485,0.18265743488295474,0.18069896743447345,0.1777000000000012,"","",6,0.0994303469704816,0.11374876360039496,0.11000794281175619,0.10910000000000021
7,0.5779388917659188,0.564787339268046,0.5716838760921428,0.5708000000000004,"","",7,0.17141377524598775,0.1968348170128595,0.1932088959491678,0.1901000000000014,"","",7,0.10771620921802173,0.12759643916913865,0.12410643367752283,0.12200000000000025
8,0.6178146038322047,0.6099571381470487,0.615567911040515,0.614300000000002,"","",8,0.19212843086483863,0.2100230794592825,0.20353455123113773,0.20330000000000167,"","",8,0.12843086483687216,0.14540059347180972,0.1362192216044491,0.13750000000000048
9,0.654583117555663,0.6465545664358756,0.6552819698173225,0.6525000000000032,"","",9,0.20300362506473535,0.21562809099901228,0.21207307386815133,0.2114000000000018,"","",9,0.14914552045572305,0.155291790306627,0.14932486100079556,0.15110000000000073
10,0.6835836354220527,0.6808440487965783,0.6886417791898407,0.6853000000000044,"","",10,0.2185396167788735,0.22716782063963242,0.22398729150119356,0.2239000000000021,"","",10,0.16519937856033248,0.17078799868117403,0.16421763304209835,0.166400000000001
11,0.7131020196789136,0.711836465545675,0.7237887212073153,0.7181000000000055,"","",11,0.23045054375971277,0.23178371249588048,0.23173153296267102,0.23150000000000218,"","",11,0.18125323666494192,0.17837124958786726,0.1761318506751406,0.17780000000000123
12,0.7389953392024758,0.7408506429278081,0.7501985702938923,0.7452000000000064,"","",12,0.23770067322631058,0.23606989779096796,0.23947577442414847,0.2381000000000023,"","",12,0.1926462972553099,0.18496538081107877,0.18804606830818282,0.18800000000000142
13,0.7612635939927394,0.7655786350148533,0.7795869737887298,0.7718000000000073,"","",13,0.24339720352149458,0.23310253874052278,0.24861000794281418,0.24290000000000236,"","",13,0.19989642672190772,0.1885921529838451,0.20293884034948562,0.19800000000000154
14,0.7856033143448878,0.7896472139795774,0.8014297061159739,0.7948000000000081,"","",14,0.2527187985499773,0.2393669634025737,0.25814138204924797,0.2514000000000025,"","",14,0.21180735370274698,0.19353775140125373,0.21803018268467245,0.20940000000000172
15,0.8094251683065651,0.8117375535773378,0.818308181096117,0.8146000000000089,"","",15,0.2527187985499773,0.2436531486976612,0.26290706910246486,0.25510000000000255,"","",15,0.21905748316934479,0.2007912957467864,0.22458300238284568,0.21630000000000185
