"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.101538461538462,0.107646865769609,0.10073955626624125,0.10300000000000045,"","",0,0.026153846153846135,0.028880866425992715,0.027183689786128284,0.027499999999999955,"","",0,0.0015384615384615385,0.0026255333114538894,0.002998201079352388,0.0026
1,0.2030769230769227,0.19724319002297558,0.18488906656006204,0.19219999999999965,"","",1,0.05435897435897432,0.06137184115523443,0.054367379572256944,0.05650000000000007,"","",1,0.010769230769230764,0.015753199868723335,0.010193883669798122,0.012
2,0.2810256410256412,0.2697735477518903,0.26604037577452894,0.27009999999999784,"","",2,0.07948717948717966,0.0905808992451588,0.08275034979012665,0.08450000000000027,"","",2,0.022051282051282036,0.031506399737446594,0.026384169498300983,0.027099999999999954
3,0.354871794871798,0.3416475221529371,0.3377973216070255,0.3422999999999954,"","",3,0.11076923076923134,0.12274368231046878,0.11373176094343512,0.11590000000000054,"","",3,0.044615384615384585,0.052838857893009336,0.04597241655007013,0.04780000000000002
4,0.41897435897436464,0.4003938299967151,0.4065560663601699,0.4070999999999932,"","",4,0.14153846153846206,0.15654742369543878,0.147111732960224,0.14890000000000037,"","",4,0.06871794871794876,0.07318674105677687,0.0727563461922852,0.0721000000000002
5,0.4861538461538545,0.4640630127994689,0.46991804917048025,0.47129999999999106,"","",5,0.15948717948717975,0.1749261568756167,0.1631021387167692,0.1660000000000001,"","",5,0.09333333333333368,0.09484739087627135,0.09474315410753638,0.0945000000000004
6,0.5394871794871899,0.5126353790613636,0.5252848291025181,0.5241999999999892,"","",6,0.16974358974358986,0.1906793567443406,0.17549470317809174,0.1789999999999999,"","",6,0.11333333333333394,0.11322612405644848,0.10893463921647123,0.11110000000000055
7,0.5800000000000121,0.5635050869707803,0.5706576054367151,0.5702999999999876,"","",7,0.19025641025641007,0.2028224483098153,0.18988606835898242,0.1938999999999996,"","",7,0.13230769230769296,0.12963570725303541,0.12652408554867206,0.12860000000000066
8,0.6210256410256547,0.6127338365605384,0.6110333799719917,0.6134999999999862,"","",8,0.21282051282051231,0.21266819822776775,0.2028782730361754,0.20779999999999926,"","",8,0.1543589743589747,0.14341975713816885,0.13991605036977867,0.14380000000000037
9,0.6564102564102715,0.6498194945848228,0.6504097541474843,0.6513999999999848,"","",9,0.2215384615384609,0.21988841483426622,0.2148710773535843,0.217699999999999,"","",9,0.1656410256410258,0.15589104036757528,0.1589046572056761,0.15929999999999997
10,0.6933333333333499,0.6803413193304728,0.6829902058764451,0.6841999999999838,"","",10,0.23230769230769152,0.2346570397111949,0.2256646012392523,0.22969999999999885,"","",10,0.17743589743589744,0.1736133902198897,0.170897461523085,0.17299999999999982
11,0.7210256410256587,0.7131604857236449,0.7161702978212764,0.7161999999999826,"","",11,0.24615384615384517,0.23925172300623937,0.23965620627622936,0.2407999999999985,"","",11,0.19435897435897412,0.1824745651460469,0.18668798720767338,0.18689999999999943
