"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",0,0.09615384615384612,0.13017751479289943,0.11013215859030848,0.11400000000000006,"","",0,0.08653846153846151,0.12426035502958584,0.1079295154185023,0.10900000000000006
1,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",1,0.2211538461538463,0.24556213017751433,0.2356828193832595,0.2359999999999997,"","",1,0.19711538461538472,0.23076923076923037,0.22907488986784103,0.22299999999999973
2,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",2,0.4134615384615381,0.40828402366863936,0.39647577092511077,0.40400000000000036,"","",2,0.38461538461538436,0.37869822485207116,0.38546255506607985,0.38300000000000023
3,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",3,0.5673076923076914,0.5917159763313622,0.5528634361233499,0.5690000000000012,"","",3,0.5240384615384608,0.5591715976331372,0.5264317180616757,0.5370000000000009
4,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",4,0.6778846153846141,0.7248520710059191,0.6872246696035271,0.6980000000000016,"","",4,0.6346153846153835,0.67751479289941,0.6453744493392096,0.6540000000000016
5,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",5,0.7403846153846139,0.7278106508875759,0.7224669603524261,0.7280000000000019,"","",5,0.692307692307691,0.6804733727810668,0.6674008810572715,0.6770000000000016
6,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",6,0.7019230769230755,0.7278106508875759,0.7136563876652013,0.7160000000000019,"","",6,0.6634615384615372,0.67751479289941,0.6453744493392096,0.6600000000000016
7,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",7,0.6201923076923066,0.6804733727810668,0.6585903083700467,0.6580000000000016,"","",7,0.5673076923076914,0.6331360946745577,0.5881057268722488,0.5990000000000012
8,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",8,0.5673076923076914,0.5857988165680486,0.6101321585903107,0.5930000000000013,"","",8,0.5048076923076916,0.5384615384615394,0.5374449339207066,0.531000000000001
9,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",9,0.49519230769230704,0.5207100591715985,0.5440528634361251,0.5260000000000009,"","",9,0.43269230769230727,0.4733727810650894,0.4801762114537458,0.46800000000000075
10,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",10,0.43749999999999956,0.4852071005917167,0.47136563876652104,0.4690000000000007,"","",10,0.38461538461538436,0.43491124260355074,0.41409691629956025,0.4150000000000005
11,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",11,0.3749999999999998,0.414201183431953,0.41409691629956025,0.4060000000000004,"","",11,0.32692307692307687,0.3698224852071007,0.3612334801762118,0.3570000000000002
12,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",12,0.3557692307692306,0.3727810650887575,0.35903083700440563,0.36300000000000016,"","",12,0.3125,0.33431952662721887,0.303964757709251,0.31599999999999995
13,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",13,0.29807692307692313,0.3136094674556211,0.31277533039647576,0.30999999999999994,"","",13,0.2692307692307694,0.2781065088757393,0.26872246696035207,0.2719999999999998
14,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",14,0.2740384615384617,0.2928994082840234,0.279735682819383,0.2829999999999998,"","",14,0.2451923076923079,0.25739644970414155,0.2356828193832595,0.24499999999999972
15,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",15,0.23557692307692327,0.26035502958579837,0.25550660792951496,0.25299999999999967,"","",15,0.20192307692307704,0.23076923076923037,0.21585903083700408,0.21799999999999975
16,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",16,0.2211538461538463,0.22781065088757357,0.23348017621145334,0.2289999999999997,"","",16,0.1923076923076924,0.19822485207100565,0.200440528634361,0.19799999999999984
17,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",17,0.18750000000000008,0.2189349112426032,0.2202643171806164,0.21299999999999975,"","",17,0.1634615384615385,0.18934911242603528,0.19162995594713636,0.18499999999999983
18,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",18,0.18269230769230776,0.19526627218934886,0.20925110132158561,0.1989999999999998,"","",18,0.15865384615384617,0.17455621301775132,0.18061674008810558,0.17399999999999988
19,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",19,0.17788461538461545,0.1804733727810649,0.200440528634361,0.18899999999999983,"","",19,0.15384615384615385,0.15976331360946736,0.17621145374449326,0.16599999999999993
20,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",20,0.17788461538461545,0.19822485207100565,0.22687224669603487,0.20699999999999977,"","",20,0.15384615384615385,0.1834319526627217,0.20264317180616714,0.18599999999999983
21,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",21,0.2211538461538463,0.25739644970414155,0.2621145374449335,0.2519999999999997,"","",21,0.20192307692307704,0.24260355029585753,0.2400881057268718,0.23299999999999965
22,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",22,0.27884615384615397,0.3402366863905325,0.3458149779735685,0.3300000000000001,"","",22,0.2596153846153848,0.3224852071005916,0.3237885462555067,0.31
23,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",23,0.37980769230769207,0.4260355029585803,0.4361233480176221,0.4210000000000005,"","",23,0.3557692307692306,0.3994082840236689,0.4074889867841417,0.3940000000000004
24,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",24,0.48557692307692246,0.5236686390532553,0.5132158590308386,0.5110000000000009,"","",24,0.461538461538461,0.49408284023668714,0.48237885462555197,0.4820000000000007
25,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",25,0.5576923076923068,0.5769230769230781,0.5792951541850241,0.5740000000000012,"","",25,0.5384615384615377,0.5414201183431963,0.541850220264319,0.5410000000000009
26,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",26,0.6153846153846143,0.6065088757396463,0.5991189427312797,0.6050000000000012,"","",26,0.5913461538461529,0.5650887573964508,0.5572687224669622,0.5670000000000011
27,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",27,0.6057692307692297,0.6065088757396463,0.5925110132158612,0.6000000000000011,"","",27,0.5817307692307683,0.562130177514794,0.5484581497797375,0.560000000000001
28,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",28,0.5721153846153837,0.5680473372781076,0.5859030837004426,0.5770000000000012,"","",28,0.54326923076923,0.5266272189349122,0.5352422907489004,0.5340000000000009
29,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",29,0.5288461538461531,0.5680473372781076,0.5704845814977993,0.5610000000000012,"","",29,0.49519230769230704,0.529585798816569,0.5198237885462571,0.5180000000000009
30,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",30,0.5144230769230762,0.5680473372781076,0.5550660792951561,0.5510000000000012,"","",30,0.4759615384615379,0.5355029585798826,0.5000000000000014,0.5070000000000009
31,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",31,0.4567307692307687,0.5177514792899417,0.5286343612334818,0.5100000000000009,"","",31,0.4134615384615381,0.4852071005917167,0.4757709251101334,0.46600000000000075
32,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",32,0.4519230769230764,0.4704142011834326,0.4669603524229087,0.4650000000000007,"","",32,0.4038461538461535,0.43491124260355074,0.41629955947136643,0.42000000000000043
33,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",33,0.43749999999999956,0.46745562130177576,0.42951541850220354,0.4440000000000005,"","",33,0.38461538461538436,0.43491124260355074,0.3898678414096922,0.40400000000000036
34,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",34,0.43269230769230727,0.43786982248520756,0.39647577092511077,0.4180000000000003,"","",34,0.38461538461538436,0.40532544378698254,0.35682819383259945,0.37900000000000017
35,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",35,0.39903846153846123,0.4260355029585803,0.3766519823788551,0.39800000000000035,"","",35,0.3509615384615383,0.3875739644970416,0.3348017621145376,0.3560000000000001
36,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",36,0.37980769230769207,0.39053254437869844,0.3502202643171809,0.3700000000000001,"","",36,0.32692307692307687,0.3579881656804734,0.3193832599118943,0.334
37,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",37,0.3605769230769229,0.3550295857988166,0.3215859030837005,0.341,"","",37,0.3125,0.3224852071005916,0.2929515418502201,0.3069999999999999
38,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",38,0.34615384615384603,0.3284023668639052,0.3193832599118943,0.328,"","",38,0.3076923076923077,0.30177514792899385,0.28854625550660773,0.2969999999999998
39,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",39,0.3221153846153846,0.31656804733727795,0.31277533039647576,0.31599999999999995,"","",39,0.27884615384615397,0.2928994082840234,0.28414096916299536,0.2859999999999998
40,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",40,0.3125,0.3106508875739643,0.31718061674008813,0.31399999999999995,"","",40,0.2644230769230771,0.28698224852070975,0.28854625550660773,0.28299999999999986
41,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",41,0.29326923076923084,0.3254437869822484,0.3348017621145376,0.32300000000000006,"","",41,0.2500000000000002,0.29881656804733703,0.303964757709251,0.29099999999999987
42,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",42,0.3125,0.3579881656804734,0.3810572687224675,0.3590000000000002,"","",42,0.2740384615384617,0.33136094674556205,0.3502202643171809,0.3280000000000001
43,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",43,0.3653846153846152,0.4023668639053257,0.4185022026431726,0.40200000000000047,"","",43,0.3221153846153846,0.3698224852071007,0.38766519823788603,0.3680000000000003
44,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",44,0.4134615384615381,0.4585798816568053,0.4669603524229087,0.4530000000000007,"","",44,0.3701923076923075,0.4289940828402371,0.4339207048458159,0.4190000000000006
45,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",45,0.49519230769230704,0.4763313609467462,0.5000000000000014,0.49100000000000077,"","",45,0.461538461538461,0.446745562130178,0.4669603524229087,0.4590000000000006
46,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",46,0.5576923076923068,0.5236686390532553,0.5264317180616757,0.5320000000000009,"","",46,0.5192307692307685,0.4911242603550303,0.4933920704845829,0.4980000000000007
47,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",47,0.5817307692307683,0.5414201183431963,0.5374449339207066,0.5480000000000009,"","",47,0.54326923076923,0.5147928994082849,0.5088105726872262,0.5180000000000008
48,0.908653846153844,0.9082840236686419,0.9052863436123394,0.9070000000000026,"","",48,0.5913461538461529,0.5502958579881667,0.5572687224669622,0.5620000000000009,"","",48,0.5528846153846145,0.5236686390532553,0.5176211453744509,0.5270000000000008
