"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.36266666666666647,0.4108391608391627,0.35992402659069445,0.3750000000000011,"","",0,0.07999999999999997,0.06118881118881125,0.0788224121557454,0.07399999999999997,"","",0,0.03200000000000001,0.036713286713286726,0.0398860398860399,0.03750000000000001
1,0.36266666666666647,0.4108391608391627,0.35992402659069445,0.3750000000000011,"","",1,0.12799999999999995,0.11188811188811185,0.13010446343779633,0.12449999999999975,"","",1,0.06399999999999999,0.062937062937063,0.05887939221272557,0.061000000000000026
2,0.36266666666666647,0.4108391608391627,0.35992402659069445,0.3750000000000011,"","",2,0.17866666666666683,0.17132867132867116,0.19468186134852714,0.1849999999999995,"","",2,0.08799999999999997,0.09790209790209789,0.08736942070275389,0.09049999999999991
3,0.36266666666666647,0.4108391608391627,0.35992402659069445,0.3750000000000011,"","",3,0.24000000000000044,0.20979020979020954,0.25071225071224945,0.23699999999999935,"","",3,0.11466666666666661,0.11713286713286708,0.11301044634377935,0.1144999999999998
4,0.36266666666666647,0.4108391608391627,0.35992402659069445,0.3750000000000011,"","",4,0.2960000000000002,0.26398601398601385,0.3019943019943019,0.2899999999999999,"","",4,0.14133333333333334,0.14685314685314674,0.13675213675213627,0.1404999999999997
5,0.36266666666666647,0.4108391608391627,0.35992402659069445,0.3750000000000011,"","",5,0.28266666666666695,0.277972027972028,0.29439696106362745,0.28749999999999987,"","",5,0.14933333333333337,0.15034965034965023,0.13770180436847054,0.1434999999999997
6,0.36266666666666647,0.4108391608391627,0.35992402659069445,0.3750000000000011,"","",6,0.30400000000000016,0.277972027972028,0.31339031339031354,0.3015000000000001,"","",6,0.15200000000000005,0.15209790209790197,0.15099715099715041,0.15149999999999966
7,0.36266666666666647,0.4108391608391627,0.35992402659069445,0.3750000000000011,"","",7,0.30933333333333346,0.2867132867132869,0.32003798670465367,0.3085000000000002,"","",7,0.14133333333333334,0.1573426573426572,0.14814814814814758,0.14949999999999966
8,0.36266666666666647,0.4108391608391627,0.35992402659069445,0.3750000000000011,"","",8,0.3386666666666666,0.3181818181818188,0.3257359924026595,0.3260000000000004,"","",8,0.1573333333333334,0.1765734265734264,0.15384615384615324,0.16099999999999967
9,0.36266666666666647,0.4108391608391627,0.35992402659069445,0.3750000000000011,"","",9,0.33599999999999997,0.3286713286713294,0.3228869895536566,0.3270000000000004,"","",9,0.16533333333333344,0.17832167832167814,0.1471984805318133,0.15949999999999967
