"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.4164456233421744,0.3888888888888878,0.3504531722054356,0.3749999999999983,"","",0,0.0875331564986738,0.05555555555555559,0.05840886203423972,0.06300000000000004,"","",0,0.05039787798408488,0.026984126984126992,0.032225579053373636,0.034000000000000016
1,0.4164456233421744,0.3888888888888878,0.3504531722054356,0.3749999999999983,"","",1,0.1564986737400531,0.11428571428571414,0.12185297079556907,0.126,"","",1,0.09814323607427064,0.06349206349206353,0.060422960725075574,0.06850000000000006
2,0.4164456233421744,0.3888888888888878,0.3504531722054356,0.3749999999999983,"","",2,0.20954907161803704,0.16666666666666635,0.17623363544813708,0.17949999999999994,"","",2,0.11671087533156511,0.08730158730158726,0.08358509566968787,0.09100000000000004
3,0.4164456233421744,0.3888888888888878,0.3504531722054356,0.3749999999999983,"","",3,0.249336870026525,0.21904761904761855,0.22356495468277962,0.2269999999999999,"","",3,0.13793103448275873,0.11428571428571414,0.11077542799597188,0.11700000000000003
4,0.4164456233421744,0.3888888888888878,0.3504531722054356,0.3749999999999983,"","",4,0.3050397877984081,0.27777777777777707,0.2890231621349438,0.2884999999999993,"","",4,0.1671087533156499,0.1460317460317458,0.13796576032225588,0.14599999999999996
5,0.4164456233421744,0.3888888888888878,0.3504531722054356,0.3749999999999983,"","",5,0.3023872679045089,0.29841269841269763,0.30312185297079436,0.3014999999999991,"","",5,0.1538461538461539,0.15555555555555528,0.14501510574018137,0.14999999999999997
6,0.4164456233421744,0.3888888888888878,0.3504531722054356,0.3749999999999983,"","",6,0.3050397877984081,0.3111111111111103,0.3272910372608239,0.31799999999999873,"","",6,0.14588859416445632,0.15714285714285686,0.150050352467271,0.1515
7,0.4164456233421744,0.3888888888888878,0.3504531722054356,0.3749999999999983,"","",7,0.3129973474801057,0.3206349206349198,0.3474320241691819,0.33249999999999846,"","",7,0.1511936339522547,0.15873015873015844,0.16314199395770404,0.15949999999999998
8,0.4164456233421744,0.3888888888888878,0.3504531722054356,0.3749999999999983,"","",8,0.3289124668435009,0.3269841269841261,0.3615307150050325,0.3444999999999983,"","",8,0.1697612732095491,0.1619047619047616,0.16012084592145026,0.16249999999999998
9,0.4164456233421744,0.3888888888888878,0.3504531722054356,0.3749999999999983,"","",9,0.3448275862068961,0.3333333333333324,0.3595166163141967,0.3484999999999983,"","",9,0.1724137931034483,0.1619047619047616,0.15508559919436063,0.16049999999999998
