"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",0,0.31500000000000017,0.3251748251748249,0.26070038910505766,0.28999999999999954,"","",0,0.17000000000000007,0.17832167832167833,0.17704280155641983,0.1759999999999998
1,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",1,0.5100000000000003,0.5349650349650348,0.4630350194552515,0.49299999999999927,"","",1,0.2500000000000001,0.27622377622377603,0.27626459143968796,0.2709999999999995
2,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",2,0.6250000000000004,0.6818181818181837,0.622568093385212,0.6399999999999996,"","",2,0.30500000000000016,0.33216783216783186,0.3618677042801546,0.3419999999999994
3,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",3,0.7000000000000005,0.7517482517482545,0.7081712062256786,0.7189999999999998,"","",3,0.3400000000000002,0.37062937062937024,0.39688715953307274,0.37799999999999934
4,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",4,0.8000000000000006,0.8111888111888148,0.7762645914396862,0.7909999999999998,"","",4,0.3650000000000002,0.39160839160839117,0.42607003891050454,0.40399999999999925
5,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",5,0.6650000000000005,0.6503496503496518,0.6964980544747059,0.6769999999999993,"","",5,0.27500000000000013,0.29020979020979,0.35019455252918186,0.31799999999999945
6,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",6,0.5700000000000004,0.5594405594405596,0.6128404669260681,0.5889999999999991,"","",6,0.23000000000000012,0.23776223776223765,0.2996108949416334,0.26799999999999957
7,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",7,0.5300000000000004,0.46503496503496444,0.5214007782101151,0.506999999999999,"","",7,0.19000000000000009,0.18181818181818182,0.23151750972762586,0.2089999999999997
8,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",8,0.4800000000000003,0.43706293706293653,0.4785992217898818,0.4669999999999991,"","",8,0.16500000000000006,0.16783216783216787,0.20233463035019406,0.18499999999999978
9,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",9,0.40500000000000025,0.3741258741258737,0.42412451361867576,0.4059999999999993,"","",9,0.14000000000000004,0.125874125874126,0.1828793774319062,0.15799999999999984
10,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",10,0.3500000000000002,0.3426573426573423,0.38132295719844245,0.3639999999999994,"","",10,0.12000000000000004,0.11188811188811199,0.15953307392996074,0.13799999999999985
11,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",11,0.31000000000000016,0.3181818181818179,0.35019455252918186,0.3329999999999994,"","",11,0.11000000000000003,0.10489510489510498,0.1498054474708168,0.1289999999999999
12,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",12,0.28500000000000014,0.283216783216783,0.3151750972762637,0.29999999999999954,"","",12,0.10500000000000002,0.09090909090909097,0.13424124513618652,0.11599999999999988
13,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",13,0.28000000000000014,0.2797202797202795,0.2879377431906607,0.28399999999999953,"","",13,0.10500000000000002,0.08741258741258746,0.12451361867704258,0.1099999999999999
14,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",14,0.2550000000000001,0.24825174825174812,0.2704280155642016,0.2609999999999996,"","",14,0.10000000000000002,0.07342657342657345,0.11673151750972743,0.10099999999999991
15,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",15,0.2200000000000001,0.21678321678321671,0.2529182879377425,0.23599999999999965,"","",15,0.085,0.05944055944055944,0.11284046692606986,0.09199999999999992
16,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",16,0.2050000000000001,0.19930069930069927,0.23735408560311222,0.21999999999999972,"","",16,0.085,0.05244755244755245,0.10894941634241229,0.08799999999999991
17,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",17,0.1950000000000001,0.19580419580419578,0.21789883268482435,0.2069999999999997,"","",17,0.08,0.05244755244755245,0.09922178988326835,0.08199999999999995
18,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",18,0.18500000000000008,0.1608391608391609,0.20622568093385163,0.18899999999999978,"","",18,0.06999999999999999,0.045454545454545456,0.09533073929961078,0.07599999999999994
19,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",19,0.16500000000000006,0.1608391608391609,0.1945525291828789,0.17899999999999977,"","",19,0.06999999999999999,0.045454545454545456,0.08754863813229563,0.07199999999999995
20,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",20,0.1950000000000001,0.2237762237762237,0.239299610894941,0.22599999999999965,"","",20,0.09500000000000001,0.08741258741258746,0.12062256809338501,0.10599999999999991
21,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",21,0.27000000000000013,0.2797202797202795,0.2821011673151743,0.2789999999999995,"","",21,0.15500000000000005,0.1223776223776225,0.15369649805447438,0.14499999999999988
22,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",22,0.3350000000000002,0.36713286713286675,0.3424124513618667,0.3479999999999994,"","",22,0.2100000000000001,0.1853146853146853,0.20233463035019406,0.19899999999999976
23,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",23,0.3800000000000002,0.4125874125874121,0.4066147859922167,0.40299999999999925,"","",23,0.24000000000000013,0.21328671328671323,0.2509727626459137,0.23799999999999966
24,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",24,0.4550000000000003,0.4790209790209784,0.46887159533073786,0.46899999999999914,"","",24,0.2600000000000001,0.23426573426573416,0.28988326848248946,0.26799999999999957
25,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",25,0.5100000000000003,0.4860139860139854,0.4922178988326833,0.4939999999999991,"","",25,0.28500000000000014,0.23426573426573416,0.2859922178988319,0.2709999999999996
26,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",26,0.5150000000000003,0.4790209790209784,0.49805447470816966,0.4959999999999991,"","",26,0.2550000000000001,0.23076923076923067,0.2821011673151743,0.2619999999999996
27,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",27,0.5150000000000003,0.454545454545454,0.5077821011673136,0.4939999999999991,"","",27,0.23500000000000013,0.20279720279720276,0.28015564202334553,0.2489999999999996
28,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",28,0.5050000000000003,0.43706293706293653,0.48443579766536815,0.47499999999999915,"","",28,0.2150000000000001,0.20629370629370625,0.2548638132295713,0.23299999999999965
29,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",29,0.4750000000000003,0.4230769230769226,0.4513618677042788,0.4479999999999992,"","",29,0.2050000000000001,0.19930069930069927,0.22762645914396828,0.21499999999999972
30,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",30,0.4500000000000003,0.39510489510489466,0.42217898832684697,0.4199999999999993,"","",30,0.18500000000000008,0.17832167832167833,0.212062256809338,0.19699999999999973
31,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",31,0.39000000000000024,0.3776223776223772,0.39299610894941517,0.38799999999999935,"","",31,0.16500000000000006,0.16783216783216787,0.18482490272373497,0.1759999999999998
32,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",32,0.3750000000000002,0.3461538461538458,0.3618677042801546,0.35999999999999943,"","",32,0.15500000000000005,0.15034965034965042,0.15953307392996074,0.15599999999999986
33,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",33,0.3800000000000002,0.33566433566433534,0.3463035019455243,0.3499999999999994,"","",33,0.14500000000000005,0.1223776223776225,0.14785992217898802,0.13999999999999987
34,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",34,0.3650000000000002,0.3146853146853144,0.33852140077820914,0.3369999999999994,"","",34,0.13000000000000003,0.10839160839160848,0.14007782101167288,0.1289999999999999
35,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",35,0.31500000000000017,0.3216783216783214,0.32101167315175005,0.31999999999999945,"","",35,0.12500000000000003,0.11188811188811199,0.12840466926070015,0.12299999999999991
36,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",36,0.31500000000000017,0.3146853146853144,0.3132295719844349,0.3139999999999995,"","",36,0.12500000000000003,0.10839160839160848,0.12645914396887137,0.12099999999999991
37,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",37,0.28500000000000014,0.29720279720279696,0.30544747081711976,0.2989999999999995,"","",37,0.10500000000000002,0.10139860139860148,0.12062256809338501,0.11199999999999992
38,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",38,0.27000000000000013,0.27272727272727254,0.303501945525291,0.28799999999999953,"","",38,0.10000000000000002,0.09790209790209797,0.12062256809338501,0.10999999999999992
39,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",39,0.2550000000000001,0.26923076923076905,0.27431906614785917,0.2689999999999996,"","",39,0.10500000000000002,0.09440559440559447,0.1070038910505835,0.10299999999999994
40,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",40,0.2550000000000001,0.26573426573426556,0.26070038910505766,0.2609999999999996,"","",40,0.11000000000000003,0.10489510489510498,0.11089494163424107,0.10899999999999994
41,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",41,0.28000000000000014,0.29720279720279696,0.2548638132295713,0.2719999999999996,"","",41,0.13500000000000004,0.1293706293706295,0.1070038910505835,0.11899999999999997
42,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",42,0.31000000000000016,0.3146853146853144,0.2568093385214001,0.2839999999999996,"","",42,0.15500000000000005,0.14685314685314693,0.11867704280155622,0.13399999999999995
43,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",43,0.31500000000000017,0.33216783216783186,0.2859922178988319,0.30499999999999955,"","",43,0.17000000000000007,0.16783216783216787,0.13229571984435773,0.14999999999999988
44,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",44,0.31500000000000017,0.36363636363636326,0.32101167315175005,0.3319999999999994,"","",44,0.17000000000000007,0.17832167832167833,0.15758754863813196,0.16599999999999984
45,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",45,0.3350000000000002,0.40209790209790164,0.34824902723735307,0.36099999999999943,"","",45,0.18500000000000008,0.1888111888111888,0.17704280155641983,0.1819999999999998
46,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",46,0.38500000000000023,0.4125874125874121,0.38132295719844245,0.3909999999999993,"","",46,0.2200000000000001,0.19580419580419578,0.20817120622568042,0.20699999999999974
47,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",47,0.40000000000000024,0.43706293706293653,0.42217898832684697,0.4219999999999992,"","",47,0.22500000000000012,0.20629370629370625,0.23151750972762586,0.2229999999999997
48,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",48,0.40000000000000024,0.46503496503496444,0.43968871595330605,0.4389999999999992,"","",48,0.2100000000000001,0.21678321678321671,0.239299610894941,0.22699999999999965
49,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",49,0.39500000000000024,0.49999999999999933,0.4299610894941621,0.44299999999999917,"","",49,0.2000000000000001,0.23776223776223765,0.22957198443579707,0.22599999999999973
50,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",50,0.42000000000000026,0.49650349650349584,0.42607003891050454,0.44499999999999923,"","",50,0.18500000000000008,0.21678321678321671,0.22957198443579707,0.21699999999999972
51,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",51,0.39500000000000024,0.49300699300699236,0.4007782101167303,0.4259999999999992,"","",51,0.16000000000000006,0.21678321678321671,0.20817120622568042,0.2009999999999997
52,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",52,0.39500000000000024,0.4825174825174819,0.3774319066147849,0.4109999999999993,"","",52,0.16000000000000006,0.2237762237762237,0.19066147859922133,0.19399999999999978
53,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",53,0.3750000000000002,0.454545454545454,0.3754863813229561,0.3979999999999993,"","",53,0.15000000000000005,0.20279720279720276,0.18871595330739255,0.18499999999999978
54,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",54,0.3650000000000002,0.43006993006992955,0.38132295719844245,0.3919999999999993,"","",54,0.13500000000000004,0.18181818181818182,0.18677042801556376,0.17499999999999977
55,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",55,0.3750000000000002,0.43706293706293653,0.3599221789883258,0.38499999999999934,"","",55,0.13000000000000003,0.18181818181818182,0.1653696498054471,0.16299999999999984
56,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",56,0.3800000000000002,0.42657342657342606,0.3560311284046682,0.38099999999999934,"","",56,0.12000000000000004,0.17832167832167833,0.16342412451361832,0.15899999999999984
57,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",57,0.3800000000000002,0.4090909090909086,0.36770428015564094,0.38199999999999934,"","",57,0.11500000000000003,0.17132867132867136,0.1673151750972759,0.15799999999999984
58,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",58,0.3800000000000002,0.39510489510489466,0.35408560311283943,0.3709999999999994,"","",58,0.13500000000000004,0.16433566433566438,0.16342412451361832,0.15799999999999984
59,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",59,0.3450000000000002,0.36013986013985977,0.33657587548638035,0.3449999999999994,"","",59,0.11500000000000003,0.14685314685314693,0.15953307392996074,0.14699999999999985
60,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",60,0.3300000000000002,0.3531468531468528,0.3326848249027228,0.3379999999999994,"","",60,0.11500000000000003,0.14685314685314693,0.16147859922178953,0.14799999999999983
61,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",61,0.3450000000000002,0.36363636363636326,0.31906614785992127,0.33699999999999947,"","",61,0.12500000000000003,0.14335664335664344,0.15369649805447438,0.14499999999999985
62,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",62,0.3550000000000002,0.36713286713286675,0.3132295719844349,0.33699999999999947,"","",62,0.13500000000000004,0.13986013986013995,0.15564202334630317,0.14699999999999985
63,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",63,0.3550000000000002,0.36013986013985977,0.32490272373540763,0.3409999999999994,"","",63,0.13000000000000003,0.14685314685314693,0.15369649805447438,0.14699999999999985
64,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",64,0.3650000000000002,0.36713286713286675,0.3326848249027228,0.3489999999999994,"","",64,0.14500000000000005,0.14685314685314693,0.1517509727626456,0.14899999999999988
65,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",65,0.3750000000000002,0.36363636363636326,0.3326848249027228,0.3499999999999994,"","",65,0.16500000000000006,0.15034965034965042,0.15369649805447438,0.15499999999999986
66,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",66,0.3700000000000002,0.3566433566433563,0.35019455252918186,0.35599999999999943,"","",66,0.17000000000000007,0.1573426573426574,0.1653696498054471,0.16399999999999984
67,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",67,0.3750000000000002,0.3531468531468528,0.3618677042801546,0.36199999999999943,"","",67,0.17000000000000007,0.1538461538461539,0.1809338521400774,0.17099999999999982
68,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",68,0.3650000000000002,0.33916083916083883,0.3715953307392985,0.3609999999999994,"","",68,0.16000000000000006,0.14335664335664344,0.18871595330739255,0.1699999999999998
69,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",69,0.3700000000000002,0.36713286713286675,0.37937743190661366,0.3739999999999994,"","",69,0.16000000000000006,0.1573426573426574,0.20038910505836527,0.17999999999999977
70,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",70,0.3700000000000002,0.36713286713286675,0.39299610894941517,0.38099999999999934,"","",70,0.15500000000000005,0.16433566433566438,0.20038910505836527,0.18099999999999977
71,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",71,0.3600000000000002,0.36013986013985977,0.3852140077821,0.37299999999999933,"","",71,0.14000000000000004,0.1573426573426574,0.1945525291828789,0.17299999999999977
72,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",72,0.3500000000000002,0.3846153846153842,0.37937743190661366,0.37499999999999933,"","",72,0.15000000000000005,0.18181818181818182,0.18677042801556376,0.17799999999999977
73,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",73,0.3250000000000002,0.4055944055944051,0.36381322957198337,0.3679999999999993,"","",73,0.14500000000000005,0.1923076923076923,0.1809338521400774,0.17699999999999977
74,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",74,0.3450000000000002,0.43356643356643304,0.3715953307392985,0.38399999999999934,"","",74,0.16000000000000006,0.1923076923076923,0.17704280155641983,0.17799999999999977
75,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",75,0.3700000000000002,0.43356643356643304,0.35408560311283943,0.37999999999999934,"","",75,0.16500000000000006,0.1853146853146853,0.17509727626459104,0.17599999999999982
76,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",76,0.41500000000000026,0.42657342657342606,0.38132295719844245,0.4009999999999993,"","",76,0.17000000000000007,0.17482517482517484,0.18677042801556376,0.1799999999999998
77,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",77,0.41000000000000025,0.43006993006992955,0.36381322957198337,0.39199999999999935,"","",77,0.15000000000000005,0.17132867132867136,0.17509727626459104,0.16899999999999982
78,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",78,0.42500000000000027,0.40209790209790164,0.3715953307392985,0.39099999999999935,"","",78,0.14500000000000005,0.1573426573426574,0.17509727626459104,0.16399999999999984
79,0.41500000000000026,0.43356643356643304,0.47276264591439543,0.4499999999999991,"","",79,0.41000000000000025,0.4055944055944051,0.36575875486381215,0.38599999999999945,"","",79,0.13500000000000004,0.16433566433566438,0.17509727626459104,0.16399999999999984
