"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.6509695290858677,0.6285475792988291,0.6634615384615362,0.6507499999999973,"","",0,0.009695290858725763,0.00667779632721202,0.009615384615384616,0.00875,"","",0,0.006925207756232687,0.005843071786310518,0.0057692307692307696,0.006
1,0.6509695290858677,0.6285475792988291,0.6634615384615362,0.6507499999999973,"","",1,0.01800554016620499,0.015859766277128547,0.019230769230769218,0.01799999999999999,"","",1,0.012465373961218839,0.012520868113522538,0.013461538461538462,0.013
2,0.6509695290858677,0.6285475792988291,0.6634615384615362,0.6507499999999973,"","",2,0.02493074792243768,0.020868113522537562,0.026442307692307654,0.024499999999999984,"","",2,0.01800554016620499,0.015859766277128547,0.019230769230769218,0.01799999999999999
3,0.6509695290858677,0.6285475792988291,0.6634615384615362,0.6507499999999973,"","",3,0.03878116343490306,0.02921535893155259,0.03509615384615378,0.03399999999999997,"","",3,0.027700831024930758,0.02337228714524207,0.024999999999999967,0.024999999999999988
4,0.6509695290858677,0.6285475792988291,0.6634615384615362,0.6507499999999973,"","",4,0.04986149584487536,0.039232053422370586,0.041346153846153755,0.04224999999999994,"","",4,0.03601108033240998,0.03005008347245409,0.030769230769230715,0.03149999999999997
5,0.6509695290858677,0.6285475792988291,0.6634615384615362,0.6507499999999973,"","",5,0.062326869806094205,0.04757929883138558,0.04230769230769221,0.04749999999999994,"","",5,0.04986149584487536,0.03505843071786309,0.03413461538461532,0.037249999999999964
6,0.6509695290858677,0.6285475792988291,0.6634615384615362,0.6507499999999973,"","",6,0.06371191135734074,0.04757929883138558,0.047115384615384504,0.05024999999999993,"","",6,0.04986149584487536,0.03338898163606009,0.03701923076923069,0.03824999999999996
7,0.6509695290858677,0.6285475792988291,0.6634615384615362,0.6507499999999973,"","",7,0.06925207756232689,0.05258764607679457,0.04759615384615373,0.052999999999999915,"","",7,0.05263157894736844,0.03756260434056759,0.03749999999999992,0.04024999999999996
8,0.6509695290858677,0.6285475792988291,0.6634615384615362,0.6507499999999973,"","",8,0.0734072022160665,0.05175292153589307,0.05384615384615371,0.056749999999999905,"","",8,0.05263157894736844,0.03589315525876459,0.041346153846153755,0.04174999999999996
9,0.6509695290858677,0.6285475792988291,0.6634615384615362,0.6507499999999973,"","",9,0.07617728531855958,0.049248747913188576,0.05769230769230754,0.0584999999999999,"","",9,0.055401662049861515,0.03422370617696159,0.04423076923076913,0.04324999999999994
