"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.6652482269503555,0.6432700247729252,0.6497120921305153,0.6505000000000017,"","",0,0.014184397163120569,0.006606110652353427,0.007197696737044147,0.00825,"","",0,0.009929078014184398,0.00495458298926507,0.006238003838771594,0.0065
1,0.6652482269503555,0.6432700247729252,0.6497120921305153,0.6505000000000017,"","",1,0.024113475177304958,0.017341040462427737,0.014875239923224561,0.017249999999999995,"","",1,0.018439716312056736,0.01321222130470685,0.01151631477927063,0.013249999999999996
2,0.6652482269503555,0.6432700247729252,0.6497120921305153,0.6505000000000017,"","",2,0.038297872340425525,0.02890173410404622,0.02303262955854125,0.027499999999999986,"","",2,0.02978723404255318,0.01981833195706027,0.018714011516314768,0.02099999999999999
3,0.6652482269503555,0.6432700247729252,0.6497120921305153,0.6505000000000017,"","",3,0.04397163120567376,0.03303055326176712,0.032149712092130495,0.03449999999999999,"","",3,0.03546099290780141,0.02312138728323698,0.02543186180422263,0.026499999999999982
4,0.6652482269503555,0.6432700247729252,0.6497120921305153,0.6505000000000017,"","",4,0.05815602836879435,0.04541701073492983,0.04078694817658346,0.04524999999999999,"","",4,0.04680851063829788,0.03220478943022294,0.03262955854126677,0.03499999999999998
5,0.6652482269503555,0.6432700247729252,0.6497120921305153,0.6505000000000017,"","",5,0.05390070921985817,0.047068538398018195,0.04270633397312856,0.046,"","",5,0.04539007092198582,0.03468208092485548,0.03502879078694815,0.036749999999999984
6,0.6652482269503555,0.6432700247729252,0.6497120921305153,0.6505000000000017,"","",6,0.049645390070921995,0.047894302229562376,0.046065259117082494,0.047249999999999986,"","",6,0.04113475177304964,0.03633360858794384,0.03694817658349325,0.037499999999999985
7,0.6652482269503555,0.6432700247729252,0.6497120921305153,0.6505000000000017,"","",7,0.049645390070921995,0.046242774566474014,0.05230326295585408,0.04999999999999999,"","",7,0.04397163120567376,0.03468208092485548,0.04174664107485601,0.03999999999999998
8,0.6652482269503555,0.6432700247729252,0.6497120921305153,0.6505000000000017,"","",8,0.05248226950354611,0.047894302229562376,0.05326295585412663,0.05149999999999998,"","",8,0.0425531914893617,0.03633360858794384,0.04414587332053739,0.04149999999999998
9,0.6652482269503555,0.6432700247729252,0.6497120921305153,0.6505000000000017,"","",9,0.05673758865248229,0.047068538398018195,0.05566218809980801,0.053249999999999985,"","",9,0.04680851063829788,0.03468208092485548,0.046065259117082494,0.042749999999999976
10,0.6652482269503555,0.6432700247729252,0.6497120921305153,0.6505000000000017,"","",10,0.059574468085106407,0.05450041288191582,0.05950095969289822,0.05799999999999999,"","",10,0.048226950354609936,0.039636663914120566,0.047024952015355045,0.044999999999999984
11,0.6652482269503555,0.6432700247729252,0.6497120921305153,0.6505000000000017,"","",11,0.07234042553191493,0.06440957886044597,0.06238003838771587,0.06475,"","",11,0.059574468085106407,0.04459124690338565,0.04894433781190015,0.04949999999999999
12,0.6652482269503555,0.6432700247729252,0.6497120921305153,0.6505000000000017,"","",12,0.07517730496453905,0.07679603633360858,0.06142034548944332,0.06849999999999998,"","",12,0.05815602836879435,0.05450041288191582,0.0479846449136276,0.05175
