"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",0,0.1082251082251081,0.09052453468697111,0.09647058823529377,0.09674999999999975,"","",0,0.07070707070707065,0.05414551607445005,0.06070588235294127,0.060500000000000026
1,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",1,0.2150072150072147,0.17766497461928987,0.17694117647058685,0.18374999999999939,"","",1,0.14430014430014412,0.10575296108291016,0.11529411764705823,0.1174999999999996
2,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",2,0.30014430014430066,0.2622673434856189,0.26117647058823285,0.2682499999999992,"","",2,0.20923520923520894,0.16074450084602399,0.1708235294117634,0.17449999999999932
3,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",3,0.37806637806637994,0.33248730964467005,0.33835294117646714,0.34349999999999853,"","",3,0.261183261183261,0.20727580372250518,0.21835294117646867,0.22249999999999923
4,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",4,0.46320346320346656,0.405245346869711,0.405176470588231,0.41524999999999784,"","",4,0.3160173160173168,0.2504230118443332,0.2668235294117622,0.27049999999999924
5,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",5,0.43722943722944013,0.4170896785109967,0.40329411764705453,0.41324999999999773,"","",5,0.29148629148629185,0.2580372250423026,0.27011764705882096,0.2702499999999991
6,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",6,0.4242424242424269,0.405245346869711,0.40094117647058397,0.4062499999999978,"","",6,0.27705627705627717,0.2546531302876495,0.26870588235293863,0.26599999999999907
7,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",7,0.4170274170274196,0.3849407783417926,0.39199999999999585,0.39424999999999794,"","",7,0.2582972582972581,0.24534686971235342,0.2583529411764682,0.2544999999999991
8,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",8,0.40115440115440343,0.3849407783417926,0.37647058823529017,0.38324999999999804,"","",8,0.2438672438672435,0.24534686971235342,0.24611764705882125,0.24549999999999914
9,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",9,0.36940836940837113,0.3663282571912007,0.3656470588235256,0.36649999999999805,"","",9,0.232323232323232,0.23773265651438377,0.23764705882352724,0.2367499999999992
10,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",10,0.37373737373737553,0.367174280879864,0.3538823529411728,0.3612499999999982,"","",10,0.23809523809523775,0.2351945854483939,0.22447058823529212,0.22999999999999926
11,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",11,0.375180375180377,0.3688663282571905,0.337882352941173,0.3534999999999983,"","",11,0.2366522366522363,0.23773265651438377,0.211294117647057,0.22349999999999937
12,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",12,0.3578643578643594,0.3620981387478844,0.3359999999999966,0.3474999999999983,"","",12,0.22655122655122623,0.2318104906937407,0.21082352941176288,0.21974999999999936
13,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",13,0.33189033189033296,0.3485617597292721,0.32988235294117313,0.3357499999999983,"","",13,0.2077922077922075,0.22588832487309765,0.20658823529411588,0.21249999999999938
14,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",14,0.31313131313131387,0.3443316412859558,0.3171764705882321,0.3244999999999984,"","",14,0.18903318903318878,0.22419627749577106,0.19858823529411598,0.20449999999999943
15,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",15,0.29148629148629185,0.3341793570219966,0.31011764705882044,0.3139999999999984,"","",15,0.17316017316017293,0.2199661590524546,0.19811764705882187,0.2002499999999994
16,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",16,0.28282828282828304,0.3130287648054149,0.3007058823529382,0.3012499999999986,"","",16,0.1789321789321787,0.2055837563451786,0.19341176470588076,0.19449999999999937
17,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",17,0.2669552669552669,0.30456852791878225,0.2847058823529384,0.2874999999999987,"","",17,0.1688311688311686,0.19458544839255576,0.17976470588235152,0.18224999999999944
18,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",18,0.25108225108225074,0.2884940778341802,0.26870588235293863,0.2714999999999988,"","",18,0.16017316017315997,0.18443316412859623,0.16988235294117518,0.17249999999999946
19,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",19,0.24098124098124063,0.2774957698815577,0.2639999999999975,0.26399999999999896,"","",19,0.15151515151515133,0.1734348561759734,0.1661176470588223,0.16574999999999945
20,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",20,0.24531024531024495,0.26142131979695565,0.25411764705882117,0.2547499999999991,"","",20,0.15584415584415565,0.16920473773265693,0.15764705882352828,0.16074999999999948
21,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",21,0.24098124098124063,0.25634517766497605,0.2597647058823505,0.2554999999999991,"","",21,0.14862914862914844,0.16328257191201387,0.16329411764705762,0.16074999999999942
22,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",22,0.2582972582972581,0.25126903553299645,0.2592941176470564,0.25674999999999915,"","",22,0.1645021645021643,0.16328257191201387,0.16799999999999873,0.16599999999999937
23,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",23,0.2655122655122654,0.26649746192893525,0.26917647058823274,0.267749999999999,"","",23,0.1688311688311686,0.17597292724196328,0.17176470588235163,0.17249999999999943
24,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",24,0.27705627705627717,0.28172588832487405,0.2847058823529384,0.28249999999999886,"","",24,0.17748917748917725,0.18612521150592282,0.18352941176470441,0.18324999999999939
25,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",25,0.29148629148629185,0.2901861252115067,0.30164705882352644,0.29649999999999876,"","",25,0.18759018759018734,0.1869712351945861,0.19576470588235131,0.19174999999999928
26,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",26,0.31457431457431534,0.30456852791878225,0.3091764705882322,0.30874999999999864,"","",26,0.20202020202020174,0.19373942470389247,0.1990588235294101,0.1979999999999993
27,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",27,0.3246753246753256,0.3087986463620986,0.3214117647058791,0.3182499999999986,"","",27,0.21356421356421326,0.19796954314720894,0.20564705882352766,0.20474999999999927
28,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",28,0.34487734487734617,0.3079526226734353,0.32705882352940846,0.3244999999999986,"","",28,0.22655122655122623,0.19458544839255576,0.21270588235293933,0.20974999999999921
29,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",29,0.353535353535355,0.31218274111675165,0.3247058823529379,0.3259999999999986,"","",29,0.2366522366522363,0.19373942470389247,0.20988235294117466,0.20974999999999921
30,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",30,0.36940836940837113,0.3079526226734353,0.32329411764705557,0.32674999999999876,"","",30,0.24963924963924927,0.19120135363790258,0.20658823529411588,0.20949999999999921
31,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",31,0.37229437229437407,0.316412859560068,0.32988235294117313,0.33324999999999866,"","",31,0.2539682539682537,0.189509306260576,0.211294117647057,0.21224999999999922
32,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",32,0.36796536796536966,0.3189509306260578,0.33035294117646724,0.3334999999999986,"","",32,0.24963924963924927,0.1886632825719127,0.21035294117646877,0.2107499999999992
33,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",33,0.3621933621933638,0.3206429780033843,0.3407058823529377,0.3384999999999985,"","",33,0.24098124098124063,0.18189509306260634,0.219764705882351,0.21224999999999908
34,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",34,0.3578643578643594,0.32487309644670065,0.3374117647058789,0.3372499999999985,"","",34,0.23376623376623343,0.18358714043993293,0.21882352941176278,0.21099999999999908
35,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",35,0.33189033189033296,0.3392554991539762,0.33882352941176125,0.3377499999999983,"","",35,0.21067821067821038,0.19627749576988235,0.2159999999999981,0.2092499999999992
36,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",36,0.32756132756132855,0.3367174280879864,0.3402352941176436,0.3369999999999983,"","",36,0.20202020202020174,0.19881556683587223,0.21694117647058633,0.20899999999999921
37,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",37,0.3217893217893227,0.3392554991539762,0.3331764705882319,0.3329999999999983,"","",37,0.19480519480519454,0.21065989847715835,0.21741176470588044,0.21149999999999924
38,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",38,0.3015873015873021,0.34263959390862925,0.3199999999999968,0.3234999999999983,"","",38,0.1861471861471859,0.21573604060913812,0.20894117647058644,0.20699999999999932
39,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",39,0.2943722943722948,0.3341793570219966,0.3242352941176438,0.3219999999999983,"","",39,0.18470418470418445,0.2047377326565153,0.20941176470588055,0.20374999999999927
40,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",40,0.2972582972582977,0.32487309644670065,0.3247058823529379,0.3199999999999984,"","",40,0.183261183261183,0.19712351945854564,0.20894117647058644,0.20099999999999926
41,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",41,0.285714285714286,0.3214890016920476,0.3204705882352909,0.3147499999999984,"","",41,0.1861471861471859,0.19712351945854564,0.20423529411764532,0.19899999999999926
42,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",42,0.2900432900432904,0.31472081218274145,0.31058823529411456,0.3082499999999985,"","",42,0.18759018759018734,0.19120135363790258,0.19670588235293954,0.1934999999999993
43,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",43,0.2900432900432904,0.31218274111675165,0.31388235294117334,0.3092499999999985,"","",43,0.18181818181818157,0.1878172588832494,0.1990588235294101,0.19274999999999926
44,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",44,0.307359307359308,0.3028764805414557,0.31105882352940867,0.3079999999999986,"","",44,0.1933621933621931,0.18358714043993293,0.19623529411764543,0.19199999999999925
45,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",45,0.3015873015873021,0.3087986463620986,0.31529411764705567,0.3109999999999985,"","",45,0.1933621933621931,0.1878172588832494,0.20047058823529243,0.19549999999999926
46,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",46,0.30591630591630653,0.3138747884940782,0.3157647058823498,0.3134999999999985,"","",46,0.19624819624819598,0.19120135363790258,0.19811764705882187,0.19574999999999929
47,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",47,0.30591630591630653,0.31472081218274145,0.31764705882352623,0.31474999999999853,"","",47,0.20346320346320318,0.19543147208121905,0.20094117647058654,0.19974999999999926
48,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",48,0.31024531024531093,0.32741116751269045,0.316705882352938,0.3187499999999985,"","",48,0.21067821067821038,0.2055837563451786,0.20423529411764532,0.20574999999999932
49,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",49,0.3246753246753256,0.3367174280879864,0.31435294117646745,0.3227499999999985,"","",49,0.21645021645021614,0.21319796954314824,0.20188235294117476,0.20774999999999935
50,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",50,0.31457431457431534,0.33502538071065985,0.31529411764705567,0.3209999999999984,"","",50,0.20202020202020174,0.21319796954314824,0.20658823529411588,0.20774999999999932
51,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",51,0.3203463203463212,0.32487309644670065,0.31529411764705567,0.3189999999999985,"","",51,0.21356421356421326,0.21404399323181153,0.2075294117647041,0.21049999999999933
52,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",52,0.3160173160173168,0.3231810490693741,0.316705882352938,0.3184999999999985,"","",52,0.21067821067821038,0.21150592216582165,0.20564705882352766,0.20824999999999932
53,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",53,0.3116883116883124,0.3214890016920476,0.31764705882352623,0.31774999999999853,"","",53,0.21067821067821038,0.20642978003384188,0.2037647058823512,0.20574999999999932
54,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",54,0.3015873015873021,0.3130287648054149,0.3214117647058791,0.3154999999999985,"","",54,0.20202020202020174,0.2030456852791887,0.20658823529411588,0.20474999999999927
55,0.6406926406926471,0.6226734348561705,0.6447058823529338,0.6374999999999956,"","",55,0.2972582972582977,0.2961082910321496,0.3256470588235261,0.3119999999999985,"","",55,0.19624819624819598,0.189509306260576,0.21035294117646877,0.2017499999999992
