"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",0,0.03773584905660377,0.043046357615894024,0.042796005706134115,0.042,"","",0,0.02902757619738752,0.02814569536423843,0.029481692819781226,0.028999999999999984
1,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",1,0.0841799709724237,0.06953642384105956,0.07655729909652877,0.07574999999999997,"","",1,0.06676342525399127,0.052152317880794656,0.05611031859248702,0.05675000000000003
2,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",2,0.1277213352685048,0.11175496688741739,0.10984308131241054,0.11349999999999982,"","",2,0.0986937590711174,0.08609271523178812,0.08416547788873031,0.08724999999999994
3,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",3,0.17271407837445524,0.14900662251655664,0.14360437470280546,0.15025,"","",3,0.13788098693759038,0.1150662251655631,0.10794103661436015,0.11524999999999985
4,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",4,0.20029027576197325,0.17963576158940447,0.1854493580599152,0.18625000000000044,"","",4,0.15674891146589218,0.13824503311258307,0.13932477413219196,0.14199999999999993
5,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",5,0.20029027576197325,0.18543046357615947,0.19305753685211696,0.19200000000000056,"","",5,0.1552975326560228,0.1423841059602652,0.14312886352829285,0.145
6,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",6,0.21335268505079757,0.19370860927152375,0.19828815977175568,0.19950000000000062,"","",6,0.15820029027576155,0.14735099337748378,0.14693295292439373,0.14900000000000002
7,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",7,0.203193033381712,0.2011589403973516,0.20732287208749528,0.20475000000000074,"","",7,0.15239477503628407,0.1539735099337752,0.15216357584403245,0.1527500000000001
8,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",8,0.1973875181422345,0.20943708609271589,0.21493105087969705,0.2102500000000008,"","",8,0.14513788098693722,0.16142384105960306,0.16119828815977205,0.15850000000000022
9,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",9,0.21044992743105884,0.2127483443708616,0.21065145030908355,0.21125000000000077,"","",9,0.16255442670536965,0.16639072847682163,0.15739419876367117,0.16100000000000017
10,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",10,0.22496371552975253,0.20943708609271589,0.2087494056110331,0.21175000000000074,"","",10,0.17561683599419398,0.16390728476821234,0.16024726581074683,0.16400000000000017
11,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",11,0.21770682148040568,0.22268211920529873,0.2130290061816466,0.2167500000000008,"","",11,0.1741654571843246,0.1746688741721859,0.16262482168330988,0.16825000000000023
12,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",12,0.22351233671988316,0.2160596026490073,0.2173086067522601,0.21800000000000086,"","",12,0.17706821480406335,0.16639072847682163,0.1635758440323351,0.16675000000000023
13,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",13,0.2351233671988381,0.21357615894039803,0.22063718497384838,0.22100000000000086,"","",13,0.18287373004354082,0.16059602649006663,0.16262482168330988,0.1655000000000002
14,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",14,0.22931785195936064,0.2160596026490073,0.22967189728958798,0.22550000000000098,"","",14,0.17561683599419398,0.15562913907284806,0.1683309557774612,0.16575000000000026
15,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",15,0.23802612481857685,0.22599337748344445,0.2353780313837393,0.233000000000001,"","",15,0.18142235123367145,0.16390728476821234,0.16928197812648643,0.1697500000000003
16,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",16,0.24818577648766244,0.2127483443708616,0.23585354255825192,0.23100000000000098,"","",16,0.18142235123367145,0.1506622516556295,0.1683309557774612,0.16525000000000023
17,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",17,0.2496371552975318,0.21523178807947088,0.2391821207798402,0.233750000000001,"","",17,0.17851959361393271,0.15231788079470235,0.16405135520684772,0.1630000000000002
18,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",18,0.25544267053700936,0.21523178807947088,0.24203518782691585,0.23625000000000107,"","",18,0.18287373004354082,0.15231788079470235,0.1683309557774612,0.16600000000000023
19,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",19,0.25979680696661756,0.21771523178808017,0.24108416547789063,0.23725000000000107,"","",19,0.18577648766327956,0.1564569536423845,0.1678554446029486,0.16750000000000023
20,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",20,0.25253991291727057,0.2185430463576166,0.24060865430337802,0.23600000000000107,"","",20,0.18142235123367145,0.15728476821192092,0.16595339990489816,0.16600000000000023
21,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",21,0.2510885341074012,0.22930463576159016,0.2444127436994789,0.2410000000000011,"","",21,0.18577648766327956,0.16390728476821234,0.167379933428436,0.16950000000000026
22,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",22,0.2510885341074012,0.23509933774834516,0.24631478839752935,0.24375000000000113,"","",22,0.18722786647314893,0.16804635761589448,0.17070851165002426,0.1727500000000003
23,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",23,0.25689404934687876,0.23509933774834516,0.24536376604850413,0.24425000000000116,"","",23,0.19593613933236514,0.16970198675496734,0.17165953399904949,0.1752500000000003
24,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",24,0.26995645863570333,0.23509933774834516,0.25011887779363023,0.24900000000000125,"","",24,0.20899854862118947,0.16970198675496734,0.1768901569186882,0.18025000000000035
25,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",25,0.2743105950653115,0.24089403973510015,0.249167855444605,0.2510000000000012,"","",25,0.21044992743105884,0.1771523178807952,0.18021873514027648,0.18450000000000039
26,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",26,0.2786647314949197,0.23758278145695444,0.25106990014265546,0.2517500000000013,"","",26,0.21335268505079757,0.17880794701986805,0.18021873514027648,0.1855000000000004
27,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",27,0.2859216255442667,0.24917218543046443,0.2572515454113194,0.25975000000000137,"","",27,0.21915820029027505,0.1895695364238416,0.1854493580599152,0.19250000000000045
28,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",28,0.2902757619738749,0.25745033112582844,0.2620066571564455,0.26550000000000135,"","",28,0.2162554426705363,0.19288079470198732,0.1854493580599152,0.19300000000000045
29,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",29,0.2801161103047891,0.25827814569536484,0.26010461245839506,0.2630000000000013,"","",29,0.20609579100145073,0.19453642384106018,0.18259629101283953,0.19025000000000045
30,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",30,0.2728592162554421,0.26241721854304684,0.26343319067998333,0.2647500000000013,"","",30,0.20029027576197325,0.19619205298013304,0.1854493580599152,0.19125000000000048
31,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",31,0.2757619738751809,0.26490066225165604,0.27294341417023554,0.27100000000000135,"","",31,0.203193033381712,0.19619205298013304,0.1906799809795539,0.19450000000000053
32,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",32,0.2801161103047891,0.25662251655629204,0.2719923918212103,0.2687500000000015,"","",32,0.2075471698113201,0.18791390728476876,0.1906799809795539,0.1927500000000005
33,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",33,0.26415094339622575,0.25745033112582844,0.2810271041369499,0.27100000000000146,"","",33,0.20174165457184262,0.18377483443708661,0.1987636709462683,0.19475000000000062
34,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",34,0.26415094339622575,0.26490066225165604,0.27769852591536165,0.2715000000000014,"","",34,0.20609579100145073,0.18708609271523233,0.19733713742273046,0.1957500000000006
35,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",35,0.26560232220609514,0.26572847682119244,0.2838801711840256,0.2752500000000015,"","",35,0.20899854862118947,0.1862582781456959,0.1997146932952935,0.19725000000000062
36,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",36,0.26850507982583394,0.27152317880794724,0.27722301474084904,0.27400000000000135,"","",36,0.20899854862118947,0.1895695364238416,0.1949595815501674,0.19575000000000056
37,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",37,0.26995645863570333,0.27317880794702004,0.2796005706134121,0.27600000000000136,"","",37,0.20609579100145073,0.18874172185430518,0.1949595815501674,0.19500000000000056
38,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",38,0.2801161103047891,0.28145695364238404,0.2753209700427986,0.27800000000000125,"","",38,0.2162554426705363,0.19867549668874232,0.1902044698050413,0.1972500000000005
39,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",39,0.2960812772133525,0.28394039735099325,0.28197812648597514,0.28500000000000136,"","",39,0.22351233671988316,0.20033112582781518,0.1902044698050413,0.1990000000000005
40,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",40,0.2931785195936137,0.28642384105960245,0.28197812648597514,0.2852500000000013,"","",40,0.2220609579100138,0.20281456953642446,0.19115549215406652,0.2000000000000005
41,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",41,0.2902757619738749,0.28642384105960245,0.2881597717546391,0.28800000000000137,"","",41,0.22060957910014442,0.20281456953642446,0.19591060389919263,0.20225000000000057
42,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",42,0.2931785195936137,0.28807947019867525,0.2895863052781769,0.28975000000000134,"","",42,0.22060957910014442,0.20612582781457017,0.1987636709462683,0.20475000000000063
43,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",43,0.2888243831640055,0.28725165562913885,0.29529243937232824,0.29175000000000145,"","",43,0.21770682148040568,0.19867549668874232,0.20019020446980612,0.20275000000000062
44,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",44,0.2815674891146585,0.28725165562913885,0.2924393723252526,0.28900000000000137,"","",44,0.21770682148040568,0.19619205298013304,0.20209224916785656,0.20300000000000062
45,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",45,0.2801161103047891,0.27897350993377484,0.29053732762720214,0.2852500000000015,"","",45,0.21335268505079757,0.1895695364238416,0.20209224916785656,0.20025000000000062
46,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",46,0.2888243831640055,0.29056291390728445,0.294341417023303,0.29225000000000134,"","",46,0.21770682148040568,0.19867549668874232,0.20542082738944484,0.20550000000000068
47,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",47,0.2830188679245279,0.29966887417218485,0.29576795054684085,0.29475000000000134,"","",47,0.21044992743105884,0.20447019867549732,0.20494531621493223,0.2057500000000007
48,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",48,0.2917271407837443,0.30132450331125765,0.29576795054684085,0.29675000000000135,"","",48,0.22060957910014442,0.20529801324503374,0.20209224916785656,0.20625000000000066
49,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",49,0.2902757619738749,0.29966887417218485,0.29624346172135346,0.29625000000000135,"","",49,0.2162554426705363,0.2102649006622523,0.20161673799334395,0.20675000000000068
50,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",50,0.2946298984034831,0.29139072847682085,0.30099857346647957,0.2970000000000015,"","",50,0.21770682148040568,0.2036423841059609,0.20637184973847006,0.2075000000000007
51,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",51,0.2946298984034831,0.28642384105960245,0.2971944840703787,0.2935000000000015,"","",51,0.21480406386066694,0.1978476821192059,0.20494531621493223,0.20450000000000068
52,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",52,0.2830188679245279,0.28145695364238404,0.30099857346647957,0.29200000000000154,"","",52,0.20899854862118947,0.19701986754966946,0.20637184973847006,0.20400000000000068
53,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",53,0.2757619738751809,0.27566225165562924,0.30527817403709306,0.2912500000000016,"","",53,0.20174165457184262,0.1920529801324509,0.21112696148359616,0.20375000000000074
54,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",54,0.2772133526850503,0.27980132450331124,0.3062291963861183,0.29325000000000156,"","",54,0.20899854862118947,0.18874172185430518,0.20922491678554572,0.20300000000000074
55,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",55,0.2830188679245279,0.28642384105960245,0.30432715168806784,0.29525000000000157,"","",55,0.21480406386066694,0.1953642384105966,0.20446980504041962,0.20350000000000068
56,0.6748911465892584,0.659768211920519,0.644793152639097,0.6545000000000019,"","",56,0.2830188679245279,0.29139072847682085,0.3062291963861183,0.29775000000000146,"","",56,0.2162554426705363,0.2011589403973516,0.20589633856395745,0.20625000000000068
