"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",0,0.011428571428571429,0.009507346585998272,0.013065795613625754,0.011749999999999998,"","",0,0.007142857142857143,0.007778738115816769,0.01119925338310779,0.009499999999999998
1,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",1,0.02,0.019014693171996545,0.02239850676621558,0.020999999999999998,"","",1,0.014285714285714285,0.015557476231633538,0.01819878674755016,0.01675
2,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",2,0.03285714285714286,0.03716508210890232,0.035930937937470826,0.03574999999999999,"","",2,0.022857142857142857,0.02938634399308557,0.029864675688287438,0.028499999999999998
3,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",3,0.04714285714285718,0.046672428694900556,0.04199720018665421,0.044249999999999984,"","",3,0.035714285714285726,0.03716508210890232,0.03453103126458235,0.0355
4,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",4,0.057142857142857204,0.05790838375108029,0.051796546896873526,0.05449999999999998,"","",4,0.042857142857142885,0.047536732929991304,0.04199720018665421,0.04374999999999998
5,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",5,0.06857142857142866,0.06482281763180628,0.05459636024265047,0.05999999999999997,"","",5,0.05285714285714291,0.05531547104580804,0.04479701353243116,0.04924999999999998
6,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",6,0.07571428571428582,0.07173725151253227,0.06112925804946335,0.06674999999999996,"","",6,0.0614285714285715,0.06309420916162478,0.04946336910872607,0.05549999999999997
7,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",7,0.07571428571428582,0.07087294727744152,0.06532897806812878,0.06874999999999998,"","",7,0.06285714285714293,0.06568712186689703,0.05272981801213251,0.05824999999999997
8,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",8,0.08571428571428584,0.07778738115816751,0.07419505366308911,0.07724999999999997,"","",8,0.07142857142857152,0.07000864304235077,0.06019598693420437,0.06499999999999997
9,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",9,0.08428571428571441,0.07778738115816751,0.08259449370041995,0.08149999999999996,"","",9,0.07000000000000009,0.07000864304235077,0.06999533364442369,0.06999999999999997
10,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",10,0.09142857142857157,0.07951598962834901,0.08679421371908537,0.08549999999999995,"","",10,0.07428571428571439,0.07173725151253227,0.07326178254783013,0.07299999999999997
11,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",11,0.09857142857142873,0.09248055315471024,0.09472701819878672,0.09474999999999995,"","",11,0.08000000000000011,0.08038029386343976,0.079794680354643,0.07999999999999996
12,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",12,0.10285714285714302,0.10544511668107147,0.10405972935137654,0.10424999999999994,"","",12,0.08285714285714298,0.09075194468452874,0.08912739150723283,0.08849999999999994
13,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",13,0.10714285714285732,0.11063094209161596,0.10965935604293044,0.10949999999999993,"","",13,0.08571428571428584,0.09420916162489174,0.09239384041063926,0.09174999999999994
14,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",14,0.11428571428571448,0.12359550561797719,0.11432571161922535,0.11699999999999991,"","",14,0.09142857142857157,0.10198789974070847,0.0956602893140457,0.09674999999999995
15,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",15,0.11714285714285734,0.1322385479688848,0.12692487167522162,0.12674999999999995,"","",15,0.09428571428571443,0.10890233362143446,0.10685954269715349,0.10524999999999991
16,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",16,0.12857142857142875,0.12878133102852174,0.1334577694820345,0.13124999999999995,"","",16,0.10428571428571445,0.10803802938634371,0.11245916938870738,0.10974999999999992
17,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",17,0.132857142857143,0.12878133102852174,0.13625758282781145,0.13349999999999995,"","",17,0.10714285714285732,0.10717372515125297,0.11572561829211382,0.11174999999999995
18,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",18,0.13714285714285726,0.13050993949870326,0.14139057396173585,0.13749999999999996,"","",18,0.11285714285714304,0.10890233362143446,0.11899206719552026,0.11499999999999994
19,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",19,0.14571428571428577,0.13828867761452013,0.14605692953803076,0.14374999999999993,"","",19,0.11714285714285734,0.11581676750216045,0.12459169388707415,0.12074999999999991
20,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",20,0.15428571428571428,0.13742437337942937,0.14652356509566025,0.14524999999999993,"","",20,0.1242857142857145,0.1149524632670697,0.12552496500233315,0.12224999999999994
21,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",21,0.1642857142857142,0.1434745030250647,0.15025664955669618,0.15074999999999994,"","",21,0.13428571428571442,0.1201382886776142,0.1278581427904806,0.12674999999999992
22,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",22,0.1714285714285713,0.14693171996542775,0.159589360709286,0.15799999999999995,"","",22,0.1400000000000001,0.12445980985306794,0.13439104059729348,0.1324999999999999
23,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",23,0.1728571428571427,0.15211754537597233,0.16378908072795142,0.16199999999999995,"","",23,0.14285714285714293,0.12878133102852174,0.13719085394307043,0.13574999999999993
24,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",24,0.16999999999999987,0.1529818496110631,0.1707886140923938,0.16549999999999995,"","",24,0.14142857142857151,0.12878133102852174,0.14325711619225381,0.1387499999999999
25,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",25,0.1714285714285713,0.1573033707865169,0.1759216052263182,0.16974999999999996,"","",25,0.14142857142857151,0.13137424373379403,0.14745683621091923,0.1417499999999999
26,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",26,0.17571428571428555,0.15816767502160767,0.17825478301446565,0.17199999999999996,"","",26,0.14285714285714293,0.12878133102852174,0.1488567428838077,0.1419999999999999
27,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",27,0.17714285714285696,0.164217804667243,0.17965468968735412,0.17475,"","",27,0.14285714285714293,0.1322385479688848,0.15025664955669618,0.14374999999999993
28,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",28,0.1871428571428569,0.17199654278305987,0.18432104526364904,0.18125,"","",28,0.15000000000000002,0.1391529818496109,0.15305646290247313,0.14849999999999994
29,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",29,0.19285714285714256,0.17545375972342292,0.1913205786280914,0.187,"","",29,0.1557142857142857,0.14174589455488318,0.1600559962669155,0.15399999999999994
30,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",30,0.19999999999999965,0.19101123595505665,0.19458702753149784,0.19450000000000006,"","",30,0.16285714285714278,0.15643906655142614,0.16192253849743346,0.16049999999999998
31,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",31,0.19857142857142823,0.19706136560069198,0.1964535697620158,0.19700000000000006,"","",31,0.15999999999999995,0.16162489196197072,0.16332244517032193,0.16225
32,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",32,0.20857142857142816,0.20224719101123656,0.19925338310779275,0.2017500000000001,"","",32,0.16857142857142846,0.16335350043215224,0.1651889874008399,0.16525
33,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",33,0.21857142857142808,0.20656871218669037,0.2020531964535697,0.20625000000000007,"","",33,0.17857142857142838,0.1668107173725153,0.16705552963135786,0.169
34,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",34,0.2271428571428566,0.20916162489196266,0.2025198320111992,0.20875000000000005,"","",34,0.18571428571428547,0.1711322385479691,0.1656556229584694,0.17075
35,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",35,0.2271428571428566,0.21089023336214419,0.20625291647223512,0.21125000000000008,"","",35,0.18571428571428547,0.1711322385479691,0.1698553429771348,0.173
36,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",36,0.23142857142857085,0.21348314606741647,0.20858609426038258,0.21400000000000008,"","",36,0.18999999999999972,0.17199654278305987,0.17172188520765277,0.175
37,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",37,0.23285714285714226,0.21434745030250724,0.21605226318245443,0.21850000000000006,"","",37,0.19142857142857114,0.17199654278305987,0.17685487634157718,0.178
38,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",38,0.22999999999999943,0.2195332757130518,0.21651889874008393,0.2197500000000001,"","",38,0.1885714285714283,0.17718236819360444,0.17872141857209514,0.18
39,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",39,0.22999999999999943,0.22731201382886868,0.22071861875874935,0.22425000000000012,"","",39,0.18999999999999972,0.18323249783923978,0.1815212319178721,0.18350000000000002
40,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",40,0.23999999999999935,0.22817631806395944,0.22678488100793273,0.22950000000000012,"","",40,0.19857142857142823,0.18409680207433055,0.1857209519365375,0.18750000000000003
41,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",41,0.2428571428571422,0.2385479688850486,0.2333177788147456,0.23650000000000015,"","",41,0.20142857142857107,0.1918755401901474,0.1913205786280914,0.19325000000000006
42,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",42,0.2442857142857136,0.24373379429559316,0.23238450769948663,0.23775000000000018,"","",42,0.20142857142857107,0.19706136560069198,0.1913205786280914,0.19475000000000006
43,0.6671428571428614,0.6387208297320717,0.6616892207186186,0.6560000000000024,"","",43,0.2514285714285707,0.25151253241141003,0.23845076994867,0.24450000000000016,"","",43,0.20714285714285674,0.20397579948141809,0.1969202053196453,0.2007500000000001
