"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.638888888888887,0.6477366255143975,0.6537530266343758,0.6492499999999944,"","",0,0.004166666666666667,0.005761316872427985,0.004842615012106538,0.005,"","",0,0.001388888888888889,0.0032921810699588477,0.002421307506053269,0.0025
1,0.638888888888887,0.6477366255143975,0.6537530266343758,0.6492499999999944,"","",1,0.011111111111111112,0.012345679012345684,0.007263922518159805,0.0095,"","",1,0.005555555555555556,0.007407407407407409,0.004358353510895884,0.0055000000000000005
2,0.638888888888887,0.6477366255143975,0.6537530266343758,0.6492499999999944,"","",2,0.011111111111111112,0.01563786008230453,0.011138014527845038,0.012500000000000004,"","",2,0.005555555555555556,0.009053497942386834,0.007263922518159805,0.0075
3,0.638888888888887,0.6477366255143975,0.6537530266343758,0.6492499999999944,"","",3,0.01388888888888889,0.02222222222222223,0.014527845036319618,0.016750000000000008,"","",3,0.006944444444444445,0.01563786008230453,0.01016949152542373,0.011250000000000003
4,0.638888888888887,0.6477366255143975,0.6537530266343758,0.6492499999999944,"","",4,0.018055555555555554,0.027160493827160504,0.019370460048426148,0.0215,"","",4,0.009722222222222222,0.01893004115226338,0.01355932203389831,0.014500000000000004
5,0.638888888888887,0.6477366255143975,0.6537530266343758,0.6492499999999944,"","",5,0.02083333333333333,0.02551440329218108,0.021307506053268758,0.0225,"","",5,0.011111111111111112,0.017283950617283956,0.015496368038740927,0.015250000000000005
6,0.638888888888887,0.6477366255143975,0.6537530266343758,0.6492499999999944,"","",6,0.02083333333333333,0.030452674897119354,0.028087167070217894,0.027499999999999993,"","",6,0.011111111111111112,0.020576131687242805,0.019370460048426148,0.01825
7,0.638888888888887,0.6477366255143975,0.6537530266343758,0.6492499999999944,"","",7,0.02499999999999999,0.036213991769547337,0.03099273607748181,0.031499999999999986,"","",7,0.01388888888888889,0.023045267489711942,0.02179176755447941,0.02075
8,0.638888888888887,0.6477366255143975,0.6537530266343758,0.6492499999999944,"","",8,0.02499999999999999,0.04362139917695475,0.03292978208232443,0.03474999999999999,"","",8,0.01388888888888889,0.027160493827160504,0.02179176755447941,0.022
9,0.638888888888887,0.6477366255143975,0.6537530266343758,0.6492499999999944,"","",9,0.027777777777777766,0.04773662551440331,0.033414043583535086,0.03674999999999999,"","",9,0.01388888888888889,0.02880658436213993,0.02179176755447941,0.0225
