Prevalence of schistosomiasis by age group vs. time (d),,,,,,,Prevalence of malaria by age group vs. time (d),,,,,,,Prevalence of coinfection by age group vs. time (d),,,,
Time (d),0-4 y/o,5-15 y/o,16+ y/o,All,,,Time (d),0-4 y/o,5-15 y/o,16+ y/o,All,,,Time (d),0-4 y/o,5-15 y/o,16+ y/o,All
0,0.670605613,0.662771285,0.636235294,0.65,,,0,0.007385524,0.007512521,0.006117647,0.00675,,,0,0.00295421,0.005008347,0.003294118,0.00375
1,0.670605613,0.662771285,0.636235294,0.65,,,1,0.008862629,0.010016694,0.015058824,0.0125,,,1,0.00295421,0.006677796,0.009411765,0.0075
2,0.670605613,0.662771285,0.636235294,0.65,,,2,0.013293944,0.015025042,0.020705882,0.01775,,,2,0.005908419,0.010016694,0.013176471,0.011
3,0.670605613,0.662771285,0.636235294,0.65,,,3,0.016248154,0.022537563,0.025882353,0.02325,,,3,0.008862629,0.014190317,0.016941176,0.01475
4,0.670605613,0.662771285,0.636235294,0.65,,,4,0.019202363,0.025876461,0.031058824,0.0275,,,4,0.011816839,0.015859766,0.020705882,0.01775
5,0.670605613,0.662771285,0.636235294,0.65,,,5,0.022156573,0.028380634,0.038588235,0.03275,,,5,0.011816839,0.017529215,0.027294118,0.02175
6,0.670605613,0.662771285,0.636235294,0.65,,,6,0.023633678,0.03672788,0.042823529,0.03775,,,6,0.013293944,0.022537563,0.030588235,0.02525
7,0.670605613,0.662771285,0.636235294,0.65,,,7,0.029542097,0.041736227,0.047058824,0.0425,,,7,0.019202363,0.02754591,0.033411765,0.02925
8,0.670605613,0.662771285,0.636235294,0.65,,,8,0.044313146,0.044240401,0.050823529,0.04775,,,8,0.029542097,0.02754591,0.035764706,0.03225
9,0.670605613,0.662771285,0.636235294,0.65,,,9,0.051698671,0.054257095,0.054588235,0.054,,,9,0.032496307,0.034223706,0.038117647,0.036
10,0.670605613,0.662771285,0.636235294,0.65,,,10,0.059084195,0.059265442,0.061176471,0.06025,,,10,0.036927622,0.038397329,0.042352941,0.04025
11,0.670605613,0.662771285,0.636235294,0.65,,,11,0.067946824,0.065943239,0.064,0.06525,,,11,0.045790251,0.042570952,0.043764706,0.04375
