"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.0,0.0,0.0,0.0,"","",0,0.03296703296703297,0.019963702359346636,0.03870967741935484,0.0325,"","",0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,"","",1,0.06868131868131866,0.05263157894736844,0.06543778801843313,0.06249999999999997,"","",1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,"","",2,0.09890109890109892,0.07985480943738656,0.09308755760368671,0.09050000000000004,"","",2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,"","",3,0.12912087912087916,0.09981851179673315,0.11981566820276518,0.1160000000000001,"","",3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,"","",4,0.14835164835164832,0.12341197822141549,0.15207373271889396,0.14349999999999993,"","",4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,"","",5,0.17857142857142844,0.13974591651542645,0.1585253456221197,0.15699999999999992,"","",5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,"","",6,0.1758241758241757,0.13974591651542645,0.1585253456221197,0.15649999999999992,"","",6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,"","",7,0.18131868131868117,0.16696914700544474,0.17142857142857118,0.17199999999999988,"","",7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,"","",8,0.1978021978021976,0.17422867513611628,0.1741935483870965,0.17849999999999983,"","",8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,"","",9,0.2060439560439558,0.19419237749546303,0.17880184331797203,0.18799999999999986,"","",9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,"","",10,0.20329670329670307,0.19237749546279515,0.18248847926267245,0.18899999999999983,"","",10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,"","",11,0.19505494505494486,0.1978221415607988,0.19539170506912393,0.19599999999999979,"","",11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,"","",12,0.1978021978021976,0.18874773139745937,0.20460829493087498,0.1989999999999997,"","",12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,"","",13,0.1978021978021976,0.19419237749546303,0.21013824884792562,0.20349999999999965,"","",13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,"","",14,0.20054945054945034,0.19056261343012726,0.21013824884792562,0.20299999999999965,"","",14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,"","",15,0.1978021978021976,0.20689655172413823,0.21290322580645094,0.20849999999999969,"","",15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,"","",16,0.21703296703296676,0.22141560798548132,0.21935483870967667,0.21949999999999967,"","",16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,"","",17,0.2197802197802195,0.2250453720508171,0.22672811059907752,0.2249999999999996,"","",17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,"","",18,0.22252747252747224,0.23956442831216018,0.23594470046082858,0.2344999999999996,"","",18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,"","",19,0.23076923076923045,0.2486388384754996,0.2377880184331788,0.23949999999999957,"","",19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,"","",20,0.2417582417582414,0.2486388384754996,0.24239631336405432,0.24399999999999955,"","",20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,"","",21,0.22527472527472497,0.25589836660617116,0.24239631336405432,0.24299999999999955,"","",21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,"","",22,0.23901098901098866,0.2522686025408354,0.24423963133640453,0.24549999999999955,"","",22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,"","",23,0.2499999999999996,0.27041742286751425,0.25253456221198056,0.25699999999999956,"","",23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,"","",24,0.24450549450549414,0.2776769509981858,0.25990783410138163,0.2619999999999997,"","",24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,"","",25,0.24725274725274687,0.28130671506352156,0.25990783410138163,0.2634999999999997,"","",25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,"","",26,0.2554945054945051,0.2794918330308537,0.2617511520737319,0.2654999999999997,"","",26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,"","",27,0.26648351648351604,0.29764065335753254,0.27096774193548323,0.27749999999999975,"","",27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,"","",28,0.2637362637362633,0.2867513611615252,0.27373271889400863,0.27549999999999975,"","",28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,"","",29,0.2692307692307688,0.290381125226861,0.27741935483870916,0.2794999999999998,"","",29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,"","",30,0.2719780219780215,0.3030852994555362,0.27926267281105943,0.28449999999999986,"","",30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,"","",31,0.28846153846153794,0.3030852994555362,0.28755760368663563,0.292,"","",31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,"","",32,0.29670329670329615,0.31034482758620774,0.29400921658986157,0.299,"","",32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,"","",33,0.30494505494505436,0.3139745916515435,0.3032258064516129,0.3065000000000001,"","",33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,"","",34,0.30494505494505436,0.31941923774954717,0.31336405529953937,0.3135000000000002,"","",34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,"","",35,0.3076923076923071,0.32304900181488294,0.32350230414746584,0.32050000000000034,"","",35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,"","",36,0.33241758241758174,0.3303085299455545,0.33179723502304204,0.33150000000000046,"","",36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,"","",37,0.32692307692307626,0.32304900181488294,0.3364055299539177,0.33100000000000046,"","",37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,"","",38,0.3241758241758235,0.33212341197822237,0.34377880184331877,0.3370000000000006,"","",38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,"","",39,0.34065934065933995,0.33756805807622603,0.3474654377880193,0.34350000000000064,"","",39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,"","",40,0.3461538461538454,0.35027223230490123,0.34838709677419444,0.34850000000000064,"","",40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,"","",41,0.34065934065933995,0.34664246823956546,0.3474654377880193,0.3460000000000007,"","",41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,"","",42,0.34065934065933995,0.3393829401088939,0.35207373271889497,0.3465000000000007,"","",42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,"","",43,0.34890109890109816,0.3411978221415618,0.3612903225806463,0.3535000000000008,"","",43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,"","",44,0.34890109890109816,0.36297640653357643,0.3557603686635955,0.35650000000000076,"","",44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,"","",45,0.34065934065933995,0.36116152450090855,0.35760368663594577,0.35550000000000076,"","",45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,"","",46,0.3351648351648345,0.3684210526315801,0.35760368663594577,0.35650000000000076,"","",46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,"","",47,0.3351648351648345,0.37386569872958375,0.35207373271889497,0.3550000000000007,"","",47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,"","",48,0.3379120879120872,0.370235934664248,0.35483870967742037,0.3560000000000007,"","",48,0.0,0.0,0.0,0.0
