"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.0,0.0,0.0,0.0,"","",0,0.019662921348314606,0.03731343283582088,0.03339350180505414,0.03199999999999999,"","",0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,"","",1,0.05337078651685393,0.06343283582089548,0.06227436823104689,0.06099999999999997,"","",1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,"","",2,0.0702247191011236,0.08955223880597019,0.09025270758122736,0.08649999999999997,"","",2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,"","",3,0.09550561797752816,0.10820895522388069,0.11642599277978329,0.11049999999999997,"","",3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,"","",4,0.11797752808988776,0.13619402985074644,0.14350180505415178,0.13700000000000015,"","",4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,"","",5,0.13483146067415747,0.15858208955223904,0.1480144404332132,0.1485000000000002,"","",5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,"","",6,0.14044943820224737,0.1679104477611943,0.15252707581227465,0.15450000000000025,"","",6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,"","",7,0.16853932584269687,0.1791044776119406,0.1561371841155238,0.16450000000000028,"","",7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,"","",8,0.17134831460674183,0.1865671641791048,0.15794223826714837,0.16800000000000034,"","",8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,"","",9,0.18539325842696658,0.19589552238806004,0.1705776173285204,0.18000000000000047,"","",9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,"","",10,0.20224719101123628,0.2052238805970153,0.19404332129963986,0.19850000000000062,"","",10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,"","",11,0.2303370786516858,0.21082089552238845,0.20758122743682417,0.21250000000000074,"","",11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,"","",12,0.2359550561797757,0.21828358208955265,0.21570397111913475,0.22000000000000083,"","",12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,"","",13,0.23876404494382064,0.2276119402985079,0.2328519855595682,0.23250000000000096,"","",13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,"","",14,0.2415730337078656,0.23320895522388105,0.23736462093862964,0.23700000000000102,"","",14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,"","",15,0.2528089887640454,0.2276119402985079,0.23465703971119278,0.236000000000001,"","",15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,"","",16,0.2415730337078656,0.2238805970149258,0.23916967509025422,0.23550000000000101,"","",16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,"","",17,0.25561797752809035,0.2238805970149258,0.24638989169675252,0.24200000000000108,"","",17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,"","",18,0.2808988764044949,0.22574626865671685,0.24187725631769108,0.24450000000000105,"","",18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,"","",19,0.27808988764044995,0.22574626865671685,0.24548736462094023,0.24600000000000108,"","",19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,"","",20,0.28370786516853985,0.22201492537313475,0.24458483754512794,0.24550000000000108,"","",20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,"","",21,0.2977528089887646,0.23134328358209,0.2527075812274385,0.25500000000000117,"","",21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,"","",22,0.28370786516853985,0.2388059701492542,0.2626353790613737,0.26000000000000123,"","",22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,"","",23,0.2865168539325848,0.24813432835820945,0.27346570397112113,0.26900000000000135,"","",23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,"","",24,0.3089887640449444,0.26119402985074663,0.27256317689530885,0.2760000000000013,"","",24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,"","",25,0.31179775280898936,0.25559701492537357,0.269855595667872,0.2735000000000013,"","",25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,"","",26,0.3146067415730343,0.25559701492537357,0.2743682310469334,0.27650000000000136,"","",26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,"","",27,0.3258426966292141,0.2667910447761197,0.282490974729244,0.28600000000000136,"","",27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,"","",28,0.32865168539325906,0.27985074626865686,0.29241877256317916,0.29550000000000143,"","",28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,"","",29,0.3146067415730343,0.28731343283582095,0.2969314079422406,0.2975000000000014,"","",29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,"","",30,0.32865168539325906,0.2985074626865671,0.30595667870036347,0.3080000000000015,"","",30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,"","",31,0.3426966292134838,0.30597014925373117,0.30595667870036347,0.3125000000000015,"","",31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,"","",32,0.33988764044943887,0.31156716417910424,0.3176895306859232,0.3200000000000015,"","",32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,"","",33,0.3426966292134838,0.3264925373134324,0.3267148014440461,0.3295000000000015,"","",33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,"","",34,0.36235955056179847,0.3320895522388055,0.3330324909747321,0.3380000000000016,"","",34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,"","",35,0.3426966292134838,0.33582089552238753,0.3465703971119164,0.34300000000000164,"","",35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,"","",36,0.3426966292134838,0.32835820895522344,0.35108303249097783,0.3435000000000017,"","",36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,"","",37,0.35674157303370857,0.3246268656716414,0.34927797833935326,0.3440000000000017,"","",37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,"","",38,0.3595505617977535,0.3227611940298504,0.34927797833935326,0.3440000000000017,"","",38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,"","",39,0.35674157303370857,0.32835820895522344,0.3465703971119164,0.3435000000000017,"","",39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,"","",40,0.3707865168539333,0.3395522388059696,0.3402527075812304,0.3455000000000016,"","",40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,"","",41,0.3679775280898884,0.3582089552238798,0.3375451263537935,0.34850000000000153,"","",41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,"","",42,0.35112359550561867,0.35261194029850673,0.34296028880866725,0.3470000000000016,"","",42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,"","",43,0.3651685393258434,0.3414179104477606,0.3375451263537935,0.3435000000000016,"","",43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,"","",44,0.36235955056179847,0.33768656716417855,0.3474729241877287,0.3475000000000017,"","",44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,"","",45,0.3595505617977535,0.3395522388059696,0.35649819494585155,0.3525000000000017,"","",45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,"","",46,0.3679775280898884,0.3264925373134324,0.34927797833935326,0.3465000000000017,"","",46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,"","",47,0.3651685393258434,0.33022388059701446,0.3537906137184147,0.3495000000000017,"","",47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,"","",48,0.3595505617977535,0.3339552238805965,0.3592057761732884,0.3525000000000018,"","",48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,"","",49,0.3595505617977535,0.3320895522388055,0.361010830324913,0.3530000000000018,"","",49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,"","",50,0.3820224719101131,0.33768656716417855,0.35740072202166384,0.35650000000000176,"","",50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,"","",51,0.3960674157303379,0.3507462686567157,0.3601083032491007,0.3640000000000017,"","",51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,"","",52,0.39325842696629293,0.3563432835820888,0.361010830324913,0.3655000000000017,"","",52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,"","",53,0.3960674157303379,0.35261194029850673,0.3655234657039744,0.36750000000000177,"","",53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,"","",54,0.39325842696629293,0.35261194029850673,0.373646209386285,0.37150000000000183,"","",54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,"","",55,0.39325842696629293,0.35261194029850673,0.38628158844765703,0.37850000000000195,"","",55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,"","",56,0.387640449438203,0.35447761194029775,0.3898916967509062,0.38000000000000195,"","",56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,"","",57,0.39887640449438283,0.3563432835820888,0.38628158844765703,0.38050000000000195,"","",57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,"","",58,0.39325842696629293,0.3656716417910439,0.3880866425992816,0.38300000000000195,"","",58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,"","",59,0.41011235955056263,0.374999999999999,0.3898916967509062,0.38950000000000196,"","",59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,"","",60,0.41011235955056263,0.374999999999999,0.38447653429603246,0.3865000000000019,"","",60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,"","",61,0.4185393258426975,0.37126865671641696,0.3880866425992816,0.38900000000000196,"","",61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,"","",62,0.42134831460674244,0.37873134328358105,0.38537906137184474,0.3900000000000019,"","",62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,"","",63,0.4185393258426975,0.3824626865671631,0.3880866425992816,0.3920000000000019,"","",63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,"","",64,0.4185393258426975,0.37686567164179,0.39259927797834304,0.39300000000000196,"","",64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,"","",65,0.41573033707865253,0.37873134328358105,0.3971119133574045,0.3955000000000019,"","",65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,"","",66,0.39887640449438283,0.3899253731343272,0.39079422382671847,0.3920000000000018,"","",66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,"","",67,0.39325842696629293,0.39552238805970025,0.39981949458484134,0.3975000000000019,"","",67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,"","",68,0.4073033707865177,0.39552238805970025,0.39801444043321677,0.3990000000000019,"","",68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,"","",69,0.40449438202247273,0.3899253731343272,0.39891696750902905,0.3975000000000019,"","",69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,"","",70,0.3820224719101131,0.3917910447761182,0.4007220216606536,0.3950000000000019,"","",70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,"","",71,0.3735955056179783,0.3936567164179092,0.3971119133574045,0.3920000000000019,"","",71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,"","",72,0.390449438202248,0.3899253731343272,0.39350180505415533,0.3920000000000019,"","",72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,"","",73,0.3848314606741581,0.38619402985074514,0.3898916967509062,0.38800000000000184,"","",73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,"","",74,0.390449438202248,0.37873134328358105,0.39169675090253075,0.38800000000000195,"","",74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,"","",75,0.387640449438203,0.374999999999999,0.3880866425992816,0.38450000000000195,"","",75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,"","",76,0.387640449438203,0.3675373134328349,0.3889891696750939,0.38300000000000195,"","",76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,"","",77,0.390449438202248,0.36940298507462593,0.39259927797834304,0.38600000000000195,"","",77,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,"","",78,0.4016853932584278,0.37873134328358105,0.39169675090253075,0.39000000000000196,"","",78,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,"","",79,0.39887640449438283,0.38619402985074514,0.39169675090253075,0.3915000000000019,"","",79,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,"","",80,0.3820224719101131,0.3917910447761182,0.38628158844765703,0.38700000000000184,"","",80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,"","",81,0.3792134831460682,0.38619402985074514,0.3971119133574045,0.39100000000000196,"","",81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,"","",82,0.3792134831460682,0.38619402985074514,0.39891696750902905,0.39200000000000196,"","",82,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,"","",83,0.3848314606741581,0.3824626865671631,0.39981949458484134,0.39250000000000196,"","",83,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,"","",84,0.3848314606741581,0.38059701492537207,0.4016245487364659,0.39300000000000196,"","",84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,"","",85,0.3764044943820232,0.37686567164179,0.40523465703971506,0.392500000000002,"","",85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,"","",86,0.3735955056179783,0.3917910447761182,0.4106498194945888,0.39900000000000196,"","",86,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,"","",87,0.3679775280898884,0.3843283582089541,0.4097472924187765,0.39550000000000207,"","",87,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,"","",88,0.3679775280898884,0.38059701492537207,0.41335740072202565,0.3965000000000021,"","",88,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,"","",89,0.3651685393258434,0.3899253731343272,0.4151624548736502,0.399500000000002,"","",89,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,"","",90,0.3764044943820232,0.39552238805970025,0.4169675090252748,0.404000000000002,"","",90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,"","",91,0.3735955056179783,0.39552238805970025,0.4115523465704011,0.40050000000000197,"","",91,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,"","",92,0.390449438202248,0.3917910447761182,0.4160649819494625,0.405000000000002,"","",92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,"","",93,0.387640449438203,0.39738805970149127,0.41877256317689937,0.407500000000002,"","",93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,"","",94,0.390449438202248,0.3824626865671631,0.41425992779783793,0.401500000000002,"","",94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,"","",95,0.387640449438203,0.374999999999999,0.4106498194945888,0.3970000000000021,"","",95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,"","",96,0.3848314606741581,0.374999999999999,0.41335740072202565,0.39800000000000213,"","",96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,"","",97,0.387640449438203,0.3675373134328349,0.40613718411552735,0.39250000000000207,"","",97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,"","",98,0.3820224719101131,0.373134328358208,0.4106498194945888,0.39550000000000207,"","",98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,"","",99,0.39325842696629293,0.3824626865671631,0.40703971119133964,0.39800000000000196,"","",99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,"","",100,0.39325842696629293,0.3843283582089541,0.40703971119133964,0.39850000000000196,"","",100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,"","",101,0.4016853932584278,0.3824626865671631,0.4169675090252748,0.405000000000002,"","",101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,"","",102,0.4073033707865177,0.4104477611940284,0.4232851985559608,0.41700000000000204,"","",102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,"","",103,0.41011235955056263,0.42723880597014763,0.4241877256317731,0.42250000000000204,"","",103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,"","",104,0.4073033707865177,0.4235074626865656,0.42779783393502224,0.42300000000000204,"","",104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,"","",105,0.41573033707865253,0.4253731343283566,0.43501805054152054,0.4290000000000021,"","",105,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,"","",106,0.40449438202247273,0.42723880597014763,0.42870036101083453,0.42400000000000204,"","",106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,"","",107,0.40449438202247273,0.41977611940298354,0.4250902527075854,0.42000000000000204,"","",107,0.0,0.0,0.0,0.0
