"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.40289855072463787,0.4338358458961455,0.4621928166351636,0.443500000000001,"","",0,0.02318840579710145,0.05025125628140705,0.03686200378071833,0.0385,"","",0,0.014492753623188406,0.021775544388609708,0.023629489603024568,0.02149999999999999
1,0.40289855072463787,0.4338358458961455,0.4621928166351636,0.443500000000001,"","",1,0.0666666666666667,0.10050251256281416,0.08317580340264645,0.0855,"","",1,0.04057971014492755,0.05360134003350086,0.05009451795841212,0.049500000000000016
2,0.40289855072463787,0.4338358458961455,0.4621928166351636,0.443500000000001,"","",2,0.11884057971014499,0.15075376884422106,0.12854442344045344,0.1334999999999999,"","",2,0.06956521739130438,0.0737018425460637,0.07939508506616254,0.076
3,0.40289855072463787,0.4338358458961455,0.4621928166351636,0.443500000000001,"","",3,0.1797101449275363,0.18425460636515886,0.15973534971644618,0.17049999999999998,"","",3,0.0985507246376812,0.09212730318257964,0.09451795841209819,0.09449999999999997
4,0.40289855072463787,0.4338358458961455,0.4621928166351636,0.443500000000001,"","",4,0.20579710144927546,0.227805695142378,0.2032136105860118,0.21100000000000008,"","",4,0.10724637681159425,0.120603015075377,0.11814744801512264,0.11699999999999991
5,0.40289855072463787,0.4338358458961455,0.4621928166351636,0.443500000000001,"","",5,0.2173913043478262,0.23283082077051867,0.22495274102079463,0.22600000000000023,"","",5,0.12173913043478267,0.13065326633165839,0.13137996219281642,0.12949999999999995
6,0.40289855072463787,0.4338358458961455,0.4621928166351636,0.443500000000001,"","",6,0.22028985507246387,0.23115577889447178,0.23629489603024653,0.2320000000000003,"","",6,0.11884057971014499,0.1273031825795646,0.1446124763705103,0.135
7,0.40289855072463787,0.4338358458961455,0.4621928166351636,0.443500000000001,"","",7,0.20579710144927546,0.21943048576214355,0.24669187145557744,0.23150000000000032,"","",7,0.10434782608695657,0.12227805695142391,0.15028355387523626,0.13400000000000004
8,0.40289855072463787,0.4338358458961455,0.4621928166351636,0.443500000000001,"","",8,0.18840579710144936,0.22278056951423733,0.25519848771266634,0.23400000000000035,"","",8,0.08695652173913047,0.12562814070351772,0.1578449905482042,0.13600000000000007
9,0.40289855072463787,0.4338358458961455,0.4621928166351636,0.443500000000001,"","",9,0.20869565217391314,0.21775544388609666,0.2504725897920614,0.23350000000000035,"","",9,0.10434782608695657,0.120603015075377,0.1568998109640832,0.13700000000000007
