"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",0,0.032520325203252036,0.03935742971887555,0.030242935052057475,0.0335,"","",0,0.012195121951219514,0.016064257028112452,0.016856717897868124,0.015750000000000004
1,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",1,0.06504065040650407,0.06506024096385551,0.05999008428358957,0.06250000000000007,"","",1,0.03523035230352304,0.026506024096385566,0.029747149231531943,0.029749999999999988
2,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",2,0.09891598915989144,0.09236947791164674,0.0902330193356472,0.09250000000000011,"","",2,0.04878048780487806,0.036947791164658676,0.04610808130887459,0.043750000000000025
3,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",3,0.12195121951219486,0.11807228915662671,0.12345066931085805,0.12150000000000019,"","",3,0.05962059620596207,0.044176706827309294,0.06395637084779385,0.05700000000000007
4,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",4,0.15989159891598906,0.1566265060240961,0.14923153197818587,0.1535000000000001,"","",4,0.07588075880758803,0.05943775100401615,0.07734258800198329,0.0715000000000001
5,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",5,0.17750677506775067,0.1558232931726905,0.16460089241447745,0.16425000000000017,"","",5,0.08672086720867199,0.05461847389558241,0.0803173029251365,0.07350000000000008
6,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",6,0.17886178861788618,0.16706827309236905,0.17600396628656476,0.17375000000000015,"","",6,0.08130081300813001,0.056224899598393656,0.08130887456618757,0.07350000000000009
7,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",7,0.17750677506775067,0.17429718875501954,0.17848289538919243,0.1770000000000001,"","",7,0.084010840108401,0.05863453815261053,0.08130887456618757,0.0747500000000001
8,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",8,0.1829268292682927,0.1879518072289149,0.1893901834407542,0.18775000000000008,"","",8,0.0826558265582655,0.06506024096385551,0.08824987605354506,0.08000000000000011
9,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",9,0.1829268292682927,0.1879518072289149,0.19980168567179044,0.19300000000000012,"","",9,0.084010840108401,0.06345381526104427,0.08824987605354506,0.07975000000000011
10,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",10,0.19376693766937678,0.19999999999999907,0.20426375805652025,0.20100000000000007,"","",10,0.08943089430894298,0.06666666666666676,0.08973723351512167,0.08250000000000011
11,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",11,0.2127371273712739,0.21204819277108322,0.20525532969757132,0.20875000000000002,"","",11,0.09891598915989144,0.0779116465863455,0.09172037679722381,0.08875000000000012
12,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",12,0.21680216802168042,0.22730923694778982,0.21467526028755649,0.21899999999999994,"","",12,0.09078590785907847,0.0843373493975905,0.09419930589985148,0.09050000000000012
13,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",13,0.23441734417344204,0.23935742971887397,0.22310361923649058,0.23024999999999995,"","",13,0.09891598915989144,0.08915662650602424,0.09766980664353023,0.09525000000000013
14,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",14,0.2439024390243906,0.2497991967871469,0.22954883490332254,0.23849999999999993,"","",14,0.10162601626016243,0.0979919678714861,0.10361923648983665,0.10150000000000015
15,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",15,0.2452574525745261,0.24578313253011885,0.23252354982647574,0.23899999999999993,"","",15,0.10162601626016243,0.09638554216867486,0.10510659395141325,0.10175000000000015
16,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",16,0.25609756097561015,0.24819277108433568,0.23549826474962895,0.24324999999999994,"","",16,0.10298102981029793,0.09959839357429735,0.10758552305404093,0.10425000000000015
17,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",17,0.25338753387533913,0.2497991967871469,0.24392662369856305,0.24749999999999994,"","",17,0.10569105691056892,0.10040160642570298,0.1115518096182452,0.10700000000000015
18,0.4539295392953944,0.4232931726907587,0.45314823996032744,0.443999999999994,"","",18,0.25745257452574566,0.2497991967871469,0.24690133862171626,0.24974999999999997,"","",18,0.10569105691056892,0.09959839357429735,0.11403073872087288,0.10800000000000017
