"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",0,0.027100271002710032,0.03544929925803792,0.035627135187896536,0.034,"","",0,0.01761517615176152,0.018961253091508656,0.01268911664226452,0.0155
1,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",1,0.055555555555555566,0.06265457543281121,0.0741825280624695,0.06725,"","",1,0.02439024390243903,0.033800494641384994,0.02977061981454368,0.03
2,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",2,0.084010840108401,0.09233305853256389,0.1059053196681308,0.09774999999999999,"","",2,0.04065040650406505,0.046166529266281946,0.042947779404587605,0.0435
3,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",3,0.1111111111111109,0.12201154163231658,0.13616398243045388,0.12724999999999995,"","",3,0.055555555555555566,0.06183017312448475,0.05954123962908736,0.0595
4,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",4,0.13821138211382092,0.14756801319043655,0.16788677403611518,0.15624999999999983,"","",4,0.07181571815718155,0.07089859851607584,0.07174231332357248,0.0715
5,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",5,0.14227642276422744,0.15910964550700685,0.17764763299170327,0.16549999999999981,"","",5,0.06368563685636858,0.0741962077493817,0.07515861395802831,0.07275
6,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",6,0.14634146341463397,0.16735366859027134,0.1795998047828209,0.16974999999999976,"","",6,0.06639566395663957,0.07666941467436109,0.0746705710102489,0.07375
7,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",7,0.1504065040650405,0.17724649629018874,0.18789653489507077,0.1777499999999997,"","",7,0.06504065040650407,0.07831821929101401,0.08296730112249878,0.07825
8,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",8,0.1653116531165311,0.18466611706512678,0.19912152269399708,0.1884999999999997,"","",8,0.07723577235772353,0.07996702390766694,0.08589555880917521,0.0825
9,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",9,0.17615176151761516,0.19868095630667643,0.20497803806734993,0.19774999999999962,"","",9,0.07994579945799452,0.08821104699093157,0.08638360175695461,0.08574999999999998
10,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",10,0.18563685636856372,0.20774938169826737,0.21717911176183505,0.2084999999999996,"","",10,0.08672086720867199,0.09150865622423743,0.08833577354807223,0.08899999999999998
11,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",11,0.20731707317073186,0.22011541632316411,0.22547584187408493,0.22049999999999956,"","",11,0.09620596205962045,0.09480626545754328,0.09126403123474866,0.09324999999999997
12,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",12,0.22222222222222246,0.2250618301731228,0.24011713030746706,0.23224999999999954,"","",12,0.10298102981029793,0.09398186314921682,0.0956564177647633,0.09649999999999997
13,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",13,0.23306233062330653,0.2283594394064286,0.24841386041971694,0.23949999999999955,"","",13,0.09891598915989144,0.09975267930750206,0.09760858955588092,0.09849999999999998
14,0.4363143631436328,0.4608408903544945,0.4319180087847627,0.44149999999999545,"","",14,0.2425474254742551,0.23248145094806086,0.25671059053196643,0.24674999999999933,"","",14,0.10162601626016243,0.10140148392415499,0.10297706198145437,0.10224999999999997
