"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",0,0.14767932489451488,0.16028708133971234,0.16265356265356196,0.15924999999999948,"","",0,0.0914205344585092,0.11961722488038246,0.13071253071253083,0.12024999999999997
1,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",1,0.2489451476793251,0.2942583732057417,0.2977886977886963,0.2879999999999993,"","",1,0.1617440225035163,0.22248803827751099,0.2334152334152309,0.21724999999999844
2,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",2,0.34458509142053473,0.3732057416267966,0.4029484029484047,0.3832500000000017,"","",2,0.23066104078762326,0.28149920255183386,0.31351351351351253,0.28874999999999945
3,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",3,0.43600562587904396,0.47288676236045174,0.498280098280103,0.4792500000000041,"","",3,0.2925457102672295,0.3460925039872424,0.3852579852579865,0.35650000000000115
4,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",4,0.5189873417721516,0.5478468899521604,0.573955773955781,0.5560000000000058,"","",4,0.34880450070323515,0.4019138755980893,0.43390663390663664,0.40875000000000244
5,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",5,0.5316455696202523,0.533492822966514,0.5592137592137658,0.5462500000000053,"","",5,0.3741209563994377,0.3947368421052661,0.4142506142506164,0.401000000000002
6,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",6,0.5161744022503514,0.5175438596491292,0.5582309582309648,0.5380000000000053,"","",6,0.3544303797468357,0.37081339712918887,0.4024570024570042,0.38400000000000173
7,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",7,0.526019690576652,0.5350877192982525,0.5592137592137658,0.5457500000000055,"","",7,0.35161744022503544,0.3795853269537505,0.39754299754299915,0.3837500000000017
8,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",8,0.5274261603375521,0.5199362041467369,0.5385749385749445,0.530750000000005,"","",8,0.347398030942335,0.36443381180223494,0.37444717444717535,0.36650000000000116
9,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",9,0.5274261603375521,0.513556618819783,0.5262899262899319,0.5225000000000046,"","",9,0.3502109704641353,0.3516746411483271,0.3641277641277647,0.3577500000000009
10,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",10,0.5077355836849509,0.5015948963317444,0.5179361179361233,0.5110000000000046,"","",10,0.3234880450070326,0.334928229665073,0.35233415233415255,0.34175000000000055
11,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",11,0.4936708860759498,0.5023923444976136,0.5076167076167126,0.5035000000000045,"","",11,0.30801687763713104,0.32934609250398833,0.34348894348894343,0.3327500000000003
12,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",12,0.4781997187060482,0.4880382775119673,0.500245700245705,0.49250000000000427,"","",12,0.29535864978902976,0.31977671451355744,0.33120393120393077,0.32125000000000004
13,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",13,0.4711673699015475,0.4816586921850134,0.4899262899262944,0.48400000000000404,"","",13,0.2897327707454292,0.31259968102073427,0.32137592137592064,0.3129999999999999
14,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",14,0.45850914205344623,0.47687400318979795,0.4820638820638863,0.4762500000000039,"","",14,0.28551336146272877,0.3070175438596496,0.312039312039311,0.30574999999999963
15,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",15,0.44585091420534495,0.46172248803828236,0.46437346437346805,0.4602500000000035,"","",15,0.27848101265822806,0.29505582137161096,0.2968058968058953,0.2929999999999993
16,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",16,0.4331926863572437,0.44816586921850526,0.4525798525798559,0.44775000000000315,"","",16,0.2672292545710269,0.2846889952153108,0.28452088452088264,0.281499999999999
17,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",17,0.43178621659634353,0.43221690590112044,0.43390663390663664,0.4330000000000027,"","",17,0.25879043600562607,0.2663476874003183,0.27027027027026795,0.2669999999999986
18,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",18,0.41209563994374154,0.42264752791068955,0.4093366093366113,0.4140000000000022,"","",18,0.2489451476793251,0.2551834130781489,0.2530712530712502,0.2529999999999983
19,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",19,0.39521800281293984,0.4138755980861279,0.3916461916461931,0.39925000000000194,"","",19,0.23488045007032368,0.2464114832535874,0.2407862407862381,0.2414999999999983
20,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",20,0.4008438818565404,0.41068580542265093,0.39115479115479257,0.3990000000000018,"","",20,0.23628691983122382,0.24003189792663368,0.23783783783783521,0.23824999999999835
21,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",21,0.3980309423347401,0.4218500797448203,0.39017199017199156,0.4015000000000019,"","",21,0.2390998593530241,0.2551834130781489,0.24275184275184,0.24599999999999833
22,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",22,0.4036568213783407,0.42503987240829727,0.39705159705159865,0.407000000000002,"","",22,0.24472573839662468,0.2575757575757566,0.24815724815724527,0.2504999999999983
23,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",23,0.4275668073136431,0.4393939393939436,0.40393120393120574,0.4192500000000023,"","",23,0.26441631504922664,0.26555023923444904,0.25651105651105377,0.2607499999999984
24,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",24,0.43600562587904396,0.45933014354067464,0.4294840294840321,0.44000000000000283,"","",24,0.26160337552742635,0.28309409888357234,0.2756756756756735,0.27549999999999886
25,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",25,0.4444444444444448,0.47129186602871326,0.43488943488943765,0.44800000000000306,"","",25,0.27566807313642777,0.2982456140350879,0.2815724815724796,0.2857499999999991
26,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",26,0.4571026722925461,0.49601275917065973,0.45110565110565437,0.46625000000000355,"","",26,0.2841068917018286,0.31259968102073427,0.29336609336609176,0.2977499999999994
27,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",27,0.45850914205344623,0.5119617224880445,0.4687960687960726,0.480500000000004,"","",27,0.28832630098452905,0.32615629984051137,0.30761670761670645,0.3099999999999998
28,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",28,0.4641350210970468,0.5199362041467369,0.47960687960688375,0.4895000000000042,"","",28,0.2939521800281296,0.334928229665073,0.31646191646191557,0.31825
29,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",29,0.4711673699015475,0.507177033492829,0.48845208845209287,0.4912500000000042,"","",29,0.30239099859353047,0.32615629984051137,0.32285012285012216,0.32025
30,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",30,0.4641350210970468,0.4992025518341367,0.4923832923832969,0.4895000000000042,"","",30,0.3009845288326303,0.32216905901116516,0.32186732186732114,0.31825
31,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",31,0.4514767932489455,0.4856459330143596,0.49484029484029946,0.48425000000000423,"","",31,0.2967651195499299,0.314992025518342,0.3257985257985252,0.3172499999999999
32,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",32,0.46554149085794694,0.4776714513556672,0.48746928746929186,0.480500000000004,"","",32,0.3066104078762309,0.3078149920255188,0.31449631449631354,0.3109999999999997
33,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",33,0.47257383966244765,0.4800637958532749,0.48697788697789135,0.48225000000000395,"","",33,0.31223628691983146,0.31259968102073427,0.31105651105651,0.31174999999999964
34,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",34,0.46976090014064736,0.4856459330143596,0.4850122850122893,0.482500000000004,"","",34,0.3094233473980312,0.31020733652312654,0.313022113022112,0.3114999999999997
35,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",35,0.4781997187060482,0.4776714513556672,0.4776412776412817,0.47775000000000384,"","",35,0.3164556962025319,0.3054226475279111,0.30761670761670645,0.30849999999999955
36,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",36,0.4810126582278485,0.47926634768740567,0.4766584766584807,0.47825000000000384,"","",36,0.3136427566807316,0.30063795853269565,0.3036855036855024,0.30449999999999944
37,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",37,0.46976090014064736,0.470494417862844,0.4766584766584807,0.47350000000000375,"","",37,0.30239099859353047,0.2942583732057417,0.30810810810810696,0.3027499999999994
38,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",38,0.4571026722925461,0.46331738437002085,0.4766584766584807,0.46900000000000364,"","",38,0.2897327707454292,0.28867623604465703,0.30614250614250493,0.2977499999999994
39,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",39,0.45850914205344623,0.44019138755981285,0.4751842751842792,0.4612500000000035,"","",39,0.2841068917018286,0.2703349282296645,0.3046683046683034,0.29024999999999923
40,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",40,0.46272855133614665,0.4409888357256821,0.4751842751842792,0.4622500000000035,"","",40,0.2925457102672295,0.2703349282296645,0.30614250614250493,0.2924999999999992
41,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",41,0.44866385372714523,0.42663476874003575,0.47272727272727666,0.4540000000000033,"","",41,0.2827004219409285,0.26156299840510283,0.30614250614250493,0.28799999999999915
42,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",42,0.4542897327707458,0.43620414673046665,0.4678132678132716,0.4555000000000033,"","",42,0.2841068917018286,0.2647527910685798,0.3051597051597039,0.28874999999999923
43,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",43,0.4444444444444448,0.44417862838915906,0.4756756756756797,0.4602500000000035,"","",43,0.2770745428973279,0.2711323763955337,0.313022113022112,0.2934999999999993
44,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",44,0.4444444444444448,0.44577352472089754,0.4668304668304706,0.45625000000000343,"","",44,0.2728551336146275,0.26953748006379524,0.30761670761670645,0.28949999999999926
45,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",45,0.4542897327707458,0.4561403508771977,0.460442260442264,0.45800000000000335,"","",45,0.2728551336146275,0.2767145135566184,0.30614250614250493,0.2909999999999993
46,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",46,0.45569620253164594,0.4569377990430669,0.4668304668304706,0.46175000000000344,"","",46,0.27426160337552763,0.2799043062200954,0.3115479115479105,0.29499999999999943
47,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",47,0.46272855133614665,0.4601275917065439,0.4692874692874731,0.46525000000000355,"","",47,0.2827004219409285,0.2878787878787878,0.3125307125307115,0.2994999999999995
48,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",48,0.45850914205344623,0.45135566188198223,0.462407862407866,0.4582500000000033,"","",48,0.27566807313642777,0.28548644338118007,0.30761670761670645,0.29499999999999943
49,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",49,0.46976090014064736,0.46331738437002085,0.4673218673218711,0.4665000000000035,"","",49,0.2798874824191282,0.29505582137161096,0.3115479115479105,0.3007499999999995
50,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",50,0.4613220815752465,0.4609250398724131,0.4697788697788736,0.4655000000000035,"","",50,0.2770745428973279,0.2942583732057417,0.31547911547911456,0.3019999999999996
51,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",51,0.4711673699015475,0.45374800637958995,0.4742014742014782,0.46725000000000355,"","",51,0.2798874824191282,0.2862838915470493,0.3184275184275176,0.30149999999999955
52,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",52,0.4739803094233478,0.4529505582137207,0.47223587223587615,0.4665000000000035,"","",52,0.28129395218002834,0.27910685805422614,0.31646191646191557,0.2984999999999995
53,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",53,0.4810126582278485,0.4601275917065439,0.4702702702702741,0.4690000000000035,"","",53,0.28832630098452905,0.28149920255183386,0.31351351351351253,0.29899999999999943
54,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",54,0.4767932489451481,0.4665071770334978,0.46437346437346805,0.46725000000000355,"","",54,0.2869198312236289,0.29106858054226475,0.3051597051597039,0.29749999999999943
55,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",55,0.4838255977496488,0.47527910685805946,0.4687960687960726,0.47350000000000364,"","",55,0.2925457102672295,0.30063795853269565,0.3056511056511044,0.30174999999999946
56,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",56,0.4838255977496488,0.47926634768740567,0.46339066339066703,0.47200000000000364,"","",56,0.2967651195499299,0.3054226475279111,0.30024570024569885,0.3012499999999994
57,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",57,0.47538677918424793,0.46570972886762857,0.4687960687960726,0.4690000000000036,"","",57,0.2827004219409285,0.2982456140350879,0.3036855036855024,0.2982499999999994
58,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",58,0.4683544303797472,0.46570972886762857,0.47272727272727666,0.46975000000000366,"","",58,0.2827004219409285,0.2974481658692187,0.3046683046683034,0.29849999999999943
59,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",59,0.47538677918424793,0.45773524720893616,0.4697788697788736,0.4670000000000035,"","",59,0.2841068917018286,0.2878787878787878,0.3027027027027014,0.2947499999999993
60,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",60,0.47538677918424793,0.4489633173843745,0.4687960687960726,0.46375000000000344,"","",60,0.27848101265822806,0.2799043062200954,0.3046683046683034,0.29224999999999934
61,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",61,0.4852320675105489,0.447368421052636,0.4697788697788736,0.4655000000000034,"","",61,0.2897327707454292,0.27591706539074917,0.3056511056511044,0.2934999999999993
62,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",62,0.4767932489451481,0.450558213716113,0.46584766584766957,0.4630000000000034,"","",62,0.28832630098452905,0.2783094098883569,0.3056511056511044,0.2939999999999993
63,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",63,0.48241912798874864,0.44976076555024375,0.46339066339066703,0.4625000000000033,"","",63,0.28832630098452905,0.27591706539074917,0.3017199017199004,0.29124999999999923
64,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",64,0.4950773558368499,0.45374800637958995,0.4668304668304706,0.4677500000000034,"","",64,0.30239099859353047,0.2767145135566184,0.30614250614250493,0.2962499999999993
65,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",65,0.5035161744022506,0.46570972886762857,0.4673218673218711,0.4732500000000035,"","",65,0.3094233473980312,0.2807017543859646,0.3027027027027014,0.29699999999999926
66,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",66,0.5021097046413505,0.45215311004785147,0.4737100737100777,0.47200000000000353,"","",66,0.3066104078762309,0.2663476874003183,0.30712530712530595,0.2942499999999992
67,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",67,0.49648382559775006,0.4625199362041516,0.47272727272727666,0.47375000000000356,"","",67,0.3066104078762309,0.2743221690590107,0.30663390663390544,0.2964999999999993
68,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",68,0.48663853727144907,0.47129186602871326,0.47321867321867717,0.47500000000000375,"","",68,0.29817158931083004,0.2799043062200954,0.30712530712530595,0.2969999999999993
69,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",69,0.47538677918424793,0.4696969696969748,0.4756756756756797,0.47375000000000367,"","",69,0.28832630098452905,0.28149920255183386,0.312039312039311,0.2982499999999994
70,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",70,0.4739803094233478,0.45773524720893616,0.47321867321867717,0.4685000000000035,"","",70,0.2925457102672295,0.27352472089314145,0.312039312039311,0.2964999999999994
71,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",71,0.4669479606188471,0.4569377990430669,0.47223587223587615,0.4665000000000035,"","",71,0.2827004219409285,0.27352472089314145,0.31105651105651,0.29424999999999935
72,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",72,0.4810126582278485,0.4529505582137207,0.47813267813268223,0.47075000000000367,"","",72,0.2925457102672295,0.26794258373205676,0.31547911547911456,0.2964999999999994
73,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",73,0.47960618846694836,0.46331738437002085,0.4742014742014782,0.4717500000000036,"","",73,0.28551336146272877,0.28149920255183386,0.31449631449631354,0.29899999999999943
74,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",74,0.4838255977496488,0.46331738437002085,0.4687960687960726,0.4697500000000035,"","",74,0.2939521800281296,0.27910685805422614,0.30712530712530595,0.2959999999999993
75,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",75,0.4838255977496488,0.45933014354067464,0.4668304668304706,0.4675000000000035,"","",75,0.2925457102672295,0.27751196172248765,0.30712530712530595,0.2952499999999993
76,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",76,0.5007032348804504,0.45534290271132843,0.46437346437346805,0.4680000000000034,"","",76,0.30520393811533075,0.2767145135566184,0.3041769041769029,0.29574999999999924
77,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",77,0.4810126582278485,0.45135566188198223,0.46584766584766957,0.4640000000000034,"","",77,0.2841068917018286,0.27751196172248765,0.30712530712530595,0.29374999999999934
78,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",78,0.47538677918424793,0.4489633173843745,0.462407862407866,0.4605000000000033,"","",78,0.2869198312236289,0.27751196172248765,0.3051597051597039,0.29324999999999934
79,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",79,0.4711673699015475,0.4561403508771977,0.461425061425065,0.46150000000000335,"","",79,0.2798874824191282,0.2838915470494416,0.3041769041769029,0.2934999999999993
80,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",80,0.4514767932489455,0.4561403508771977,0.46388206388206754,0.45925000000000343,"","",80,0.26441631504922664,0.28548644338118007,0.30859950859950747,0.29349999999999943
81,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",81,0.4331926863572437,0.4585326953748054,0.46289926289926653,0.45625000000000343,"","",81,0.2531645569620255,0.28947368421052627,0.31105651105651,0.2939999999999995
82,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",82,0.4416315049226445,0.4681020733652363,0.45847665847666197,0.4585000000000034,"","",82,0.2601969057665262,0.29665071770334944,0.30810810810810696,0.2959999999999995
83,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",83,0.4275668073136431,0.47288676236045174,0.462407862407866,0.4595000000000035,"","",83,0.2489451476793251,0.2982456140350879,0.30859950859950747,0.29474999999999957
84,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",84,0.4106891701828414,0.473684210526321,0.462407862407866,0.45675000000000354,"","",84,0.2489451476793251,0.29904306220095717,0.3095823095823085,0.29549999999999954
85,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",85,0.406469760900141,0.4720893141945825,0.46339066339066703,0.4560000000000035,"","",85,0.2390998593530241,0.2982456140350879,0.31105651105651,0.29424999999999957
86,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",86,0.4149085794655418,0.4696969696969748,0.4678132678132716,0.45900000000000357,"","",86,0.23769338959212397,0.2974481658692187,0.30810810810810696,0.2922499999999995
87,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",87,0.406469760900141,0.4641148325358901,0.46437346437346805,0.45400000000000346,"","",87,0.23066104078762326,0.29266347687400324,0.30614250614250493,0.2884999999999994
88,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",88,0.4078762306610411,0.4681020733652363,0.46289926289926653,0.45475000000000354,"","",88,0.23066104078762326,0.29904306220095717,0.3056511056511044,0.2902499999999995
89,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",89,0.406469760900141,0.473684210526321,0.4609336609336645,0.45525000000000354,"","",89,0.22784810126582297,0.30223285486443413,0.30073710073709936,0.28824999999999945
90,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",90,0.4149085794655418,0.47129186602871326,0.462407862407866,0.45675000000000354,"","",90,0.24050632911392425,0.29665071770334944,0.3031941031941019,0.2899999999999994
91,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",91,0.42897327707454325,0.4744816586921902,0.45847665847666197,0.45825000000000354,"","",91,0.2489451476793251,0.2982456140350879,0.3027027027027014,0.29174999999999945
92,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",92,0.4345991561181438,0.4800637958532749,0.45651105651105994,0.46000000000000346,"","",92,0.2531645569620255,0.30223285486443413,0.3017199017199004,0.29324999999999946
93,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",93,0.42616033755274296,0.48086124401914415,0.46535626535626906,0.46325000000000366,"","",93,0.24331926863572453,0.2982456140350879,0.3027027027027014,0.29074999999999945
94,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",94,0.4247538677918428,0.47846889952153643,0.4673218673218711,0.46325000000000366,"","",94,0.23769338959212397,0.29505582137161096,0.3046683046683034,0.28974999999999945
95,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",95,0.4247538677918428,0.47288676236045174,0.4766584766584807,0.4662500000000038,"","",95,0.24753867791842496,0.29266347687400324,0.3095823095823085,0.2932499999999995
96,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",96,0.42897327707454325,0.4696969696969748,0.4697788697788736,0.46250000000000363,"","",96,0.24753867791842496,0.28867623604465703,0.30073710073709936,0.2874999999999993
97,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",97,0.4444444444444448,0.47687400318979795,0.4663390663390701,0.46575000000000366,"","",97,0.26160337552742635,0.2958532695374802,0.2977886977886963,0.29074999999999934
98,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",98,0.45569620253164594,0.4665071770334978,0.47125307125307514,0.46700000000000363,"","",98,0.2658227848101268,0.291866028708134,0.30073710073709936,0.29174999999999934
99,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",99,0.47538677918424793,0.47129186602871326,0.46486486486486855,0.4687500000000036,"","",99,0.2869198312236289,0.29266347687400324,0.2963144963144948,0.2934999999999993
100,0.6104078762306572,0.629186602870823,0.6545454545454641,0.638750000000007,"","",100,0.47538677918424793,0.4681020733652363,0.460442260442264,0.46550000000000347,"","",100,0.2827004219409285,0.29266347687400324,0.2948402948402933,0.29199999999999926
