"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",0,0.22357723577235797,0.20906801007556713,0.20376629647513164,0.20899999999999955,"","",0,0.19512195121951229,0.19227539882451744,0.1825205214872033,0.1877499999999996
1,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",1,0.391598915989161,0.35096557514693705,0.36504104297441253,0.36575000000000285,"","",1,0.3441734417344182,0.3140218303946277,0.33075808788025346,0.3282500000000018
2,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",2,0.5230352303523044,0.4811083123425722,0.48816996619991343,0.4925000000000062,"","",2,0.463414634146343,0.42317380352645073,0.4422984065668837,0.440500000000005
3,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",3,0.6016260162601607,0.5869017632241795,0.5915016900048331,0.5920000000000014,"","",3,0.5271002710027107,0.5138539042821182,0.5306615161757691,0.5250000000000052
4,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",4,0.6869918699186942,0.681780016792604,0.6779333655239003,0.6807499999999964,"","",4,0.6002710027100252,0.5961376994122563,0.6079188797682313,0.6030000000000006
5,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",5,0.5799457994579934,0.5902602854743892,0.6059874456784198,0.596500000000001,"","",5,0.5054200542005435,0.5146935348446706,0.5403186866248268,0.526250000000005
6,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",6,0.5000000000000017,0.5558354324097396,0.5562530178657722,0.5457500000000038,"","",6,0.4322493224932263,0.4811083123425722,0.48720424915500754,0.4752500000000063
7,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",7,0.44444444444444586,0.5020990764063842,0.5074843070980304,0.49425000000000635,"","",7,0.3766937669376704,0.43744752308984297,0.4403669724770719,0.4277500000000049
8,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",8,0.4173441734417357,0.4584382871536551,0.4674070497344368,0.4555000000000057,"","",8,0.3550135501355023,0.3988245172124287,0.4022211492032893,0.3925000000000038
9,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",9,0.3699186991869929,0.3988245172124287,0.42443264123612473,0.40675000000000444,"","",9,0.308943089430895,0.34592779177162214,0.3592467407049772,0.3460000000000026
10,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",10,0.3401084010840117,0.37867338371116904,0.37711250603573615,0.37075000000000313,"","",10,0.2804878048780493,0.3215785054576001,0.3157894736842122,0.3110000000000014
11,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",11,0.306233062330624,0.3425692695214122,0.33606953162723585,0.3325000000000019,"","",11,0.24796747967479713,0.28547439126784324,0.2795750845002413,0.27550000000000036
12,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",12,0.27371273712737176,0.3056255247691029,0.30564944471270034,0.29975000000000107,"","",12,0.21544715447154492,0.24769101595298143,0.24963785610815875,0.24274999999999947
13,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",13,0.23848238482384856,0.2779177162048709,0.2655721873491059,0.26424999999999993,"","",13,0.17750677506775067,0.21998320738874944,0.21294060840173706,0.2084999999999995
14,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",14,0.2140921409214094,0.24769101595298143,0.2337035248672125,0.23424999999999951,"","",14,0.16260162601626008,0.19647355163727986,0.1883148237566383,0.18599999999999955
15,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",15,0.19376693766937678,0.2275398824517218,0.21438918396909581,0.21449999999999955,"","",15,0.14634146341463397,0.17632241813602023,0.17238049251569204,0.16874999999999954
16,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",16,0.1815718157181572,0.20151133501259477,0.19748913568324372,0.1957499999999995,"","",16,0.13279132791327888,0.15533165407220811,0.15741187831965162,0.15224999999999955
17,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",17,0.15989159891598906,0.1830394626364401,0.1767262192177683,0.17549999999999955,"","",17,0.12059620596205936,0.1393786733837109,0.14051183003379952,0.13649999999999957
18,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",18,0.14769647696476948,0.1670864819479429,0.1598261709319162,0.15974999999999961,"","",18,0.1097560975609754,0.12594458438287115,0.1255432158377591,0.12274999999999961
19,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",19,0.13008130081300787,0.14945424013434072,0.14340898116851702,0.1427499999999996,"","",19,0.09349593495934946,0.10747271200671676,0.11057460164171867,0.10649999999999973
20,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",20,0.15582655826558253,0.16288832913518048,0.15499758570738703,0.1574999999999996,"","",20,0.12195121951219486,0.12342569269521371,0.12457749879285326,0.1237499999999996
21,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",21,0.19512195121951229,0.19731318219983235,0.1912119748913558,0.19374999999999953,"","",21,0.16124661246612457,0.15785054575986557,0.1598261709319162,0.1594999999999996
22,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",22,0.2425474254742551,0.23425692695214168,0.24432641236117666,0.2409999999999995,"","",22,0.20460704607046085,0.19059613769941247,0.2110091743119254,0.20374999999999946
23,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",23,0.2953929539295399,0.28043660789252833,0.29164654756156494,0.2890000000000007,"","",23,0.25338753387533913,0.23425692695214168,0.25591501690004703,0.2489999999999996
24,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",24,0.36314363143631534,0.32997481108312493,0.3442781265089359,0.34350000000000214,"","",24,0.31571815718157253,0.2829554995801858,0.30468372766779445,0.300250000000001
25,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",25,0.4010840108401096,0.3602015113350144,0.3800096571704538,0.37800000000000317,"","",25,0.35094850948509576,0.3098236775818653,0.3375181071945947,0.33175000000000193
26,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",26,0.4200542005420067,0.380352644836274,0.4002897151134775,0.3980000000000038,"","",26,0.3739837398373994,0.32997481108312493,0.3573153066151654,0.3522500000000025
27,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",27,0.4227642276422777,0.39042821158690383,0.4080154514727246,0.40550000000000397,"","",27,0.37804878048780594,0.3358522250209923,0.36214389183969486,0.35725000000000273
28,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",28,0.4200542005420067,0.39966414777498116,0.40608401738291283,0.406750000000004,"","",28,0.3753387533875349,0.3417296389588597,0.3592467407049772,0.3570000000000026
29,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",29,0.4186991869918712,0.40638119227540104,0.4152583293095188,0.4132500000000043,"","",29,0.3766937669376704,0.34508816120906965,0.36504104297441253,0.36125000000000274
30,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",30,0.3997289972899741,0.39462636439966625,0.4089811685176305,0.403000000000004,"","",30,0.3590785907859088,0.33501259445843984,0.35779816513761836,0.3512500000000025
31,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",31,0.3848238482384835,0.3811922753988265,0.3906325446644186,0.38675000000000354,"","",31,0.3387533875338762,0.3274559193954675,0.3389666827619535,0.335500000000002
32,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",32,0.37940379403794144,0.3643996641477768,0.3746982134234714,0.37250000000000305,"","",32,0.3265582655826566,0.31318219983207524,0.3268952197006299,0.3227500000000017
33,0.8346883468834586,0.8270361041141743,0.8565910188314693,0.8437499999999868,"","",33,0.3536585365853668,0.3576826196473569,0.3539352969579948,0.3550000000000025,"","",33,0.3102981029810305,0.3089840470193128,0.30468372766779445,0.3070000000000011
