"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.8196721311475392,0.852719665271978,0.858481724461137,0.8502500000000198,"","",0,0.12220566318926969,0.13221757322175737,0.1377694470477965,0.13349999999999942,"","",0,0.09538002980625927,0.11297071129707106,0.12089971883786235,0.11424999999999953
1,0.8196721311475392,0.852719665271978,0.858481724461137,0.8502500000000198,"","",1,0.23994038748137098,0.2502092050209224,0.24226804123711085,0.24424999999999916,"","",1,0.19374068554396415,0.21171548117154942,0.20946579194001666,0.20749999999999927
2,0.8196721311475392,0.852719665271978,0.858481724461137,0.8502500000000198,"","",2,0.32935916542474053,0.32803347280335043,0.337394564198684,0.3332499999999991,"","",2,0.26825633383010455,0.2811715481171572,0.2895970009372039,0.2834999999999991
3,0.8196721311475392,0.852719665271978,0.858481724461137,0.8502500000000198,"","",3,0.42921013412817005,0.4108786610878706,0.4240862230552901,0.42099999999999915,"","",3,0.35171385991058296,0.3539748953974931,0.3622305529521982,0.3579999999999991
4,0.8196721311475392,0.852719665271978,0.858481724461137,0.8502500000000198,"","",4,0.48584202682563754,0.4820083682008424,0.49343955014057495,0.48874999999999913,"","",4,0.40238450074515913,0.4158995815899627,0.42314901593251597,0.4174999999999991
5,0.8196721311475392,0.852719665271978,0.858481724461137,0.8502500000000198,"","",5,0.48733233979136037,0.4543933054393357,0.4728209934395443,0.4697499999999991,"","",5,0.40387481371088196,0.3916317991631841,0.4044048734770336,0.4004999999999991
6,0.8196721311475392,0.852719665271978,0.858481724461137,0.8502500000000198,"","",6,0.4411326378539527,0.43263598326360314,0.45735707591377134,0.44724999999999904,"","",6,0.36065573770491993,0.3723849372384976,0.3898781630740347,0.379749999999999
7,0.8196721311475392,0.852719665271978,0.858481724461137,0.8502500000000198,"","",7,0.42324888226527874,0.43347280334728516,0.4343955014058054,0.43224999999999913,"","",7,0.34575260804769165,0.3698744769874515,0.3716026241799394,0.3667499999999991
8,0.8196721311475392,0.852719665271978,0.858481724461137,0.8502500000000198,"","",8,0.3785394932935939,0.42092050209205484,0.4161199625117101,0.4112499999999991,"","",8,0.30551415797317527,0.35146443514644704,0.35801312089971465,0.347249999999999
9,0.8196721311475392,0.852719665271978,0.858481724461137,0.8502500000000198,"","",9,0.3755588673621482,0.4158995815899627,0.40346766635425946,0.40249999999999914,"","",9,0.30402384500745244,0.349790794979083,0.3472352389878123,0.34074999999999905
10,0.8196721311475392,0.852719665271978,0.858481724461137,0.8502500000000198,"","",10,0.36214605067064276,0.39832635983264025,0.3828491096532288,0.38399999999999923,"","",10,0.29508196721311547,0.3297071129707145,0.32989690721649106,0.32399999999999907
