"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",0,0.4379947229551442,0.45659163987138135,0.4274274274274243,0.43849999999999784,"","",0,0.24010554089709796,0.2524115755627017,0.2462462462462471,0.24700000000000072
1,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",1,0.6912928759894472,0.6881028938906717,0.6666666666666582,0.677999999999995,"","",1,0.34036939313984144,0.36173633440514436,0.3533533533533519,0.3534999999999991
2,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",2,0.8284960422163621,0.8054662379421175,0.7987987987987873,0.8064999999999934,"","",2,0.37730870712401005,0.4051446945337613,0.41041041041040766,0.4024999999999983
3,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",3,0.8997361477572602,0.8826366559485476,0.8808808808808676,0.8849999999999925,"","",3,0.39841688654353496,0.4228295819935682,0.440440440440437,0.4269999999999979
4,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",4,0.9287598944591076,0.9276527331189651,0.9259259259259116,0.9269999999999919,"","",4,0.4036939313984162,0.4372990353697738,0.45245245245244875,0.4384999999999977
5,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",5,0.7282321899736166,0.7073954983922792,0.7327327327327228,0.7239999999999942,"","",5,0.2849604221635885,0.30064308681672053,0.3293293293293284,0.31199999999999967
6,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",6,0.5699208443271764,0.5707395498392259,0.5965965965965897,0.5834999999999957,"","",6,0.20844327176781025,0.22829581993569195,0.2512512512512521,0.23600000000000065
7,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",7,0.4722955145118722,0.48070739549839075,0.5105105105105056,0.49399999999999683,"","",7,0.16358839050131932,0.17524115755627034,0.20820820820820887,0.1895000000000004
8,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",8,0.41160949868073804,0.4180064308681663,0.4454454454454419,0.43049999999999783,"","",8,0.1372031662269129,0.14951768488745987,0.17317317317317366,0.15900000000000025
9,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",9,0.3720316622691288,0.363344051446945,0.37737737737737537,0.37199999999999883,"","",9,0.12401055408970968,0.12540192926045005,0.15115115115115152,0.13800000000000015
10,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",10,0.3350923482849602,0.3231511254019293,0.3383383383383372,0.3329999999999994,"","",10,0.11609498680738779,0.11414790996784556,0.13413413413413441,0.1245000000000001
11,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",11,0.2981530343007916,0.30064308681672053,0.3113113113113108,0.3054999999999998,"","",11,0.1081794195250659,0.10610932475884235,0.12612612612612636,0.11650000000000009
12,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",12,0.27176781002638545,0.27331189710610987,0.2912912912912912,0.28200000000000025,"","",12,0.10554089709762528,0.10128617363344043,0.11811811811811833,0.11050000000000007
13,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",13,0.25065963060686053,0.2524115755627017,0.27227227227227263,0.26200000000000045,"","",13,0.10026385224274402,0.09324758842443723,0.11711711711711732,0.10650000000000007
14,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",14,0.23218997361477603,0.23311897106109392,0.26226226226226285,0.24750000000000058,"","",14,0.09762532981530339,0.09003215434083595,0.11211211211211229,0.10250000000000006
15,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",15,0.2242744063324541,0.22186495176848933,0.2512512512512521,0.23700000000000063,"","",15,0.09234828496042213,0.08520900321543402,0.11111111111111129,0.09950000000000006
16,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",16,0.20316622691292896,0.21061093247588475,0.24124124124124208,0.22450000000000062,"","",16,0.08707124010554088,0.0803858520900321,0.10910910910910927,0.09600000000000006
17,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",17,0.18997361477572575,0.20578778135048278,0.22922922922923,0.21450000000000058,"","",17,0.08179419525065962,0.0803858520900321,0.10710710710710726,0.09400000000000006
18,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",18,0.18469656992084446,0.20257234726688148,0.22622622622622698,0.21100000000000058,"","",18,0.08179419525065962,0.0803858520900321,0.10710710710710726,0.09400000000000006
19,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",19,0.17678100263852253,0.1945337620578782,0.21721721721721793,0.2025000000000005,"","",19,0.07915567282321899,0.0803858520900321,0.10410410410410424,0.09200000000000005
20,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",20,0.25593667546174176,0.31350482315112554,0.3003003003003,0.296,"","",20,0.13984168865435354,0.16720257234726707,0.1631631631631636,0.16000000000000028
21,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",21,0.3720316622691288,0.4067524115755619,0.4134134134134106,0.40349999999999825,"","",21,0.20844327176781025,0.2266881028938913,0.23923923923924006,0.22950000000000065
22,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",22,0.4960422163588377,0.5353697749196121,0.5225225225225173,0.5214999999999965,"","",22,0.2664907651715042,0.30064308681672053,0.2962962962962961,0.29200000000000004
23,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",23,0.5831134564643797,0.6109324758842416,0.6126126126126054,0.6064999999999955,"","",23,0.30870712401055406,0.34244372990353683,0.3393393393393382,0.33449999999999935
24,0.41160949868073804,0.44372990353697633,0.45745745745745364,0.4444999999999976,"","",24,0.6543535620052778,0.6672025723472635,0.6726726726726641,0.6674999999999948,"","",24,0.3377308707124008,0.3649517684887456,0.3703703703703685,0.3624999999999989
