"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",0,0.4258241758241748,0.4257425742574275,0.42427184466019086,0.42499999999999866,"","",0,0.24450549450549414,0.22112211221122088,0.2417475728155328,0.23599999999999927
1,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",1,0.6593406593406576,0.7046204620462029,0.658252427184469,0.6725000000000007,"","",1,0.35439560439560364,0.3498349834983507,0.3495145631067937,0.35049999999999887
2,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",2,0.8021978021977999,0.8250825082508207,0.8038834951456406,0.8100000000000032,"","",2,0.41483516483516386,0.4026402640264041,0.4106796116504823,0.40899999999999864
3,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",3,0.8708791208791183,0.8778877887788724,0.8776699029126342,0.8765000000000045,"","",3,0.43681318681318576,0.4257425742574275,0.4368932038834917,0.4334999999999985
4,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",4,0.9093406593406567,0.9108910891089047,0.9233009708738014,0.9170000000000053,"","",4,0.4395604395604385,0.43564356435643753,0.44854368932038474,0.4429999999999985
5,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",5,0.7142857142857123,0.7343234323432319,0.7126213592233064,0.7195000000000017,"","",5,0.31043956043955984,0.348184818481849,0.3300970873786386,0.33199999999999896
6,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",6,0.5879120879120864,0.5511551155115527,0.5941747572815534,0.5800000000000002,"","",6,0.23626373626373592,0.2491749174917488,0.2621359223300957,0.2534999999999991
7,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",7,0.4752747252747241,0.4719471947194743,0.4825242718446562,0.4779999999999984,"","",7,0.17857142857142844,0.21122112211221103,0.20097087378640707,0.19999999999999954
8,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",8,0.445054945054944,0.42904290429043085,0.41165048543689003,0.42299999999999877,"","",8,0.16483516483516475,0.17986798679867982,0.17087378640776665,0.1724999999999998
9,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",9,0.40659340659340565,0.37953795379538074,0.36796116504854104,0.37849999999999884,"","",9,0.15109890109890106,0.16171617161716176,0.15631067961165032,0.15699999999999992
10,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",10,0.37637362637362554,0.348184818481849,0.33495145631067735,0.346499999999999,"","",10,0.1318681318681319,0.14851485148514862,0.145631067961165,0.144
11,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",11,0.3379120879120872,0.3267326732673273,0.3116504854368912,0.320999999999999,"","",11,0.12362637362637369,0.1402640264026404,0.1368932038834952,0.1355000000000001
12,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",12,0.3131868131868126,0.29702970297029724,0.2883495145631051,0.2954999999999991,"","",12,0.10989010989010993,0.1320132013201322,0.12912621359223317,0.12650000000000014
13,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",13,0.28296703296703246,0.27392739273927386,0.27184466019417325,0.2744999999999991,"","",13,0.10714285714285718,0.12706270627062727,0.12718446601941766,0.12350000000000017
14,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",14,0.2692307692307688,0.2590759075907588,0.25922330097087243,0.2609999999999991,"","",14,0.10439560439560443,0.12211221122112231,0.12524271844660215,0.12050000000000018
15,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",15,0.2637362637362633,0.24752475247524716,0.24563106796116382,0.24949999999999917,"","",15,0.10164835164835168,0.118811881188119,0.12233009708737884,0.11750000000000016
16,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",16,0.25274725274725235,0.23102310231023074,0.23786407766990178,0.23849999999999927,"","",16,0.10164835164835168,0.11221122112211238,0.11941747572815553,0.11400000000000016
17,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",17,0.23901098901098866,0.22112211221122088,0.22815533980582423,0.22799999999999931,"","",17,0.09615384615384617,0.11221122112211238,0.11747572815533999,0.11200000000000015
18,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",18,0.2280219780219777,0.21287128712871267,0.2155339805825234,0.21699999999999944,"","",18,0.09340659340659342,0.10891089108910906,0.11456310679611668,0.10900000000000014
19,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",19,0.21428571428571402,0.20462046204620446,0.2048543689320381,0.20649999999999952,"","",19,0.08516483516483517,0.1072607260726074,0.11262135922330115,0.10600000000000014
20,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",20,0.2857142857142852,0.2755775577557755,0.3038834951456292,0.2919999999999989,"","",20,0.14285714285714285,0.15346534653465355,0.17961165048543645,0.1649999999999998
21,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",21,0.4038461538461529,0.4092409240924108,0.403883495145628,0.4054999999999987,"","",21,0.23076923076923045,0.23927392739273895,0.23883495145630954,0.23749999999999927
22,0.4478021978021967,0.4537953795379559,0.46116504854368556,0.4564999999999985,"","",22,0.5109890109890097,0.5066006600660091,0.5174757281553364,0.5129999999999988,"","",22,0.2994505494505489,0.2887788778877889,0.3077669902912602,0.300499999999999
