"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.47252747252747135,0.4668769716088308,0.4630738522954145,0.4660000000000018,"","",0,0.2994505494505489,0.32176656151419447,0.366267465069863,0.3400000000000009,"","",0,0.15659340659340654,0.1514195583596214,0.17265469061876226,0.1629999999999999
1,0.47252747252747135,0.4668769716088308,0.4630738522954145,0.4660000000000018,"","",1,0.5274725274725262,0.5630914826498397,0.5988023952095897,0.5745000000000035,"","",1,0.2554945054945051,0.2665615141955828,0.2764471057884235,0.2694999999999999
2,0.47252747252747135,0.4668769716088308,0.4630738522954145,0.4660000000000018,"","",2,0.675824175824174,0.7018927444794918,0.726546906187637,0.7095000000000047,"","",2,0.3214285714285708,0.3296529968454247,0.32534930139720725,0.32600000000000035
3,0.47252747252747135,0.4668769716088308,0.4630738522954145,0.4660000000000018,"","",3,0.791208791208789,0.7996845425867467,0.8183632734531084,0.8075000000000057,"","",3,0.3681318681318673,0.3769716088328061,0.373253493013975,0.3735000000000009
4,0.47252747252747135,0.4668769716088308,0.4630738522954145,0.4660000000000018,"","",4,0.8516483516483492,0.8690851735015728,0.8842315369261641,0.8735000000000064,"","",4,0.3956043956043947,0.41482649842271124,0.4041916167664708,0.40600000000000114
5,0.47252747252747135,0.4668769716088308,0.4630738522954145,0.4660000000000018,"","",5,0.7335164835164815,0.7397476340693969,0.717564870259493,0.7275000000000045,"","",5,0.34065934065933995,0.3470031545741312,0.32734530938123924,0.33600000000000035
6,0.47252747252747135,0.4668769716088308,0.4630738522954145,0.4660000000000018,"","",6,0.6456043956043939,0.5977917981072527,0.6157684630738616,0.6155000000000034,"","",6,0.3131868131868126,0.272870662460567,0.29141716566866344,0.2895
7,0.47252747252747135,0.4668769716088308,0.4630738522954145,0.4660000000000018,"","",7,0.5467032967032953,0.507886435331228,0.529940119760486,0.5260000000000025,"","",7,0.27472527472527425,0.23343848580441584,0.2604790419161676,0.2544999999999997
8,0.47252747252747135,0.4668769716088308,0.4630738522954145,0.4660000000000018,"","",8,0.4697802197802186,0.44479495268138614,0.45409181636727053,0.4540000000000017,"","",8,0.2280219780219777,0.2082018927444791,0.21856287425149673,0.21699999999999967
9,0.47252747252747135,0.4668769716088308,0.4630738522954145,0.4660000000000018,"","",9,0.41483516483516386,0.4006309148264968,0.4021956087824388,0.40400000000000114,"","",9,0.20054945054945034,0.17981072555205024,0.19061876247504966,0.18899999999999978
10,0.47252747252747135,0.4668769716088308,0.4630738522954145,0.4660000000000018,"","",10,0.37637362637362554,0.3690851735015759,0.36327345309381504,0.3675000000000007,"","",10,0.1840659340659339,0.17192429022082,0.1746506986027942,0.1754999999999998
11,0.47252747252747135,0.4668769716088308,0.4630738522954145,0.4660000000000018,"","",11,0.3351648351648345,0.3091482649842261,0.32135728542914327,0.32000000000000034,"","",11,0.14835164835164832,0.1451104100946372,0.15169660678642696,0.14899999999999988
12,0.47252747252747135,0.4668769716088308,0.4630738522954145,0.4660000000000018,"","",12,0.3131868131868126,0.2917981072555196,0.29041916167664744,0.295,"","",12,0.13736263736263737,0.13722397476340698,0.1327345309381236,0.13499999999999995
