"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",0,0.40909090909090884,0.4007092198581565,0.4225092250922489,0.413999999999999,"","",0,0.24431818181818168,0.23758865248226974,0.22878228782287852,0.23400000000000024
1,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",1,0.6420454545454555,0.6418439716312042,0.6789667896678913,0.6619999999999968,"","",1,0.3749999999999998,0.34397163120567414,0.37084870848708357,0.3639999999999993
2,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",2,0.7954545454545477,0.7801418439716278,0.7970479704796978,0.7919999999999957,"","",2,0.4886363636363633,0.39716312056737635,0.41328413284132653,0.42199999999999904
3,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",3,0.875000000000003,0.8617021276595699,0.8745387453874458,0.8709999999999949,"","",3,0.5056818181818179,0.4326241134751778,0.4409594095940937,0.44999999999999885
4,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",4,0.9204545454545489,0.9113475177304912,0.9169741697416888,0.9159999999999944,"","",4,0.5113636363636361,0.4468085106382984,0.453874538745385,0.4619999999999988
5,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",5,0.7670454545454566,0.712765957446806,0.7084870848708429,0.7199999999999964,"","",5,0.42613636363636337,0.3120567375886528,0.3450184501845009,0.34999999999999953
6,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",6,0.5909090909090914,0.5496453900709218,0.5295202952029486,0.5459999999999982,"","",6,0.318181818181818,0.22340425531914915,0.23800738007380104,0.2480000000000002
7,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",7,0.45454545454545425,0.45744680851063885,0.4298892988929868,0.44199999999999895,"","",7,0.2159090909090908,0.18085106382978738,0.1789667896678969,0.18600000000000014
8,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",8,0.40340909090909066,0.38297872340425576,0.376383763837637,0.38299999999999934,"","",8,0.19886363636363627,0.15602836879432636,0.15313653136531383,0.16200000000000012
9,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",9,0.3749999999999998,0.3333333333333337,0.3284132841328406,0.33799999999999963,"","",9,0.18749999999999992,0.12411347517730503,0.13468634686346878,0.1410000000000001
10,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",10,0.3238636363636362,0.3191489361702131,0.2878228782287821,0.303,"","",10,0.15909090909090903,0.11702127659574474,0.11254612546125473,0.12200000000000005
11,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",11,0.31249999999999983,0.29787234042553223,0.26752767527675286,0.28400000000000014,"","",11,0.15909090909090903,0.11702127659574474,0.1033210332103322,0.11700000000000006
12,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",12,0.28409090909090895,0.27659574468085135,0.256457564575646,0.26700000000000024,"","",12,0.15340909090909086,0.11347517730496459,0.1014760147601477,0.11400000000000006
13,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",13,0.2727272727272726,0.2659574468085109,0.23985239852398554,0.2530000000000002,"","",13,0.1420454545454545,0.10992907801418444,0.09594095940959418,0.10800000000000005
14,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",14,0.24999999999999986,0.24468085106383003,0.23247232472324753,0.23900000000000024,"","",14,0.1420454545454545,0.1063829787234043,0.09594095940959418,0.10700000000000005
15,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",15,0.2386363636363635,0.24113475177304988,0.219557195571956,0.2290000000000002,"","",15,0.1420454545454545,0.1063829787234043,0.09225092250922518,0.10500000000000004
16,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",16,0.23295454545454533,0.2269503546099293,0.20295202952029545,0.21500000000000016,"","",16,0.13636363636363633,0.10283687943262415,0.08856088560885617,0.10100000000000005
17,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",17,0.23295454545454533,0.219858156028369,0.19003690036900392,0.20600000000000018,"","",17,0.13636363636363633,0.10283687943262415,0.08856088560885617,0.10100000000000005
18,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",18,0.23295454545454533,0.219858156028369,0.1863468634686349,0.20400000000000018,"","",18,0.13636363636363633,0.10283687943262415,0.08671586715867166,0.10000000000000005
19,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",19,0.23295454545454533,0.2056737588652484,0.17527675276752788,0.19400000000000014,"","",19,0.13636363636363633,0.099290780141844,0.08671586715867166,0.09900000000000005
20,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",20,0.2897727272727271,0.3085106382978727,0.2730627306273063,0.28600000000000003,"","",20,0.18749999999999992,0.18085106382978738,0.14944649446494482,0.16500000000000012
21,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",21,0.42613636363636337,0.4219858156028374,0.4169741697416955,0.4199999999999991,"","",21,0.2670454545454544,0.26241134751773076,0.24354243542435455,0.2530000000000002
22,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",22,0.5738636363636367,0.5106382978723408,0.5442804428044244,0.5399999999999981,"","",22,0.3636363636363634,0.3191489361702131,0.3191881918819182,0.32699999999999974
23,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",23,0.6477272727272737,0.5992907801418431,0.6051660516605122,0.6109999999999975,"","",23,0.3920454545454543,0.3546099290780146,0.34870848708486984,0.35799999999999954
24,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",24,0.6761363636363649,0.709219858156026,0.7029520295202895,0.6999999999999964,"","",24,0.3920454545454543,0.4007092198581565,0.38191881918819043,0.3889999999999993
25,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",25,0.704545454545456,0.6879432624113454,0.697416974169736,0.6959999999999966,"","",25,0.3920454545454543,0.3723404255319153,0.3690036900368991,0.3739999999999994
26,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",26,0.6590909090909102,0.6170212765957436,0.6476014760147552,0.6409999999999971,"","",26,0.3636363636363634,0.3191489361702131,0.32472324723247165,0.3299999999999997
27,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",27,0.5738636363636367,0.5744680851063825,0.5645756457564537,0.5689999999999977,"","",27,0.2954545454545453,0.28368794326241165,0.27490774907749077,0.2810000000000001
28,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",28,0.556818181818182,0.5106382978723408,0.5498154981549779,0.5399999999999981,"","",28,0.28409090909090895,0.25531914893617047,0.2638376383763839,0.2650000000000001
29,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",29,0.5454545454545455,0.4680851063829793,0.5018450184501815,0.4999999999999985,"","",29,0.25568181818181807,0.21631205673758885,0.24169741697417005,0.2370000000000002
30,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",30,0.48295454545454514,0.45035460992907855,0.4557195571955695,0.45899999999999874,"","",30,0.2159090909090908,0.20212765957446827,0.21217712177121797,0.21000000000000016
31,0.5170454545454544,0.4539007092198587,0.4630996309963074,0.46999999999999875,"","",31,0.414772727272727,0.4148936170212771,0.41881918819187997,0.4169999999999991,"","",31,0.18749999999999992,0.19503546099290797,0.19741697416974194,0.19500000000000017
