"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.6512261580381464,0.6262541806020147,0.6618357487922797,0.6492500000000071,"","",0,0.038147138964577644,0.03344481605351169,0.024637681159420312,0.029750000000000002,"","",0,0.02452316076294277,0.020066889632107017,0.015458937198067627,0.018499999999999992
1,0.6512261580381464,0.6262541806020147,0.6618357487922797,0.6492500000000071,"","",1,0.0653950953678474,0.05852842809364545,0.05265700483091783,0.05674999999999996,"","",1,0.04359673024523159,0.0326086956521739,0.03381642512077298,0.03525000000000002
2,0.6512261580381464,0.6262541806020147,0.6618357487922797,0.6492500000000071,"","",2,0.10217983651226174,0.08862876254180597,0.07729468599033823,0.08525000000000006,"","",2,0.0667574931880109,0.04849498327759195,0.04975845410628016,0.05249999999999997
3,0.6512261580381464,0.6262541806020147,0.6618357487922797,0.6492500000000071,"","",3,0.12942779291553158,0.11371237458193974,0.10144927536231915,0.1102500000000002,"","",3,0.08446866485013632,0.06605351170568559,0.06521739130434777,0.06899999999999998
4,0.6512261580381464,0.6262541806020147,0.6618357487922797,0.6492500000000071,"","",4,0.15395095367847422,0.13377926421404676,0.12222222222222275,0.13150000000000028,"","",4,0.10081743869209825,0.08026755852842805,0.07632850241545899,0.08200000000000005
5,0.6512261580381464,0.6262541806020147,0.6618357487922797,0.6492500000000071,"","",5,0.17029972752043598,0.14799331103678923,0.12705314009661886,0.14125000000000024,"","",5,0.1117166212534062,0.08361204013377922,0.07826086956521747,0.08600000000000008
6,0.6512261580381464,0.6262541806020147,0.6618357487922797,0.6492500000000071,"","",6,0.17983651226158034,0.15384615384615377,0.1318840579710149,0.14725000000000016,"","",6,0.12125340599455066,0.08946488294314377,0.07971014492753632,0.09025000000000008
7,0.6512261580381464,0.6262541806020147,0.6618357487922797,0.6492500000000071,"","",7,0.1825613079019073,0.15802675585284273,0.141545893719807,0.1540000000000001,"","",7,0.12534059945504114,0.09280936454849494,0.08743961352657022,0.09600000000000011
8,0.6512261580381464,0.6262541806020147,0.6618357487922797,0.6492500000000071,"","",8,0.19891008174386907,0.16806020066889624,0.1536231884057971,0.16624999999999995,"","",8,0.13896457765667594,0.0969899665551839,0.09951690821256068,0.10600000000000018
9,0.6512261580381464,0.6262541806020147,0.6618357487922797,0.6492500000000071,"","",9,0.2166212534059943,0.17976588628762533,0.16859903381642485,0.18074999999999977,"","",9,0.14986376021798378,0.10367892976588623,0.11111111111111152,0.11600000000000023
10,0.6512261580381464,0.6262541806020147,0.6618357487922797,0.6492500000000071,"","",10,0.2316076294277926,0.18729096989966545,0.1840579710144922,0.19374999999999962,"","",10,0.15258855585831074,0.10953177257525078,0.12077294685990389,0.12325000000000028
