"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",0,0.013831258644536647,0.0180334907685702,0.012071005917159754,0.014124999999999993,"","",0,0.00760719225449516,0.0115929583512237,0.007337278106508878,0.008625000000000002
1,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",1,0.033886583679114804,0.035208243881494246,0.028875739644970352,0.03162499999999998,"","",1,0.02074688796680498,0.02232717904680121,0.017988165680473345,0.01974999999999999
2,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",2,0.04564315352697092,0.04723057106054108,0.04449704142011823,0.04549999999999996,"","",2,0.02489626556016598,0.030055817947617032,0.02674556213017746,0.027374999999999983
3,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",3,0.06016597510373435,0.060970373550880315,0.05988165680473357,0.06024999999999993,"","",3,0.033886583679114804,0.038643194504079055,0.03526627218934903,0.03599999999999997
4,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",4,0.0705394190871368,0.07471017604121954,0.07455621301775163,0.07387500000000008,"","",4,0.040110650069156276,0.04765993988836418,0.0437869822485206,0.044249999999999956
5,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",5,0.07607192254495145,0.07771575783598125,0.0837869822485211,0.08062500000000022,"","",5,0.042185338865836766,0.049806784027479685,0.04875739644970402,0.04787499999999996
6,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",6,0.0795297372060856,0.08329755259768157,0.08591715976331406,0.08400000000000026,"","",6,0.041493775933609936,0.05238299699441829,0.04875739644970402,0.04849999999999996
7,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",7,0.0864453665283539,0.08887934735938188,0.09041420118343252,0.08925000000000032,"","",7,0.04426002766251726,0.0545298411335338,0.05278106508875726,0.05174999999999995
8,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",8,0.0864453665283539,0.09188492915414359,0.09301775147929058,0.09150000000000036,"","",8,0.04356846473029043,0.0558179476170031,0.05325443786982235,0.05224999999999995
9,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",9,0.09405255878284903,0.0953198797767284,0.10224852071006005,0.09875000000000048,"","",9,0.05117565698478556,0.05538857878918,0.05798816568047322,0.05599999999999994
10,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",10,0.09751037344398318,0.10433662516101352,0.10840236686390636,0.10525000000000057,"","",10,0.05186721991701239,0.060970373550880315,0.061538461538461375,0.059624999999999935
11,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",11,0.10442600276625148,0.10863031343924454,0.11502958579881778,0.11125000000000065,"","",11,0.05809128630705386,0.06526406182911132,0.06674556213017746,0.06474999999999999
12,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",12,0.10788381742738563,0.11592958351223726,0.12023668639053389,0.11675000000000074,"","",12,0.06293222683264167,0.06955775010734233,0.06745562130177511,0.06725
13,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",13,0.1161825726141076,0.12237011592958377,0.12189349112426175,0.12100000000000077,"","",13,0.06915629322268314,0.07342206955775024,0.06982248520710062,0.07075000000000004
14,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",14,0.11687413554633443,0.1288106483469303,0.1216568047337292,0.12287500000000075,"","",14,0.06708160442600265,0.07814512666380435,0.07005917159763317,0.07187500000000002
15,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",15,0.11964038727524175,0.1335337054529844,0.1261538461538476,0.1271250000000008,"","",15,0.07123098201936363,0.07857449549162746,0.07313609467455633,0.07437500000000008
16,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",16,0.12378976486860273,0.13868613138686162,0.13088757396449832,0.1318750000000007,"","",16,0.0726141078838173,0.07771575783598125,0.07502958579881673,0.0753750000000001
17,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",17,0.1320885200553247,0.13954486904250782,0.1346745562130189,0.13562500000000063,"","",17,0.07814661134163194,0.07642765135251195,0.07810650887573989,0.07762500000000014
18,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",18,0.13485477178423202,0.13868613138686162,0.13964497041420218,0.13850000000000057,"","",18,0.07676348547717828,0.07513954486904265,0.08023668639053284,0.07812500000000017
19,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",19,0.1410788381742735,0.13997423787033092,0.14224852071006008,0.1413750000000005,"","",19,0.08022130013831243,0.07471017604121954,0.0818934911242607,0.0795000000000002
20,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",20,0.14384508990318082,0.13997423787033092,0.144852071005918,0.14325000000000046,"","",20,0.08367911479944658,0.07471017604121954,0.0818934911242607,0.08012500000000018
21,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",21,0.14661134163208814,0.14040360669815402,0.14792899408284096,0.1455000000000004,"","",21,0.08367911479944658,0.07685702018033505,0.0847337278106513,0.08225000000000023
22,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",22,0.14453665283540765,0.14340918849291573,0.15053254437869887,0.14737500000000037,"","",22,0.08229598893499292,0.07642765135251195,0.08639053254437916,0.08275000000000025
23,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",23,0.14384508990318082,0.15156719622155465,0.15763313609467497,0.15337500000000023,"","",23,0.08298755186721975,0.08200944611421226,0.09088757396449762,0.08687500000000031
24,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",24,0.1500691562932223,0.15671962215543186,0.16094674556213048,0.15775000000000017,"","",24,0.08437067773167341,0.08844997853155878,0.09230769230769292,0.08975000000000034
25,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",25,0.15076071922544912,0.16187204808930908,0.16639053254437883,0.16225000000000012,"","",25,0.08367911479944658,0.0944611421210822,0.09443786982248588,0.09250000000000037
26,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",26,0.1500691562932223,0.1665951051953632,0.16994082840236688,0.16537500000000005,"","",26,0.08437067773167341,0.09789609274366701,0.09514792899408353,0.0940000000000004
27,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",27,0.1528354080221296,0.1713181623014173,0.17514792899408269,0.16999999999999996,"","",27,0.08782849239280756,0.10047230571060561,0.09846153846153924,0.09712500000000045
28,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",28,0.15421853388658327,0.1738943752683559,0.17514792899408269,0.17099999999999993,"","",28,0.08782849239280756,0.10218978102189802,0.09727810650887649,0.09700000000000043
29,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",29,0.15905947441217108,0.17990553885787933,0.18059171597633103,0.17649999999999988,"","",29,0.09128630705394171,0.10390725633319042,0.09988165680473454,0.09950000000000045
30,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",30,0.17219917012448085,0.18376985830828724,0.18390532544378654,0.1817499999999998,"","",30,0.09958506224066367,0.10605410047230593,0.1020118343195275,0.10275000000000048
31,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",31,0.17634854771784184,0.18806354658651825,0.1881656804733722,0.18599999999999975,"","",31,0.09820193637621001,0.10648346930012903,0.104378698224853,0.10387500000000051
32,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",32,0.18118948824342965,0.19235723486474926,0.1907692307692301,0.18949999999999967,"","",32,0.09889349930843684,0.10905968226706764,0.10508875739645065,0.10512500000000054
33,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",33,0.19017980636237844,0.19579218548733407,0.1919526627218928,0.19274999999999967,"","",33,0.10580912863070514,0.10991841992271384,0.1057988165680483,0.10700000000000053
34,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",34,0.18879668049792478,0.19622155431515717,0.1978698224852062,0.19574999999999954,"","",34,0.10511756569847831,0.10991841992271384,0.10934911242603657,0.10875000000000057
35,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",35,0.19087136929460527,0.19965650493774198,0.20284023668638948,0.19974999999999948,"","",35,0.10650069156293197,0.11034778875053694,0.11053254437869932,0.1097500000000006
36,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",36,0.19709543568464674,0.19836839845427268,0.20710059171597514,0.2027499999999994,"","",36,0.11203319502074661,0.11163589523400624,0.11289940828402482,0.11237500000000063
37,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",37,0.19502074688796625,0.19665092314298027,0.21230769230769095,0.2046249999999993,"","",37,0.11065006915629295,0.11206526406182934,0.11550295857988288,0.11362500000000067
38,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",38,0.2005532503457809,0.2043795620437961,0.21727810650887422,0.21049999999999922,"","",38,0.11341632088520028,0.11764705882352966,0.11597633136094798,0.11600000000000069
39,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",39,0.2053941908713687,0.2060970373550885,0.22011834319526466,0.21337499999999918,"","",39,0.11479944674965394,0.11678832116788346,0.11739644970414329,0.1167500000000007
40,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",40,0.2033195020746882,0.2116788321167888,0.2267455621301757,0.21812499999999907,"","",40,0.11272475795297345,0.11936453413482206,0.12236686390532685,0.11975000000000077
41,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",41,0.20262793914246138,0.21511378273937362,0.2267455621301757,0.21899999999999906,"","",41,0.11203319502074661,0.12151137827393757,0.12236686390532685,0.12025000000000077
42,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",42,0.21023513139695651,0.21683125805066603,0.22840236686390344,0.22174999999999903,"","",42,0.1141078838174271,0.12108200944611447,0.1240236686390547,0.1213750000000008
43,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",43,0.21023513139695651,0.21811936453413533,0.23550295857987955,0.2258749999999989,"","",43,0.11341632088520028,0.12108200944611447,0.12994082840236817,0.12437500000000072
44,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",44,0.212309820193637,0.21940747101760463,0.2371597633136073,0.2274999999999989,"","",44,0.1141078838174271,0.12194074710176067,0.13065088757396578,0.1251250000000007
45,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",45,0.21784232365145165,0.22284242164018944,0.23597633136094462,0.2288749999999989,"","",45,0.11756569847856126,0.12408759124087618,0.1313609467455634,0.1267500000000007
46,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",46,0.22752420470262727,0.22413052812365875,0.2416568047337255,0.23399999999999882,"","",46,0.12171507607192224,0.12194074710176067,0.13538461538461652,0.12900000000000061
47,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",47,0.22544951590594678,0.22842421640188976,0.24520710059171355,0.23674999999999874,"","",47,0.12102351313969541,0.12365822241305308,0.1372781065088768,0.1303750000000006
48,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",48,0.22475795297371995,0.22756547874624355,0.24473372781064848,0.23612499999999875,"","",48,0.12378976486860273,0.12279948475740687,0.1339644970414213,0.12887500000000066
49,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",49,0.22890733056708093,0.22584800343495115,0.24923076923076667,0.23874999999999866,"","",49,0.1251728907330564,0.12194074710176067,0.1372781065088768,0.1306250000000006
50,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",50,0.23167358229598825,0.22198368398454324,0.25396449704141744,0.24062499999999862,"","",50,0.12448132780082956,0.12065264061829137,0.13893491124260457,0.13100000000000056
51,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",51,0.2330567081604419,0.22455989695148185,0.2549112426035476,0.24212499999999862,"","",51,0.12655601659751006,0.12279948475740687,0.13964497041420218,0.13237500000000055
52,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",52,0.24066390041493704,0.22928295405753596,0.2549112426035476,0.2448749999999986,"","",52,0.12932226832641738,0.127522541863461,0.1391715976331371,0.13400000000000056
53,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",53,0.24343015214384436,0.23314727350794387,0.2575147928994055,0.24787499999999854,"","",53,0.13139695712309787,0.127522541863461,0.13940828402366964,0.13450000000000054
54,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",54,0.24757952973720534,0.2395878059252904,0.26177514792899115,0.2527499999999985,"","",54,0.13347164591977836,0.1305281236582227,0.14011834319526725,0.13612500000000055
55,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",55,0.24827109266943218,0.2455989695148138,0.26437869822484905,0.25599999999999845,"","",55,0.13347164591977836,0.1339630742808075,0.13964497041420218,0.13687500000000058
56,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",56,0.2524204702627932,0.24645770717046,0.26958579881656486,0.25974999999999837,"","",56,0.13278008298755153,0.1335337054529844,0.14201183431952755,0.13787500000000052
57,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",57,0.2503457814661127,0.2486045513095755,0.273609467455618,0.2621249999999983,"","",57,0.13347164591977836,0.1339630742808075,0.1455621301775156,0.14000000000000046
58,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",58,0.2524204702627932,0.25246887075998325,0.27479289940828067,0.26424999999999826,"","",58,0.13347164591977836,0.136109918419923,0.14911242603550365,0.1425000000000004
59,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",59,0.2579529737206078,0.25246887075998325,0.2731360946745529,0.2643749999999983,"","",59,0.13623789764868569,0.1348218119364537,0.15029585798816633,0.14325000000000038
60,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",60,0.261410788381742,0.2550450837269217,0.2743195266272156,0.2663749999999982,"","",60,0.13831258644536618,0.13825676255903852,0.15053254437869887,0.14475000000000038
61,0.45781466113416175,0.4486904250751278,0.44804733727809753,0.4499999999999916,"","",61,0.26279391424619564,0.2614856161442678,0.2795266272189314,0.27124999999999794,"","",61,0.13969571230981984,0.14083297552597712,0.15242603550295916,0.14675000000000035
