"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.4677754677754723,0.4475839475839376,0.44520048602673995,0.4500000000000022,"","",0,0.015246015246015243,0.01515151515151515,0.015552855407047405,0.015375000000000008,"","",0,0.008316008316008318,0.009418509418509418,0.00972053462940462,0.009375000000000001
1,0.4677754677754723,0.4475839475839376,0.44520048602673995,0.4500000000000022,"","",1,0.030492030492030513,0.028255528255528253,0.030376670716889483,0.029750000000000033,"","",1,0.017325017325017324,0.018018018018018018,0.019684082624544377,0.018750000000000013
2,0.4677754677754723,0.4475839475839376,0.44520048602673995,0.4500000000000022,"","",2,0.04019404019404019,0.047911547911548044,0.04471445929526133,0.04487500000000009,"","",2,0.022869022869022877,0.02989352989352989,0.027946537059538323,0.027625000000000028
3,0.4677754677754723,0.4475839475839376,0.44520048602673995,0.4500000000000022,"","",3,0.056133056133056074,0.06429156429156456,0.06464155528554079,0.06300000000000011,"","",3,0.03257103257103259,0.03890253890253896,0.03961117861482389,0.038125000000000055
4,0.4677754677754723,0.4475839475839376,0.44520048602673995,0.4500000000000022,"","",4,0.06583506583506578,0.07780507780507818,0.07946537059538245,0.07649999999999994,"","",4,0.03672903672903673,0.04709254709254722,0.0488456865127583,0.04612500000000008
5,0.4677754677754723,0.4475839475839376,0.44520048602673995,0.4500000000000022,"","",5,0.07553707553707555,0.08230958230958273,0.08432563791008463,0.08212499999999992,"","",5,0.04227304227304226,0.04873054873054887,0.05176184690157969,0.04912500000000009
6,0.4677754677754723,0.4475839475839376,0.44520048602673995,0.4500000000000022,"","",6,0.08038808038808043,0.09172809172809222,0.08821385176184637,0.08787499999999988,"","",6,0.04435204435204433,0.05323505323505341,0.05321992709599039,0.05162500000000011
7,0.4677754677754723,0.4475839475839376,0.44520048602673995,0.4500000000000022,"","",7,0.09216909216909229,0.08927108927108975,0.09477521263669432,0.0926249999999998,"","",7,0.05266805266805262,0.05118755118755135,0.05832320777642783,0.0551250000000001
8,0.4677754677754723,0.4475839475839376,0.44520048602673995,0.4500000000000022,"","",8,0.09771309771309787,0.09500409500409553,0.09331713244228367,0.09462499999999985,"","",8,0.056826056826056764,0.05733005733005754,0.057108140947752246,0.05712500000000011
9,0.4677754677754723,0.4475839475839376,0.44520048602673995,0.4500000000000022,"","",9,0.10256410256410275,0.097461097461098,0.0993924665856614,0.09937499999999977,"","",9,0.05959805959805953,0.05773955773955795,0.06051032806804387,0.059500000000000115
10,0.4677754677754723,0.4475839475839376,0.44520048602673995,0.4500000000000022,"","",10,0.10741510741510764,0.1036036036036042,0.1049817739975689,0.10499999999999972,"","",10,0.06514206514206508,0.06019656019656043,0.06342648845686524,0.06275000000000011
11,0.4677754677754723,0.4475839475839376,0.44520048602673995,0.4500000000000022,"","",11,0.11573111573111601,0.10810810810810874,0.11421628189550305,0.11262499999999963,"","",11,0.06999306999306996,0.06183456183456208,0.06877278250303764,0.06687500000000006
