"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",0,0.006177076183939601,0.0056595559425337396,0.005416862929816295,0.005624999999999998,"","",0,0.0048043925875085785,0.0034828036569438396,0.0030617051342439945,0.0035
1,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",1,0.012354152367879201,0.011319111885067479,0.010362694300518123,0.010999999999999992,"","",1,0.008236101578586135,0.007400957771005659,0.005181347150259065,0.006374999999999998
2,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",2,0.015099519560741246,0.014366565084893338,0.014366462552991031,0.014499999999999989,"","",2,0.009608785175017157,0.0087070091423596,0.007536504945831364,0.008249999999999997
3,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",3,0.018531228551818803,0.0195907705703091,0.02001884126236455,0.019624999999999986,"","",3,0.010981468771448179,0.0108837614279495,0.010362694300518123,0.010624999999999992
4,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",4,0.024708304735758402,0.025685676969960818,0.025435704192180837,0.025374999999999977,"","",4,0.013040494166094712,0.014366565084893338,0.014601978332548261,0.01424999999999999
5,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",5,0.026080988332189425,0.025250326512842838,0.025671219971738067,0.025624999999999978,"","",5,0.012354152367879201,0.013931214627775359,0.015308525671219951,0.014374999999999988
6,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",6,0.03225806451612903,0.028733130169786677,0.029203956665096516,0.029624999999999974,"","",6,0.01784488675360329,0.01610796691336526,0.01766368346679225,0.017249999999999984
7,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",7,0.03843514070006866,0.029603831084022637,0.029439472444653746,0.03112499999999998,"","",7,0.021962937542896358,0.01654331737048324,0.01813471502590671,0.018374999999999985
8,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",8,0.03774879890185315,0.03439268611232044,0.032265661799340505,0.03387499999999999,"","",8,0.02264927934111187,0.02002612102742708,0.02025435704192178,0.020624999999999987
9,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",9,0.040494166094715206,0.03526338702655641,0.033914272256241114,0.03549999999999998,"","",9,0.02402196293754289,0.021767522855899,0.0211964201601507,0.021874999999999985
10,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",10,0.041866849691146235,0.03744013931214633,0.03579839849269895,0.037374999999999985,"","",10,0.02402196293754289,0.022638223770134958,0.02237399905793685,0.022749999999999982
11,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",11,0.04461221688400829,0.039616891597736244,0.03815355628827125,0.03975,"","",11,0.024708304735758402,0.025250326512842838,0.023551577955722998,0.02424999999999998
12,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",12,0.04255319148936175,0.04179364388332616,0.04074422986340078,0.041375,"","",12,0.02264927934111187,0.025685676969960818,0.025200188412623607,0.024874999999999977
13,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",13,0.04529855868222381,0.04266434479756213,0.04215732454074416,0.042875,"","",13,0.024708304735758402,0.026991728341314757,0.026613283089966987,0.02637499999999998
14,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",14,0.04529855868222381,0.046147148454505994,0.04215732454074416,0.043875000000000004,"","",14,0.02402196293754289,0.027862429255550717,0.026848798869524217,0.02662499999999998
15,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",15,0.04598490048043932,0.04919460165433188,0.04427696655675923,0.04600000000000001,"","",15,0.02333562113932738,0.030039181541140617,0.028261893546867596,0.02787499999999998
16,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",16,0.048043925875085866,0.05180670439703978,0.04309938765897308,0.04650000000000002,"","",16,0.024708304735758402,0.030474531998258596,0.028026377767310366,0.02812499999999998
17,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",17,0.05147563486616344,0.05572485851110163,0.04710315591144599,0.05037500000000003,"","",17,0.02882635552505147,0.03352198519808448,0.029674988224210976,0.03062499999999998
18,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",18,0.0590253946465341,0.06007836308228146,0.04992934526613275,0.05450000000000004,"","",18,0.03157172271791352,0.03613408794079238,0.031088082901554355,0.03262499999999999
19,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",19,0.05765271105010307,0.059207662168045495,0.053933113518605656,0.05612500000000004,"","",19,0.032944406314344546,0.03526338702655641,0.032972209138012194,0.03362499999999998
20,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",20,0.06314344543582719,0.061819764910753396,0.055817239755063495,0.058875000000000045,"","",20,0.034317089910775575,0.03656943839791036,0.034385303815355574,0.03499999999999998
21,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",21,0.06588881262868924,0.06312581628210734,0.059349976448421944,0.06162500000000004,"","",21,0.03500343170899109,0.03613408794079238,0.03532736693358449,0.03549999999999998
22,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",22,0.06726149622512027,0.06312581628210734,0.057936881771078565,0.06112500000000004,"","",22,0.03706245710363763,0.03656943839791036,0.034385303815355574,0.03549999999999998
23,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",23,0.06657515442690476,0.061819764910753396,0.060056523787093634,0.06175000000000004,"","",23,0.03843514070006866,0.03526338702655641,0.03579839849269895,0.036124999999999984
24,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",24,0.06520247083047373,0.06443186765346129,0.0621761658031087,0.06337500000000004,"","",24,0.03637611530542212,0.03569873748367439,0.03768252472915679,0.036874999999999984
25,0.43582704186685284,0.4549412276882793,0.4521902967498769,0.44999999999999496,"","",25,0.06451612903225822,0.06835002176752314,0.06264719736222317,0.06462500000000006,"","",25,0.03706245710363763,0.03656943839791036,0.03909561940650017,0.03799999999999998
