"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.6305555555555539,0.6518151815181512,0.655705996131527,0.6499999999999991,"","",0,0.002777777777777778,0.00825082508250825,0.015473887814313352,0.011000000000000003,"","",0,0.002777777777777778,0.006600660066006601,0.014506769825918767,0.010000000000000004
1,0.6305555555555539,0.6518151815181512,0.655705996131527,0.6499999999999991,"","",1,0.011111111111111112,0.013201320132013198,0.01934235976789169,0.016000000000000004,"","",1,0.011111111111111112,0.011551155115511549,0.01740812379110252,0.014500000000000004
2,0.6305555555555539,0.6518151815181512,0.655705996131527,0.6499999999999991,"","",2,0.016666666666666666,0.028052805280528042,0.031914893617021295,0.028000000000000008,"","",2,0.016666666666666666,0.023102310231023094,0.029980657640232125,0.02550000000000001
3,0.6305555555555539,0.6518151815181512,0.655705996131527,0.6499999999999991,"","",3,0.02777777777777778,0.03960396039603959,0.04061895551257256,0.03800000000000001,"","",3,0.02777777777777778,0.03300330033003299,0.03675048355899422,0.03400000000000001
4,0.6305555555555539,0.6518151815181512,0.655705996131527,0.6499999999999991,"","",4,0.03611111111111111,0.04290429042904289,0.045454545454545484,0.04300000000000001,"","",4,0.03611111111111111,0.03630363036303629,0.04061895551257256,0.03850000000000001
5,0.6305555555555539,0.6518151815181512,0.655705996131527,0.6499999999999991,"","",5,0.04166666666666666,0.04455445544554454,0.04642166344294007,0.045000000000000005,"","",5,0.04166666666666666,0.03960396039603959,0.041586073500967144,0.04100000000000001
6,0.6305555555555539,0.6518151815181512,0.655705996131527,0.6499999999999991,"","",6,0.04444444444444443,0.049504950495049486,0.05415860735009675,0.05100000000000002,"","",6,0.04444444444444443,0.04125412541254124,0.043520309477756314,0.04300000000000001
7,0.6305555555555539,0.6518151815181512,0.655705996131527,0.6499999999999991,"","",7,0.04444444444444443,0.052805280528052785,0.05415860735009675,0.05200000000000001,"","",7,0.04444444444444443,0.04620462046204619,0.039651837524177974,0.04250000000000001
8,0.6305555555555539,0.6518151815181512,0.655705996131527,0.6499999999999991,"","",8,0.04999999999999998,0.051155115511551136,0.05802707930367509,0.054500000000000014,"","",8,0.04999999999999998,0.04290429042904289,0.0444874274661509,0.045000000000000005
9,0.6305555555555539,0.6518151815181512,0.655705996131527,0.6499999999999991,"","",9,0.05555555555555553,0.054455445544554434,0.06189555125725343,0.05850000000000002,"","",9,0.05277777777777776,0.04620462046204619,0.04835589941972924,0.048500000000000015
