"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.0,0.0,0.0,0.0,"","",0,0.6181318681318665,0.6256499133448851,0.6175637393767632,0.6199999999999952,"","",0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,"","",1,0.8626373626373601,0.8526863084921968,0.8451369216241615,0.8504999999999918,"","",1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,"","",2,0.9505494505494477,0.9445407279029413,0.9320113314447451,0.9389999999999907,"","",2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,"","",3,0.9780219780219751,0.9809358752166325,0.9735599622285025,0.97649999999999,"","",3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,"","",4,0.989010989010986,0.9948006932408958,0.9867799811142435,0.9894999999999898,"","",4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,"","",5,0.5989010989010973,0.6551126516464446,0.6515580736543829,0.6429999999999948,"","",5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,"","",6,0.42032967032966934,0.47833622183708735,0.4957507082152927,0.476999999999997,"","",6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,"","",7,0.329670329670329,0.38128249566724415,0.3928234183191665,0.3779999999999985,"","",7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,"","",8,0.28296703296703246,0.3171577123050263,0.3352219074598665,0.32049999999999934,"","",8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,"","",9,0.24725274725274687,0.2876949740034668,0.3040604343720485,0.28899999999999976,"","",9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,"","",10,0.2335164835164832,0.27036395147313763,0.2766761095372993,0.2670000000000002,"","",10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,"","",11,0.22252747252747224,0.25823223570190723,0.2672332389046272,0.2565000000000003,"","",11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,"","",12,0.21703296703296676,0.24783362218370972,0.25779036827195506,0.2475000000000004,"","",12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,"","",13,0.2115384615384613,0.23570190641247912,0.2549575070821534,0.2415000000000004,"","",13,0.0,0.0,0.0,0.0
