"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.42739726027397146,0.4721780604133554,0.4443339960238608,0.45000000000000207,"","",0,0.0931506849315069,0.09379968203497628,0.10039761431411522,0.097,"","",0,0.063013698630137,0.04451510333863278,0.06461232604373753,0.057999999999999996
1,0.42739726027397146,0.4721780604133554,0.4443339960238608,0.45000000000000207,"","",1,0.17808219178082177,0.1907790143084264,0.19383697813121348,0.19000000000000045,"","",1,0.10410958904109595,0.1033386327503976,0.11630218687872752,0.11
2,0.42739726027397146,0.4721780604133554,0.4443339960238608,0.45000000000000207,"","",2,0.27671232876712276,0.2750397456279814,0.27733598409542926,0.27650000000000097,"","",2,0.15890410958904103,0.14785373608903044,0.16401590457256499,0.15800000000000022
3,0.42739726027397146,0.4721780604133554,0.4443339960238608,0.45000000000000207,"","",3,0.3506849315068485,0.34340222575516754,0.3628230616302216,0.35450000000000154,"","",3,0.19452054794520526,0.18124006359300507,0.20675944333996116,0.1965000000000005
4,0.42739726027397146,0.4721780604133554,0.4443339960238608,0.45000000000000207,"","",4,0.40547945205479347,0.4117647058823537,0.43041749502982485,0.4200000000000019,"","",4,0.21643835616438326,0.22416534181240103,0.23260437375745652,0.22700000000000067
5,0.42739726027397146,0.4721780604133554,0.4443339960238608,0.45000000000000207,"","",5,0.38904109589040997,0.41812400635930125,0.4284294234592483,0.4180000000000019,"","",5,0.19452054794520526,0.23052464228934857,0.22067594433399712,0.21900000000000064
6,0.42739726027397146,0.4721780604133554,0.4443339960238608,0.45000000000000207,"","",6,0.40547945205479347,0.4085850556438799,0.4324055666004014,0.4200000000000019,"","",6,0.1972602739726025,0.2257551669316379,0.21868787276342055,0.21700000000000064
7,0.42739726027397146,0.4721780604133554,0.4443339960238608,0.45000000000000207,"","",7,0.3753424657534237,0.39268680445151105,0.42743538767396,0.4070000000000019,"","",7,0.17260273972602727,0.20985691573926904,0.21172962226640257,0.20400000000000057
8,0.42739726027397146,0.4721780604133554,0.4443339960238608,0.45000000000000207,"","",8,0.3808219178082182,0.4085850556438799,0.4105367793240592,0.4045000000000018,"","",8,0.17534246575342452,0.2273449920508748,0.19980119284294318,0.20400000000000051
9,0.42739726027397146,0.4721780604133554,0.4443339960238608,0.45000000000000207,"","",9,0.3917808219178072,0.40381558028616926,0.4085487077534826,0.4040000000000018,"","",9,0.18356164383561627,0.22098569157392725,0.19980119284294318,0.2035000000000005
