"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",0,0.3405405405405396,0.358620689655173,0.3590476190476166,0.35549999999999876,"","",0,0.17297297297297298,0.14482758620689676,0.1761904761904765,0.16650000000000023
1,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",1,0.6162162162162125,0.548275862068965,0.5923809523809437,0.5839999999999945,"","",1,0.28378378378378344,0.22241379310344864,0.2828571428571425,0.26549999999999985
2,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",2,0.7513513513513462,0.6999999999999948,0.7333333333333208,0.726999999999991,"","",2,0.3432432432432423,0.2879310344827591,0.34952380952380735,0.3304999999999988
3,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",3,0.8189189189189131,0.8172413793103361,0.8161904761904615,0.8169999999999886,"","",3,0.3756756756756744,0.3344827586206902,0.38571428571428257,0.3689999999999983
4,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",4,0.8675675675675613,0.8775862068965412,0.8771428571428408,0.8754999999999873,"","",4,0.3972972972972958,0.35517241379310405,0.41333333333332944,0.39349999999999785
5,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",5,0.7351351351351302,0.7034482758620637,0.7123809523809405,0.7139999999999913,"","",5,0.30540540540540484,0.2879310344827591,0.32857142857142696,0.3124999999999992
6,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",6,0.570270270270267,0.6155172413793077,0.5847619047618963,0.5909999999999942,"","",6,0.254054054054054,0.2500000000000004,0.262857142857143,0.25750000000000023
7,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",7,0.5027027027027001,0.5413793103448272,0.49142857142856544,0.5079999999999962,"","",7,0.22432432432432434,0.22241379310344864,0.2180952380952385,0.2205000000000003
8,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",8,0.4810810810810787,0.4706896551724146,0.41714285714285315,0.4444999999999977,"","",8,0.21351351351351353,0.20517241379310378,0.186666666666667,0.19700000000000029
9,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",9,0.44324324324324127,0.4137931034482766,0.3723809523809496,0.39749999999999835,"","",9,0.20540540540540542,0.19827586206896583,0.16476190476190505,0.18200000000000022
10,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",10,0.4054054054054038,0.3827586206896558,0.3342857142857125,0.361499999999999,"","",10,0.1918918918918919,0.18103448275862097,0.14952380952380978,0.16650000000000023
11,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",11,0.3729729729729717,0.3500000000000006,0.31047619047618935,0.3334999999999993,"","",11,0.17027027027027028,0.1655172413793106,0.1428571428571431,0.1545000000000002
12,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",12,0.354054054054053,0.31551724137931086,0.2914285714285708,0.30999999999999966,"","",12,0.16216216216216217,0.14655172413793124,0.1304761904761907,0.14100000000000018
13,0.44594594594594394,0.4206896551724145,0.46761904761904227,0.44999999999999707,"","",13,0.32702702702702624,0.2827586206896556,0.2657142857142858,0.282,"","",13,0.14594594594594595,0.13103448275862087,0.12380952380952401,0.13000000000000017
