"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",0,0.34036939313984144,0.3251748251748259,0.3450905624404203,0.33850000000000063,"","",0,0.17150395778364125,0.15909090909090895,0.15919923736892214,0.16149999999999964
1,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",1,0.5593667546174137,0.569930069930074,0.5853193517635856,0.5760000000000018,"","",1,0.29023746701846975,0.24475524475524443,0.25262154432793016,0.25749999999999934
2,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",2,0.6939313984168879,0.708041958041964,0.7311725452812162,0.7174999999999998,"","",2,0.3509234828496039,0.29545454545454575,0.32507149666348945,0.32150000000000023
3,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",3,0.7836411609498707,0.7989510489510562,0.8169685414680578,0.8054999999999989,"","",3,0.3878627968337725,0.3374125874125883,0.3622497616777896,0.3600000000000008
4,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",4,0.8575197889182095,0.8636363636363718,0.873212583412765,0.8674999999999982,"","",4,0.4195250659630599,0.3688811188811202,0.3889418493803641,0.3890000000000012
5,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",5,0.7255936675461759,0.7290209790209853,0.7292659675881753,0.7285000000000001,"","",5,0.3535620052770445,0.31293706293706347,0.32411820781696893,0.3265000000000003
6,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",6,0.6147757255936678,0.6031468531468577,0.6053384175405153,0.6065000000000016,"","",6,0.3034300791556728,0.27097902097902093,0.26978074356529946,0.2764999999999995
7,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",7,0.5461741424802103,0.5244755244755279,0.5081029551954283,0.5200000000000029,"","",7,0.261213720316623,0.2360139860139857,0.22878932316491785,0.23699999999999938
8,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",8,0.4775725593667534,0.45454545454545703,0.4356530028598694,0.449000000000002,"","",8,0.2295514511873354,0.20104895104895082,0.20209723546234415,0.2069999999999995
9,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",9,0.4248021108179411,0.3986013986014003,0.38703527168732305,0.39750000000000124,"","",9,0.2058047493403696,0.17132867132867116,0.1811248808388934,0.1829999999999996
10,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",10,0.36147757255936636,0.34440559440559537,0.3393708293612972,0.3450000000000006,"","",10,0.1741424802110819,0.1416083916083915,0.15633937082936067,0.15549999999999967
11,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",11,0.32453825857519775,0.30769230769230815,0.30886558627264066,0.3115000000000001,"","",11,0.15303430079155675,0.12062937062937057,0.1458531935176353,0.13999999999999968
12,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",12,0.2981530343007916,0.2849650349650351,0.2840800762631072,0.28699999999999976,"","",12,0.1372031662269129,0.11713286713286708,0.13060057197330746,0.12799999999999975
13,0.4775725593667534,0.43531468531468753,0.44804575786463613,0.45000000000000207,"","",13,0.2849604221635885,0.25699300699300676,0.26310772163965584,0.26549999999999946,"","",13,0.13456464379947225,0.10664335664335661,0.1182078169685411,0.1179999999999998
