"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",0,0.0791788856304985,0.07877813504823146,0.08486017357762768,0.08199999999999993,"","",0,0.03519061583577713,0.04019292604501608,0.04339440694310508,0.04099999999999999
1,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",1,0.17008797653958935,0.1623794212218651,0.16682738669238226,0.16600000000000023,"","",1,0.06158357771260995,0.0803858520900321,0.08003857280617156,0.07699999999999994
2,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",2,0.2492668621700878,0.2443729903536985,0.24108003857280752,0.2435000000000009,"","",2,0.10263929618768323,0.11897106109324748,0.12439729990356783,0.11899999999999988
3,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",3,0.3255131964809382,0.3102893890675243,0.30568948891031883,0.31050000000000033,"","",3,0.13489736070381225,0.1559485530546625,0.14946962391514,0.1490000000000001
4,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",4,0.3782991202346038,0.35530546623794185,0.366441658630665,0.36499999999999966,"","",4,0.17008797653958935,0.17524115755627034,0.1783992285438771,0.17600000000000035
5,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",5,0.3841642228739,0.36173633440514436,0.361620057859209,0.3654999999999997,"","",5,0.17302052785923744,0.17524115755627034,0.17357762777242092,0.1740000000000003
6,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",6,0.3870967741935481,0.3713826366559481,0.366441658630665,0.37149999999999966,"","",6,0.1847507331378298,0.176848874598071,0.17647058823529463,0.17800000000000035
7,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",7,0.3782991202346038,0.36173633440514436,0.37126325940212107,0.36949999999999966,"","",7,0.17008797653958935,0.16398713826366576,0.16586306653809102,0.16600000000000023
8,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",8,0.3870967741935481,0.3649517684887456,0.36933461909353865,0.37099999999999966,"","",8,0.17008797653958935,0.16720257234726707,0.1600771456123436,0.1640000000000002
9,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",9,0.40469208211143665,0.3810289389067519,0.35969141755062656,0.37399999999999967,"","",9,0.17008797653958935,0.16881028938906772,0.15139826422372246,0.16000000000000014
10,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",10,0.3958944281524924,0.37942122186495125,0.3635486981677914,0.3739999999999996,"","",10,0.17595307917888553,0.1623794212218651,0.1475409836065575,0.1570000000000001
11,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",11,0.3782991202346038,0.36816720257234686,0.366441658630665,0.36899999999999966,"","",11,0.16715542521994126,0.17041800643086838,0.1446480231436838,0.1565000000000001
12,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",12,0.3812316715542519,0.3585209003215431,0.34715525554484084,0.3564999999999998,"","",12,0.17595307917888553,0.16398713826366576,0.13886210221793638,0.15300000000000005
13,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",13,0.3812316715542519,0.36816720257234686,0.3461909353905496,0.35899999999999976,"","",13,0.17595307917888553,0.16559485530546642,0.14079074252651885,0.15450000000000005
14,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",14,0.3607038123167153,0.363344051446945,0.3346190935390551,0.34799999999999986,"","",14,0.16422287390029316,0.16398713826366576,0.14271938283510133,0.15300000000000005
15,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",15,0.3460410557184748,0.35048231511253997,0.3326904532304727,0.3405,"","",15,0.1495601173020527,0.1623794212218651,0.14368370298939256,0.15050000000000005
16,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",16,0.33137829912023437,0.34244372990353683,0.3240115718418518,0.3310000000000001,"","",16,0.14076246334310843,0.15273311897106118,0.13789778206364514,0.143
17,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",17,0.30791788856304964,0.34405144694533746,0.3153326904532309,0.3230000000000001,"","",17,0.13782991202346034,0.14951768488745987,0.13114754098360648,0.13799999999999998
18,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",18,0.287390029325513,0.3408360128617362,0.3211186113789782,0.3215000000000001,"","",18,0.12023460410557178,0.1446945337620579,0.13211186113789772,0.13399999999999998
19,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",19,0.27565982404692063,0.3344051446945337,0.3143683702989397,0.3140000000000002,"","",19,0.11730205278592369,0.14630225080385856,0.13500482160077143,0.1355
20,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",20,0.2844574780058649,0.33118971061093244,0.32015429122468697,0.3175000000000001,"","",20,0.12316715542521987,0.1446945337620579,0.14079074252651885,0.13900000000000004
21,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",21,0.27565982404692063,0.3295819935691318,0.32690453230472544,0.3190000000000001,"","",21,0.10850439882697942,0.13183279742765266,0.14561234329797504,0.13500000000000004
22,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",22,0.2815249266862168,0.3215434083601287,0.3336547733847639,0.32100000000000006,"","",22,0.10850439882697942,0.12540192926045005,0.1475409836065575,0.13400000000000004
23,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",23,0.29618768328445727,0.3231511254019293,0.3413693346190936,0.328,"","",23,0.11143695014662751,0.13183279742765266,0.15429122468659617,0.1400000000000001
24,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",24,0.30205278592375345,0.3344051446945337,0.34811957569913204,0.3359999999999999,"","",24,0.11730205278592369,0.13504823151125397,0.15621986499517865,0.14300000000000013
25,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",25,0.3108504398826977,0.33118971061093244,0.3558341369334617,0.3404999999999999,"","",25,0.12023460410557178,0.13183279742765266,0.15718418514946988,0.14300000000000013
26,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",26,0.33137829912023437,0.35048231511253997,0.3539054966248793,0.34899999999999975,"","",26,0.12903225806451607,0.1446945337620579,0.15718418514946988,0.14850000000000013
27,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",27,0.33137829912023437,0.3536977491961412,0.3539054966248793,0.34999999999999976,"","",27,0.12316715542521987,0.15112540192926052,0.1629701060752173,0.15250000000000016
28,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",28,0.36363636363636337,0.3585209003215431,0.37126325940212107,0.36599999999999966,"","",28,0.13782991202346034,0.15112540192926052,0.17357762777242092,0.16050000000000025
29,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",29,0.37243401759530764,0.36173633440514436,0.3818707810993244,0.37399999999999956,"","",29,0.14662756598240462,0.14951768488745987,0.1832208293153333,0.16650000000000031
30,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",30,0.3782991202346038,0.3569131832797425,0.3924783027965277,0.3789999999999995,"","",30,0.1495601173020527,0.15273311897106118,0.1832208293153333,0.16800000000000034
31,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",31,0.3782991202346038,0.3649517684887456,0.39054966248794526,0.38049999999999945,"","",31,0.1524926686217008,0.15755627009646314,0.18032786885245958,0.16850000000000032
32,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",32,0.40762463343108474,0.3778135048231506,0.39922854387656614,0.3939999999999993,"","",32,0.17595307917888553,0.16559485530546642,0.18804243008678947,0.1790000000000004
33,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",33,0.3841642228739,0.37942122186495125,0.3963355834136925,0.3889999999999994,"","",33,0.17302052785923744,0.16720257234726707,0.18804243008678947,0.1790000000000004
34,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",34,0.3929618768328443,0.3874598070739544,0.4040501446480222,0.3969999999999993,"","",34,0.17302052785923744,0.16881028938906772,0.18514946962391576,0.17800000000000038
35,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",35,0.3929618768328443,0.39067524115755564,0.403085824493731,0.39749999999999924,"","",35,0.17888563049853362,0.17202572347266903,0.18707810993249824,0.1810000000000004
36,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",36,0.3900293255131962,0.37459807073954937,0.40019286403085735,0.39049999999999935,"","",36,0.1818181818181817,0.1591639871382638,0.186113789778207,0.17700000000000035
37,0.4457478005865099,0.4469453376205776,0.4532304725168739,0.4499999999999986,"","",37,0.3548387096774191,0.38585209003215376,0.38765670202507163,0.38149999999999945,"","",37,0.15835777126099698,0.16559485530546642,0.18032786885245958,0.17200000000000035
