"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",0,0.09883720930232562,0.059390048154093114,0.09196515004840283,0.08300000000000009,"","",0,0.04651162790697673,0.022471910112359543,0.04937076476282668,0.04049999999999998
1,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",1,0.16860465116279086,0.11075441412520072,0.1597289448209105,0.14600000000000032,"","",1,0.08139534883720931,0.05617977528089889,0.08131655372700877,0.07350000000000002
2,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",2,0.232558139534884,0.1797752808988761,0.24491771539206297,0.22250000000000045,"","",2,0.11627906976744193,0.09309791332263248,0.1190706679574059,0.11050000000000017
3,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",3,0.31104651162790736,0.25040128410914847,0.331074540174249,0.30249999999999944,"","",3,0.1656976744186048,0.12199036918138051,0.15004840271055225,0.1440000000000003
4,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",4,0.3808139534883726,0.3162118780096295,0.3920619554695041,0.3664999999999986,"","",4,0.20930232558139558,0.14767255216693412,0.1761858664085195,0.17300000000000035
5,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",5,0.3517441860465121,0.3547351524879599,0.38431752178121775,0.3694999999999985,"","",5,0.20348837209302348,0.1685393258426964,0.17328170377541202,0.1770000000000003
6,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",6,0.36046511627907024,0.3675762439807367,0.3969022265246831,0.3814999999999984,"","",6,0.20639534883720953,0.1701444622792935,0.17037754114230455,0.1765000000000003
7,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",7,0.3750000000000005,0.3739967897271251,0.3978702807357189,0.38649999999999834,"","",7,0.20930232558139558,0.1685393258426964,0.17424975798644785,0.1785000000000003
8,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",8,0.3633720930232563,0.3739967897271251,0.3775411423039672,0.3739999999999986,"","",8,0.19476744186046532,0.1717495987158906,0.1684414327202329,0.17400000000000027
9,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",9,0.33720930232558183,0.356340288924557,0.38625363020328934,0.3684999999999985,"","",9,0.1715116279069769,0.1685393258426964,0.17328170377541202,0.1715000000000003
10,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",10,0.33720930232558183,0.3483146067415715,0.378509196515003,0.36199999999999866,"","",10,0.16860465116279086,0.1605136436597109,0.1684414327202329,0.1660000000000003
11,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",11,0.3255813953488376,0.3531300160513628,0.3727008712487882,0.35849999999999876,"","",11,0.1598837209302327,0.162118780096308,0.17424975798644785,0.1680000000000003
12,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",12,0.31686046511627947,0.3643659711075425,0.36302032913843024,0.35549999999999876,"","",12,0.14534883720930244,0.1685393258426964,0.16747337850919708,0.16400000000000023
13,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",13,0.3023255813953492,0.3675762439807367,0.36592449177153763,0.35549999999999876,"","",13,0.1424418604651164,0.1685393258426964,0.16940948693126873,0.16450000000000023
14,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",14,0.3313953488372097,0.3707865168539309,0.35818005808325126,0.3574999999999989,"","",14,0.14534883720930244,0.1605136436597109,0.16360116166505378,0.15950000000000025
15,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",15,0.3313953488372097,0.3627608346709454,0.3523717328170365,0.35199999999999887,"","",15,0.1424418604651164,0.1556982343499196,0.15779283639883884,0.15450000000000022
16,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",16,0.3255813953488376,0.3451043338683773,0.34172313649564273,0.3399999999999991,"","",16,0.1424418604651164,0.14767255216693412,0.15101645692158808,0.14850000000000022
17,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",17,0.31104651162790736,0.3274478330658092,0.33494675701839216,0.3284999999999992,"","",17,0.1366279069767443,0.14446227929373992,0.14908034849951643,0.14550000000000024
18,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",18,0.30523255813953526,0.308186195826644,0.34172313649564273,0.3249999999999991,"","",18,0.12790697674418613,0.13322632423756023,0.15392061955469555,0.1430000000000003
19,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",19,0.29360465116279105,0.30337078651685273,0.32623426911907,0.31349999999999933,"","",19,0.12790697674418613,0.13162118780096313,0.14908034849951643,0.1400000000000003
20,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",20,0.290697674418605,0.29695024077046434,0.3223620522749268,0.30899999999999944,"","",20,0.13372093023255824,0.13001605136436603,0.1442400774443373,0.1380000000000003
21,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",21,0.30523255813953526,0.3113964686998382,0.3281703775411416,0.31899999999999934,"","",21,0.1366279069767443,0.13643659711075443,0.1519845111326239,0.1445000000000003
22,0.47383720930232626,0.4462279293739945,0.4443368828654371,0.4499999999999977,"","",22,0.31686046511627947,0.3113964686998382,0.33397870280735636,0.3239999999999992,"","",22,0.14534883720930244,0.13804173354735153,0.15488867376573137,0.1480000000000003
