"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.44047619047618947,0.43851132686083966,0.4598470363288692,0.44999999999999785,"","",0,0.05654761904761907,0.07281553398058253,0.07170172084130016,0.0695,"","",0,0.03273809523809523,0.029126213592233025,0.0363288718929254,0.03349999999999999
1,0.44047619047618947,0.43851132686083966,0.4598470363288692,0.44999999999999785,"","",1,0.12202380952380962,0.14724919093851127,0.14531548757170182,0.14200000000000007,"","",1,0.04761904761904763,0.06472491909385117,0.06883365200764814,0.06399999999999999
2,0.44047619047618947,0.43851132686083966,0.4598470363288692,0.44999999999999785,"","",2,0.20535714285714265,0.21197411003236274,0.2284894837476093,0.21949999999999972,"","",2,0.06845238095238099,0.08576051779935272,0.11089866156787782,0.09600000000000009
3,0.44047619047618947,0.43851132686083966,0.4598470363288692,0.44999999999999785,"","",3,0.26785714285714246,0.2750809061488675,0.2839388145315476,0.2784999999999994,"","",3,0.08928571428571434,0.11488673139158563,0.13288718929254323,0.12000000000000008
4,0.44047619047618947,0.43851132686083966,0.4598470363288692,0.44999999999999785,"","",4,0.32142857142857084,0.34304207119741037,0.3479923518164419,0.34199999999999886,"","",4,0.11607142857142866,0.14077669902912612,0.16634799235181635,0.14999999999999994
5,0.44047619047618947,0.43851132686083966,0.4598470363288692,0.44999999999999785,"","",5,0.35714285714285643,0.34466019417475663,0.36137667304015114,0.35549999999999876,"","",5,0.12500000000000008,0.15048543689320384,0.17112810707456966,0.15699999999999995
6,0.44047619047618947,0.43851132686083966,0.4598470363288692,0.44999999999999785,"","",6,0.38988095238095155,0.3624595469255655,0.3718929254302084,0.3719999999999986,"","",6,0.14285714285714288,0.16181229773462785,0.17686424474187362,0.16649999999999993
7,0.44047619047618947,0.43851132686083966,0.4598470363288692,0.44999999999999785,"","",7,0.38988095238095155,0.39158576051779814,0.3718929254302084,0.3809999999999985,"","",7,0.15178571428571427,0.17637540453074443,0.170172084130019,0.16899999999999996
8,0.44047619047618947,0.43851132686083966,0.4598470363288692,0.44999999999999785,"","",8,0.37202380952380876,0.409385113268607,0.3699808795411071,0.3824999999999984,"","",8,0.1577380952380952,0.18932038834951473,0.17399617590822164,0.17599999999999993
9,0.44047619047618947,0.43851132686083966,0.4598470363288692,0.44999999999999785,"","",9,0.3660714285714278,0.40291262135922196,0.3699808795411071,0.37949999999999845,"","",9,0.15476190476190474,0.18608414239482216,0.17399617590822164,0.17449999999999993
