"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",0,0.3429374560787044,0.3380281690140822,0.34085995676195757,0.3403750000000025,"","",0,0.20801124385101818,0.20008285004142398,0.19361037713187756,0.19812500000000033
1,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",1,0.5530569219957824,0.5671085335542714,0.5462406918088065,0.5537500000000088,"","",1,0.3225579761068143,0.32311516155757863,0.2997838097525878,0.31087500000000184
2,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",2,0.6830639494026778,0.7145816072908266,0.6874849867883939,0.6948750000000187,"","",2,0.38650737877722807,0.386909693454844,0.3569541196252779,0.37125000000000263
3,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",3,0.7821503865073927,0.8065451532726111,0.784770598126375,0.7908750000000252,"","",3,0.4230498945888931,0.420049710024852,0.3917847705981353,0.4058750000000031
4,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",4,0.84118060435701,0.8641259320630077,0.857554648090346,0.8566250000000296,"","",4,0.4455375966268408,0.43537696768848066,0.4136440067259286,0.4258750000000034
5,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",5,0.6907940969782229,0.7096106048053248,0.7083833773721083,0.7056250000000192,"","",5,0.3302881236823588,0.33140016570008063,0.3194811434062037,0.3250000000000022
6,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",6,0.6001405481377391,0.5898922949461549,0.599807830891201,0.5968750000000114,"","",6,0.2670414617006309,0.2555923777961874,0.2512611097766071,0.2553750000000012
7,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",7,0.5249472944483455,0.49544324772162013,0.5202978621186782,0.5136250000000054,"","",7,0.2178496134926203,0.20091135045567418,0.20802306029305995,0.20762500000000056
8,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",8,0.4532677442023853,0.43330571665285517,0.44943550324286485,0.4452500000000041,"","",8,0.1749824314827825,0.166942833471416,0.17463367763632076,0.1723750000000001
9,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",9,0.4047786366830606,0.3864954432477189,0.3917847705981353,0.39250000000000324,"","",9,0.14757554462403374,0.14540182270091082,0.15085275042036983,0.14862499999999979
10,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",10,0.36683063949402384,0.3458989229494591,0.35551285130915966,0.35462500000000274,"","",10,0.13352073085031643,0.13131731565865742,0.13283689646889185,0.1324999999999995
11,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",11,0.32326071679550017,0.32021541010770294,0.32452558251261754,0.3230000000000023,"","",11,0.11454673225579787,0.11930405965202952,0.11914484746576894,0.11837499999999947
12,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",12,0.29725931131412314,0.29121789560894595,0.2997838097525878,0.29675000000000196,"","",12,0.10611384399156731,0.10521955260977613,0.11361998558731601,0.10974999999999954
13,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",13,0.27687983134223304,0.26677713338856507,0.27672351669469597,0.2737500000000016,"","",13,0.09908643710470852,0.10066280033140003,0.10713427816478431,0.10374999999999963
14,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",14,0.26282501756851573,0.253935376967687,0.2551044919529224,0.25612500000000127,"","",14,0.09557273366127912,0.09734879867439923,0.09920730242613446,0.09799999999999971
15,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",15,0.23893183415319627,0.23612261806130766,0.2361277924573656,0.236625000000001,"","",15,0.0892480674631062,0.09279204639602313,0.0946432860917603,0.09312499999999978
16,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",16,0.2157413914265627,0.21830985915492837,0.21811193850588761,0.21775000000000075,"","",16,0.08222066057624741,0.08906379453189724,0.08935863559932707,0.08799999999999983
17,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",17,0.19887561489810193,0.20298260149129968,0.20706221474898112,0.2043750000000006,"","",17,0.07870695713281801,0.08533554266777134,0.08647609896709076,0.08474999999999985
18,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",18,0.18692902319044222,0.1901408450704216,0.19553206822003522,0.19237500000000046,"","",18,0.07449051300070274,0.08202154101077054,0.08311313956281506,0.0812499999999999
19,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",19,0.17146872803935317,0.1785418392709188,0.18616382416526667,0.18125000000000033,"","",19,0.06957132817990158,0.07829328914664464,0.08071102570261814,0.07799999999999993
20,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",20,0.2283907238229083,0.23860811930405826,0.24261349987989766,0.23887500000000114,"","",20,0.11595221363316963,0.12468931234465581,0.12226759548402494,0.12187499999999941
21,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",21,0.31763879128601324,0.32270091135045353,0.32788854191689343,0.3245000000000024,"","",21,0.17779339423752596,0.18351284175642,0.17871727119865577,0.18000000000000016
22,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",22,0.392129304286715,0.4047224523612233,0.4136440067259286,0.4071250000000036,"","",22,0.23120168657765175,0.23115161557580646,0.2322844102810503,0.23175000000000096
23,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",23,0.4778636683063906,0.48094449047224164,0.4859476339178602,0.48300000000000465,"","",23,0.2839072382290917,0.27920463960231806,0.2704780206581836,0.27550000000000147
24,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",24,0.5404075895994358,0.555509527754767,0.5527263992313386,0.5513750000000084,"","",24,0.32747716092761536,0.31814415907207744,0.3038674033149228,0.31237500000000196
25,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",25,0.5558678847505261,0.5770505385252751,0.571222675954856,0.5702500000000098,"","",25,0.3141250878425839,0.31772990886495234,0.3036271919289031,0.3097500000000019
26,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",26,0.5544624033731542,0.5695940347970223,0.5661782368484422,0.5651250000000093,"","",26,0.3000702740688666,0.30074565037282325,0.28777324045160246,0.2938750000000017
27,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",27,0.5432185523541795,0.555509527754767,0.5402354071583139,0.5453750000000082,"","",27,0.28039353478566237,0.28417564208781926,0.26447273600769095,0.2732500000000014
28,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",28,0.5186226282501722,0.5331400165700086,0.5087677155897323,0.5178750000000064,"","",28,0.26001405481377227,0.26719138359569017,0.24165265433581884,0.252625000000001
29,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",29,0.49332396345747964,0.49212924606461933,0.480422772039407,0.48625000000000446,"","",29,0.2382290934645104,0.23529411764705746,0.22387701177036057,0.22987500000000075
30,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",30,0.4659170765987309,0.46147473073736195,0.46072543838579105,0.46187500000000425,"","",30,0.22136331693604963,0.21168185584092677,0.20682200336296142,0.21087500000000053
31,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",31,0.44834855938158424,0.44490472245235796,0.43117943790536717,0.43837500000000373,"","",31,0.20730850316233232,0.20132560066279928,0.18832572663944402,0.19562500000000022
32,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",32,0.4307800421644376,0.4105219552609747,0.40835935623349506,0.4130000000000034,"","",32,0.1953619114546726,0.1826843413421698,0.17487388902234047,0.18087500000000006
33,0.47083626141953194,0.45816072908036115,0.43814556809993865,0.4500000000000038,"","",33,0.4146170063246627,0.386909693454844,0.38842181119385943,0.39262500000000317,"","",33,0.18411806043569875,0.1685998342999164,0.1650252221955325,0.16949999999999993
