"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",0,0.3337902673063733,0.33562822719449364,0.34266065923641664,0.33899999999999636,"","",0,0.1768334475668276,0.19750430292598767,0.19895660422100667,0.19449999999999773
1,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",1,0.5606579849211758,0.561531841652336,0.5546597106948065,0.557750000000003,"","",1,0.29883481836874587,0.30808950086058523,0.30709034858903794,0.3058749999999967
2,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",2,0.67717614804661,0.7117039586919304,0.6955181408584591,0.6968750000000214,"","",2,0.34749828649759973,0.37220309810671576,0.3694569599241086,0.3662499999999964
3,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",3,0.7772446881425711,0.7943201376936556,0.7891866255632449,0.7885000000000338,"","",3,0.39204934886908566,0.39974182444062417,0.40645008299738244,0.40187499999999604
4,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",4,0.8546949965730067,0.8571428571428842,0.8501304244724347,0.8530000000000421,"","",4,0.4180945853324159,0.4182444061962189,0.4270808631728621,0.4228749999999959
5,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",5,0.7025359835503809,0.7005163511187801,0.701209390562041,0.7012500000000221,"","",5,0.33310486634681197,0.3166953528399316,0.3241640976997797,0.3236249999999964
6,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",6,0.5832762165867013,0.5813253012048327,0.588807208916298,0.5856250000000071,"","",6,0.2563399588759439,0.24827882960412803,0.2582404552999712,0.2549999999999968
7,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",7,0.5236463331048614,0.4888123924268592,0.5048612757884646,0.5036249999999961,"","",7,0.21727210418094722,0.19922547332185683,0.213421863884274,0.2099999999999976
8,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",8,0.452364633310482,0.444061962134258,0.44723737253971,0.4472499999999958,"","",8,0.179575051405073,0.17426850258175394,0.18093431349300146,0.1787499999999981
9,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",9,0.41124057573680267,0.39716006884682026,0.4017073749110653,0.40212499999999596,"","",9,0.1562714187799871,0.14931153184165105,0.15840645008299495,0.15537499999999846
10,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",10,0.3749143248800526,0.3623063683304674,0.3616314915816853,0.36424999999999624,"","",10,0.1398217957505147,0.13554216867469773,0.14133270097225317,0.13937499999999875
11,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",11,0.3406442769019865,0.33777969018933024,0.32700972255157,0.33262499999999656,"","",11,0.12542837559972636,0.12822719449225378,0.12663030590466998,0.126874999999999
12,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",12,0.32350925291295346,0.31110154905335646,0.2995020156509305,0.3072499999999967,"","",12,0.11651816312542883,0.11617900172116963,0.11785629594498323,0.11712499999999915
13,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",13,0.2940370116518166,0.2938898450946637,0.27483993360208125,0.28387499999999694,"","",13,0.10281014393420183,0.11101549053356213,0.11145364002845506,0.10974999999999924
14,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",14,0.269362577107609,0.2685025817555919,0.25278634100070646,0.260374999999997,"","",14,0.09458533241946564,0.10413080895008547,0.10339103628171589,0.10199999999999936
15,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",15,0.2563399588759439,0.24870912220309532,0.23286696703817436,0.2417499999999971,"","",15,0.08910212474297484,0.0981067125645434,0.09675124496087187,0.09574999999999947
16,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",16,0.23646333104866502,0.23364888123924013,0.21887597818353874,0.22637499999999738,"","",16,0.08361891706648404,0.09165232358003403,0.09271994308750228,0.09074999999999954
17,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",17,0.22686771761480612,0.21772805507745036,0.20654493715911412,0.2134999999999976,"","",17,0.08087731322823864,0.08648881239242653,0.08987431823571199,0.0872499999999996
18,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",18,0.21315969842357912,0.20352839931152975,0.19445103153900536,0.20049999999999785,"","",18,0.07676490747087054,0.0834767641996555,0.08655442257528997,0.08387499999999966
19,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",19,0.20013708019191348,0.18975903614457643,0.18140858430163317,0.18724999999999806,"","",19,0.07265250171350245,0.08046471600688446,0.0829973915105521,0.08037499999999971
20,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",20,0.24263193968471716,0.2405335628227168,0.23594972729428051,0.23849999999999713,"","",20,0.10760795065113128,0.12177280550774441,0.1259188996917224,0.121374999999999
21,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",21,0.32693625771076007,0.3257314974182453,0.31278159829261853,0.31912499999999666,"","",21,0.16518163125428464,0.17512908777968852,0.17998577187573803,0.1758749999999981
22,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",22,0.39547635366689227,0.4070567986230686,0.3998102916765384,0.40112499999999623,"","",22,0.21453050034270182,0.22676419965576347,0.23926962295470253,0.2311249999999971
23,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",23,0.4681288553803924,0.4814974182444148,0.47521935024898126,0.4757499999999958,"","",23,0.25702535983550523,0.2685025817555919,0.28219113113587285,0.2736249999999967
24,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",24,0.5414667580534572,0.5542168674698916,0.5465971069480654,0.5478750000000018,"","",24,0.29540781357093926,0.30593803786574864,0.31657576476167226,0.30962499999999654
25,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",25,0.5647703906785441,0.5753012048192903,0.566753616314918,0.5688750000000046,"","",25,0.2974640164496232,0.30895008605851987,0.315390087740093,0.3102499999999966
26,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",26,0.5688827964359123,0.5563683304647282,0.5643822622717589,0.562875000000004,"","",26,0.2837559972583968,0.2891566265060232,0.3016362342897732,0.29474999999999657
27,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",27,0.5496915695681938,0.533132530120493,0.5387716386056403,0.5391250000000006,"","",27,0.26456477039067977,0.26506024096385333,0.2710457671330275,0.2681249999999967
28,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",28,0.5298149417409138,0.5008605851979441,0.5209864832819467,0.5167499999999982,"","",28,0.250171350239892,0.23666092943201117,0.25183779938344303,0.24712499999999696
29,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",29,0.501028101439336,0.4664371772805586,0.4858904434431949,0.4829999999999952,"","",29,0.23166552433173557,0.2104130808950064,0.22788712354754134,0.22349999999999737
30,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",30,0.4742974640164443,0.4457831325301273,0.4598055489684505,0.4583749999999954,"","",30,0.21590130226182452,0.19363166953528205,0.21247332226701057,0.20762499999999764
31,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",31,0.43522960932144894,0.4225473321858921,0.4344320607066537,0.43112499999999576,"","",31,0.19671007539410673,0.17857142857142685,0.19753379179511152,0.19187499999999788
32,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",32,0.41672378341329325,0.4066265060241013,0.4119041972966472,0.4112499999999959,"","",32,0.18642906100068649,0.16996557659208103,0.18330566753616004,0.17999999999999813
33,0.4461960246744301,0.4410499139414868,0.4562485179037126,0.44999999999999557,"","",33,0.40095956134338284,0.3894148020654085,0.38937633388664067,0.3914999999999961,"","",33,0.1768334475668276,0.1613597246127352,0.17382025136352572,0.17074999999999826
