"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",0,0.43692741367160637,0.41150263264479053,0.44260700389104907,0.4319999999999989,"","",0,0.25299506694855506,0.22924260834345658,0.25559338521400693,0.2469999999999988
1,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",1,0.6560958421423564,0.6350749291210935,0.670963035019453,0.6572499999999968,"","",1,0.3594080338266422,0.3398136897529325,0.3616245136186758,0.35449999999999887
2,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",2,0.7780126849894268,0.7719724584852066,0.7959630350194525,0.785374999999995,"","",2,0.4023960535588496,0.3920615633859816,0.4083171206225667,0.40224999999999883
3,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",3,0.8745595489781472,0.8545970028351446,0.874999999999997,0.8686249999999939,"","",3,0.43269908386188105,0.41960307816929426,0.4360408560311269,0.43037499999999884
4,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",4,0.9260042283298012,0.9040097205346174,0.9197470817120591,0.9159999999999932,"","",4,0.44397463002114856,0.4297286350749239,0.44357976653696346,0.43937499999999885
5,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",5,0.6962649753347437,0.6966383151073219,0.6928501945525268,0.6946249999999962,"","",5,0.30232558139535043,0.30255164034021537,0.3030155642023336,0.30274999999999874
6,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",6,0.5835095137420775,0.5678412312677126,0.5610408560311265,0.5671249999999978,"","",6,0.23467230443974593,0.22640745240988028,0.2266536964980537,0.22799999999999884
7,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",7,0.47568710359408845,0.47063588497366776,0.4632782101167299,0.4677499999999989,"","",7,0.1853417899929525,0.17091940056702973,0.17971789883268421,0.17799999999999921
8,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",8,0.40028188865398695,0.3997569866342601,0.38642996108949285,0.3929999999999988,"","",8,0.15433403805496806,0.14094775212636593,0.14250972762645867,0.1441249999999994
9,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",9,0.3474277660324205,0.3503442689347874,0.34411478599221673,0.34662499999999874,"","",9,0.1331923890063423,0.12272174969623252,0.12548638132295678,0.12599999999999953
10,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",10,0.31007751937984684,0.3106520858647191,0.31249999999999895,0.3114999999999987,"","",10,0.12332628611698361,0.11057108140947693,0.11308365758754826,0.1141249999999996
11,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",11,0.2797744890768154,0.2798703928716049,0.28185797665369555,0.28087499999999876,"","",11,0.11346018322762493,0.10125556905629764,0.10578793774319031,0.10574999999999966
12,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",12,0.26004228329809725,0.25516403402186855,0.2560797665369641,0.25649999999999873,"","",12,0.10852713178294558,0.09720534629404577,0.09678988326848217,0.09899999999999969
13,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",13,0.2374911909795627,0.23815309842041069,0.23832684824902642,0.23812499999999875,"","",13,0.10218463706835786,0.09396516808424428,0.0931420233463032,0.09499999999999971
14,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",14,0.2191684284707537,0.22519238558120472,0.22276264591439612,0.22287499999999885,"","",14,0.09584214235377013,0.08950992304576723,0.09022373540856002,0.09099999999999975
15,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",15,0.2036645525017615,0.20939651680842244,0.2110894941634234,0.20924999999999894,"","",15,0.09372797744890755,0.08707978938841611,0.08852140077820983,0.08899999999999975
16,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",16,0.19097956307258604,0.19684082624544166,0.1964980544747075,0.19562499999999902,"","",16,0.09090909090909079,0.08464965573106499,0.08608949416342385,0.08649999999999977
17,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",17,0.1846370683579983,0.19076549210206387,0.18677042801556357,0.1876249999999991,"","",17,0.09090909090909079,0.08343458890238943,0.08414396887159506,0.08512499999999977
18,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",18,0.17054263565891448,0.17861482381530827,0.17631322957198384,0.17599999999999916,"","",18,0.08597603946441144,0.08059943296881313,0.08219844357976627,0.0823749999999998
19,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",19,0.16138125440450998,0.17010935601457935,0.1673151750972757,0.16712499999999925,"","",19,0.08245243128964048,0.07897934386391238,0.08025291828793749,0.08024999999999981
20,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",20,0.265680056377731,0.27906034831915455,0.28404669260700294,0.2792499999999986,"","",20,0.15715292459478483,0.15431348724179708,0.16026264591439635,0.15787499999999932
21,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",21,0.37914023960536036,0.4001620089104853,0.40102140077820875,0.39687499999999865,"","",21,0.23608174770965432,0.23045767517213214,0.23565175097276184,0.2341249999999988
22,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",22,0.49048625792812706,0.5091130012150605,0.5158073929961072,0.5092499999999986,"","",22,0.3016208597603962,0.28837586067233384,0.29839494163424024,0.29587499999999883
23,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",23,0.5764622973925358,0.5953827460510253,0.6077334630350174,0.5983749999999978,"","",23,0.34249471458774094,0.33333333333332954,0.3458171206225669,0.34137499999999876
24,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",24,0.6518675123326314,0.6561360874848032,0.6772859922178965,0.6662499999999967,"","",24,0.3763213530655435,0.35641960307816517,0.3779182879377419,0.3709999999999989
25,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",25,0.6356589147286856,0.6415552855406965,0.6588035019455231,0.6493749999999969,"","",25,0.35024665257223736,0.33292831105710435,0.3518968871595319,0.3457499999999988
26,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",26,0.6025369978858399,0.6055083029566549,0.6160019455252898,0.6103749999999973,"","",26,0.3093727977448926,0.30336168489266574,0.30958171206225576,0.30762499999999876
27,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",27,0.5581395348837276,0.57310652085864,0.5680933852140059,0.5678749999999979,"","",27,0.2684989429175479,0.2709599027946508,0.2752918287937734,0.27274999999999866
28,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",28,0.5109231853417986,0.5240988254353924,0.5211575875486364,0.5202499999999987,"","",28,0.24242424242424204,0.23653300931550994,0.2427042801556412,0.24074999999999874
29,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",29,0.46793516560959203,0.481976508707973,0.483219844357975,0.4801249999999987,"","",29,0.2114164904862576,0.21142162818954838,0.21376459143968798,0.21262499999999895
30,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",30,0.43269908386188105,0.44349939246658027,0.4506322957198428,0.4452499999999987,"","",30,0.19238900634249442,0.18833535844471275,0.1955252918287931,0.1927499999999991
31,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",31,0.40803382663848337,0.42365330093154613,0.4192607003891036,0.4186249999999987,"","",31,0.1775898520084564,0.17658971243418234,0.1833657587548632,0.18024999999999916
32,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",32,0.38618745595490256,0.39368165249088233,0.39785992217898697,0.3944999999999987,"","",32,0.16701902748414352,0.16443904414742674,0.16926070038910448,0.16737499999999927
33,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",33,0.3742071881606808,0.3770757391656497,0.37329766536964853,0.37462499999999876,"","",33,0.1606765327695558,0.15876873228027413,0.16026264591439635,0.15987499999999927
34,0.4587737843551872,0.43823410287565284,0.4540369649805432,0.44999999999999885,"","",34,0.36081747709655065,0.3523693803159133,0.35408560311283926,0.3547499999999988,"","",34,0.15856236786469322,0.1510733090319956,0.15564202334630298,0.1547499999999993
