"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.42719116632159865,0.44699264387711957,0.4594339622641705,0.45000000000001283,"","",0,0.45341614906832034,0.44093466032021744,0.44693396226416976,0.4463750000000123,"","",0,0.2415458937198056,0.2449156209433133,0.25400943396227166,0.2491250000000034
1,0.42719116632159865,0.44699264387711957,0.4594339622641705,0.45000000000001283,"","",1,0.6639061421670208,0.6763305928169857,0.6775943396226738,0.6747500000000255,"","",1,0.3367839889579002,0.3569883167460023,0.3672169811320896,0.35875000000000856
2,0.42719116632159865,0.44699264387711957,0.4594339622641705,0.45000000000001283,"","",2,0.7922705314009847,0.8018173950671011,0.8091981132075872,0.8040000000000335,"","",2,0.38302277432712,0.4028559065339755,0.4146226415094509,0.4055000000000108
3,0.42719116632159865,0.44699264387711957,0.4594339622641705,0.45000000000001283,"","",3,0.8812974465148629,0.8784076157507923,0.8806603773585348,0.8801250000000381,"","",3,0.41269841269841034,0.427087840761584,0.4382075471698296,0.43037500000001183
4,0.42719116632159865,0.44699264387711957,0.4594339622641705,0.45000000000001283,"","",4,0.9199447895100348,0.9203807875378999,0.9216981132075938,0.9210000000000405,"","",4,0.4216701173222888,0.4370402423193518,0.45094339622643415,0.44162500000001237
5,0.42719116632159865,0.44699264387711957,0.4594339622641705,0.45000000000001283,"","",5,0.6949620427881411,0.6949372565988994,0.6931603773585238,0.6940000000000267,"","",5,0.28295376121462934,0.29727390739939563,0.3040094339622746,0.2982500000000057
6,0.42719116632159865,0.44699264387711957,0.4594339622641705,0.45000000000001283,"","",6,0.5583160800552118,0.5486802250108338,0.5448113207547415,0.5483750000000177,"","",6,0.20220841959972305,0.2133275638251828,0.22099056603774145,0.2153750000000025
7,0.42719116632159865,0.44699264387711957,0.4594339622641705,0.45000000000001283,"","",7,0.4596273291925439,0.45564690610126546,0.45070754716983036,0.4537500000000127,"","",7,0.16149068322981305,0.17221981826049246,0.1752358490566067,0.1718750000000012
8,0.42719116632159865,0.44699264387711957,0.4594339622641705,0.45000000000001283,"","",8,0.3823326432022063,0.3864128083080983,0.3792452830188828,0.38187500000000946,"","",8,0.12353347135955796,0.14366075292081285,0.14292452830188782,0.13962500000000028
9,0.42719116632159865,0.44699264387711957,0.4594339622641705,0.45000000000001283,"","",9,0.334713595583159,0.3483340545218564,0.33867924528303134,0.34075000000000755,"","",9,0.10489993098688728,0.12765036780614397,0.1264150943396227,0.12287499999999983
