"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",0,0.4354731965585659,0.4333193100546875,0.4260700389105044,0.42999999999999744,"","",0,0.2356055592322973,0.24694993689524938,0.23686770428015483,0.2396250000000007
1,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",1,0.6730641958967455,0.669751787968015,0.6712062256809316,0.6711249999999931,"","",1,0.34414295168762227,0.3723180479596119,0.35408560311283926,0.3576249999999987
2,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",2,0.8074123097286409,0.7938578039545482,0.8061770428015537,0.8027499999999906,"","",2,0.39642620780939436,0.42196045435422513,0.4078307392996095,0.4098749999999978
3,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",3,0.8782263401720537,0.8712663020614028,0.8805933852140048,0.8773749999999895,"","",3,0.41363335539377505,0.4463609591922554,0.42752918287937597,0.4304999999999974
4,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",4,0.9225678358702655,0.9200673117374633,0.9248540856031097,0.9229999999999884,"","",4,0.42356055592322545,0.4581405132519941,0.4392023346303487,0.44187499999999713
5,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",5,0.7088021178027669,0.7050904501472313,0.7123054474708147,0.7094999999999925,"","",5,0.30178689609530057,0.323096339924275,0.31225680933852035,0.31349999999999956
6,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",6,0.5539377895433407,0.5624737063525372,0.5593385214007763,0.5592499999999953,"","",6,0.22369291859695634,0.23180479596129858,0.23005836575875407,0.22937500000000058
7,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",7,0.4480476505625364,0.4661337820782454,0.453550583657586,0.45624999999999694,"","",7,0.17273328921244216,0.18300378628523487,0.17339494163424066,0.17612500000000011
8,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",8,0.3845135671740539,0.40639461506099894,0.38351167315174967,0.39049999999999807,"","",8,0.14228987425545966,0.15397559949516249,0.14299610894941586,0.14612499999999987
9,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",9,0.33620119126406195,0.35969709718132037,0.34022373540855916,0.34524999999999895,"","",9,0.12442091330244821,0.13504417332772398,0.12597276264591398,0.12837499999999968
10,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",10,0.30377233620119065,0.32393773664282777,0.31079766536964876,0.31337499999999957,"","",10,0.11780277961614781,0.12242322254943172,0.11454280155641985,0.11749999999999963
11,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",11,0.28788881535407,0.292385359697099,0.28039883268482396,0.285375,"","",11,0.1111846459298474,0.11569204880100936,0.10335603112840433,0.10849999999999965
12,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",12,0.2574454003970888,0.2700883466554507,0.2594844357976645,0.2622500000000004,"","",12,0.10258107213765688,0.11064366848969259,0.09922178988326816,0.10324999999999969
13,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",13,0.23957643944407764,0.25326041228439533,0.2395428015564194,0.2436250000000007,"","",13,0.0979483785572466,0.10643668489692862,0.09508754863813199,0.09899999999999971
14,0.43348775645267584,0.4661337820782454,0.44674124513618524,0.44999999999999707,"","",14,0.2256783587028465,0.23811527135044475,0.2254377431906607,0.22925000000000062,"","",14,0.09530112508272644,0.10265039966344104,0.09143968871595301,0.09549999999999971
