"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717,"","",0,0.7034434293745695,0.7238930659983606,0.7116901745158739,0.7138749999999985,"","",0,0.37104708362613903,0.3692564745196403,0.37532871145111457,0.37275000000000336
1,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717,"","",1,0.903724525650057,0.906850459482082,0.9065264164474697,0.9061249999999877,"","",1,0.44834855938158424,0.42773600668338685,0.43820224719101836,0.4368750000000066
2,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717,"","",2,0.9613492621223025,0.9653299916458286,0.9631843174754307,0.9634999999999846,"","",2,0.4617006324666157,0.4356725146198953,0.4494382022471989,0.44750000000000706
3,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717,"","",3,0.9852424455376239,0.9841269841270328,0.9861343533348579,0.9853749999999831,"","",3,0.4659170765987309,0.43650793650794883,0.4515897681090207,0.44962500000000716
4,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717,"","",4,0.9943780744905408,0.9933166248956216,0.9937843652880003,0.9937499999999829,"","",4,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717
5,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717,"","",5,0.5903021784961362,0.5810359231412082,0.5845087257948813,0.5845000000000055,"","",5,0.2536893886155995,0.22681704260651628,0.2366722448003777,0.23674999999999727
6,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717,"","",6,0.402670414617003,0.39766081871346004,0.3930193640927605,0.3961250000000045,"","",6,0.16444132115249452,0.14452798663324978,0.15300023906287288,0.1524999999999996
7,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717,"","",7,0.3021784961349242,0.3045112781954923,0.3086301697346387,0.3062499999999999,"","",7,0.12227687983134254,0.11027568922305764,0.1204876882620136,0.11775000000000042
8,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717,"","",8,0.2550948699929712,0.257727652464495,0.26870666985416747,0.26299999999999774,"","",8,0.10611384399156731,0.09690893901420217,0.10781735596461928,0.10425000000000034
9,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717,"","",9,0.22768798313422242,0.23517126148705095,0.24575663399473538,0.2393749999999971,"","",9,0.09908643710470852,0.09189640768588136,0.1027970356203687,0.09887500000000031
10,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717,"","",10,0.21503865073787684,0.21804511278195488,0.2297394214678416,0.2236249999999975,"","",10,0.09697821503865088,0.09022556390977443,0.10184078412622573,0.09750000000000031
11,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717,"","",11,0.21011946591707578,0.2109440267335004,0.22017690652641247,0.2156249999999978,"","",11,0.09697821503865088,0.08897243107769423,0.09992828113793979,0.0961250000000003
12,0.4659170765987309,0.43734335839600236,0.45182883098255644,0.45000000000000717,"","",12,0.20660576247364645,0.20384294068504594,0.2153956490556979,0.2103749999999979,"","",12,0.096275474349965,0.0885547201336675,0.09873296677026108,0.09525000000000028
