"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",0,0.7023060796645806,0.7133361030328349,0.7068716962998293,0.7079999999999923,"","",0,0.36198462613556687,0.38388034898213347,0.36953387794329723,0.37249999999999933
1,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",1,0.9049615653389484,0.8969671790611033,0.9017299375299739,0.9008749999999828,"","",1,0.43605870020964027,0.4453676776069753,0.4296011532916911,0.43550000000000033
2,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",2,0.9657582110412588,0.9559617781471081,0.9622777510811409,0.9609999999999799,"","",2,0.4500349406009749,0.4570004154549184,0.44065353195579554,0.4472500000000006
3,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",3,0.988120195667396,0.9817199833818426,0.9889476213358216,0.9866249999999787,"","",3,0.45213137665967507,0.4590776900706225,0.44353676117251845,0.4497500000000007
4,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",4,0.9930118798043635,0.994183631076069,0.9961556943776272,0.9949999999999783,"","",4,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007
5,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",5,0.6044723969252306,0.6123805567096013,0.5951465641518425,0.601999999999998,"","",5,0.24668064290705638,0.25550477773161906,0.23498318116289676,0.24324999999999763
6,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",6,0.4095038434661045,0.42958039052762403,0.4022104757328235,0.4117499999999998,"","",6,0.16002795248078183,0.17573743248857604,0.1499279192695809,0.15949999999999964
7,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",7,0.3193570929419963,0.3277939343581223,0.31090821720326484,0.3174999999999982,"","",7,0.12508735150244532,0.13460739509763178,0.11773185968284511,0.12412500000000004
8,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",8,0.2634521313766579,0.28001661819692764,0.26790004805381484,0.2707499999999975,"","",8,0.10901467505241053,0.11840465309513881,0.10667948101874128,0.11062499999999997
9,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",9,0.2445842068483562,0.2584129621936048,0.2421912542047032,0.2474999999999974,"","",9,0.10272536687630995,0.11341919401744877,0.09923113887554087,0.10412499999999998
10,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",10,0.23270440251572178,0.24719567926880243,0.23185968284478065,0.23662499999999778,"","",10,0.0992313067784763,0.1105110095554629,0.0977895242671795,0.10187499999999998
11,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",11,0.22292103424178755,0.2397174906522671,0.22345026429600648,0.228249999999998,"","",11,0.09713487071977611,0.10843373493975872,0.09610764055742457,0.1
12,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",12,0.21593291404612025,0.2363938512671403,0.21816434406534843,0.22324999999999812,"","",12,0.09643605870020938,0.10760282509347704,0.09586737145603101,0.0995
13,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",13,0.21104122990915314,0.2339011217282952,0.2155213839500194,0.22024999999999817,"","",13,0.09573724668064265,0.10760282509347704,0.09586737145603101,0.099375
14,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",14,0.20894479385045295,0.23182384711259094,0.21335896203747748,0.21812499999999824,"","",14,0.09573724668064265,0.10760282509347704,0.09586737145603101,0.099375
15,0.4528301886792418,0.4590776900706225,0.443777030273912,0.4500000000000007,"","",15,0.20684835779175276,0.22974657249688668,0.21071600192214845,0.2157499999999983,"","",15,0.09573724668064265,0.10760282509347704,0.09562710235463745,0.09925
