"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",0,0.32011331444759256,0.30870821295914164,0.31836734693877544,0.3157500000000001,"","",0,0.18059490084985913,0.17911679735864572,0.183193277310926,0.1815000000000008
1,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",1,0.5233711048158619,0.5249690466364103,0.5265306122448834,0.5254999999999949,"","",1,0.2783286118980184,0.2959141560049521,0.2881152460984414,0.2887500000000011
2,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",2,0.6657223796034054,0.6677672307057518,0.6600240096038177,0.6633749999999932,"","",2,0.34135977337110485,0.366075113495669,0.35102040816326296,0.35387499999999955
3,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",3,0.756373937677065,0.7672307057367094,0.7575030012004496,0.7602499999999918,"","",3,0.3753541076487245,0.4023937267849813,0.39039615846338027,0.3913749999999984
4,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",4,0.826487252124661,0.8336772595955648,0.8268907563024855,0.8288749999999909,"","",4,0.39872521246458803,0.42591828312010405,0.41368547418966917,0.41474999999999784
5,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",5,0.6912181303116222,0.7156417664052999,0.6907563025209824,0.698374999999993,"","",5,0.3073654390934852,0.34461411473380266,0.3238895558223285,0.3272500000000004
6,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",6,0.5977337110481608,0.5988444077589887,0.5951980792316733,0.5967499999999941,"","",6,0.24716713881020025,0.2728023111844806,0.2614645858343376,0.2623750000000019
7,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",7,0.5120396600566545,0.5150639702847797,0.5212484993997457,0.5177499999999948,"","",7,0.1990084985835705,0.21873710276516556,0.21752701080432493,0.21462500000000137
8,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",8,0.4490084985835671,0.45893520429220613,0.4729891956782605,0.4644999999999959,"","",8,0.17138810198300344,0.18819645068097318,0.1906362545018027,0.1865000000000009
9,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",9,0.3973087818696872,0.41394964919521704,0.4244897959183599,0.41649999999999726,"","",9,0.14730878186968857,0.16343375980189828,0.16806722689075723,0.16300000000000045
10,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",10,0.351983002832861,0.38093272802311495,0.3879951980792268,0.37949999999999834,"","",10,0.1345609065155807,0.14692529921584835,0.1527010804321731,0.14775000000000016
11,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",11,0.31869688385269174,0.3508047874535718,0.35294117647058576,0.3462499999999994,"","",11,0.12252124645892332,0.13248039620305466,0.1346938775510198,0.13187499999999983
12,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",12,0.2924929178470266,0.32728023111844906,0.32124849939975963,0.31800000000000034,"","",12,0.11189801699716696,0.11968633924886578,0.1212484993997589,0.11912499999999966
13,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",13,0.26983002832861347,0.29962855963681356,0.2914765906362563,0.29012500000000113,"","",13,0.10339943342776188,0.11225753198514306,0.10996398559423683,0.10949999999999972
14,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",14,0.2443342776203985,0.2781675608749472,0.27226890756302835,0.2691250000000016,"","",14,0.09702549575070807,0.10482872472142034,0.1049219687875142,0.10349999999999974
15,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",15,0.2308781869688402,0.255468427569127,0.2501800720288162,0.24837500000000207,"","",15,0.09348441926345595,0.09822534048700014,0.09915966386554548,0.09787499999999975
16,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",16,0.216005665722381,0.23689640940982049,0.2316926770708322,0.23050000000000165,"","",16,0.08640226628895172,0.09286009079653373,0.0931572629051614,0.09187499999999979
17,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",17,0.20113314447592182,0.2174989682212118,0.21632653061224805,0.21400000000000136,"","",17,0.08356940509915002,0.08584399504746228,0.08811524609843877,0.0866249999999998
18,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",18,0.1855524079320122,0.20016508460585938,0.2021608643457408,0.19862500000000108,"","",18,0.07861189801699706,0.07965332232769334,0.0833133253301315,0.0813749999999998
19,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",19,0.17563739376770607,0.18737102765167069,0.18895558223289505,0.18612500000000085,"","",19,0.07436260623229451,0.0747007841518782,0.07923169267707032,0.07699999999999983
20,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",20,0.22804532577903844,0.23937267849772798,0.2400960384153704,0.23775000000000185,"","",20,0.1161473087818695,0.11473380107305063,0.11572629051620555,0.11549999999999969
21,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",21,0.3016997167138819,0.3095336359884442,0.311884753901561,0.30937500000000034,"","",21,0.16076487252124688,0.16302104828724703,0.1683073229291726,0.16537500000000052
22,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",22,0.383144475920679,0.3891869583161405,0.3882352941176421,0.38762499999999833,"","",22,0.20609065155807488,0.2183243912505143,0.2199279711884787,0.21700000000000144
23,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",23,0.45750708215297203,0.4609987618654625,0.45042016806721763,0.4548749999999967,"","",23,0.24716713881020025,0.2608336772595936,0.2578631452581074,0.2568750000000019
24,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",24,0.531161473087817,0.5220800660338514,0.5073229291716554,0.5159999999999956,"","",24,0.28966005665722494,0.294263309946347,0.2881152460984414,0.2902500000000011
25,0.4320113314447573,0.4614114733801138,0.44945978391355623,0.4499999999999968,"","",25,0.5538243626062319,0.5489063144861843,0.5231692677070685,0.5363749999999956,"","",25,0.2882436260623241,0.3021048287247212,0.2890756302521028,0.29287500000000116
