"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.635327635327634,0.6574394463667881,0.6507936507936486,0.6500000000000004,"","",0,0.5982905982905976,0.6435986159169609,0.5947712418300634,0.6095000000000005,"","",0,0.37891737891737953,0.43425605536332446,0.3828197945844992,0.39700000000000024
1,0.635327635327634,0.6574394463667881,0.6507936507936486,0.6500000000000004,"","",1,0.8005698005697965,0.8460207612456837,0.8422035480858981,0.8360000000000003,"","",1,0.5156695156695164,0.5588235294117693,0.5434173669467769,0.5430000000000005
2,0.635327635327634,0.6574394463667881,0.6507936507936486,0.6500000000000004,"","",2,0.9287749287749226,0.9480968858131593,0.9365079365079333,0.9385000000000002,"","",2,0.5868945868945864,0.6245674740484485,0.6087768440709597,0.6095000000000005
3,0.635327635327634,0.6574394463667881,0.6507936507936486,0.6500000000000004,"","",3,0.9743589743589675,0.9844290657439557,0.9822595704948612,0.9815000000000002,"","",3,0.6182336182336172,0.6453287197231893,0.6405228758169913,0.6380000000000005
4,0.635327635327634,0.6574394463667881,0.6507936507936486,0.6500000000000004,"","",4,0.9914529914529843,0.9965397923875545,0.9925303454715185,0.9935000000000003,"","",4,0.6296296296296284,0.6539792387543313,0.6442577030812303,0.6445000000000003
5,0.635327635327634,0.6574394463667881,0.6507936507936486,0.6500000000000004,"","",5,0.7635327635327601,0.7058823529411833,0.7450980392156837,0.737,"","",5,0.4729344729344738,0.45674740484429366,0.4799253034547136,0.4720000000000002
6,0.635327635327634,0.6574394463667881,0.6507936507936486,0.6500000000000004,"","",6,0.6182336182336172,0.5761245674740533,0.5919701213818841,0.5920000000000002,"","",6,0.37891737891737953,0.37024221453287365,0.38188608776843946,0.37799999999999995
7,0.635327635327634,0.6574394463667881,0.6507936507936486,0.6500000000000004,"","",7,0.5099715099715108,0.49307958477509006,0.5144724556489245,0.5075000000000002,"","",7,0.31623931623931667,0.31141868512110804,0.3323996265172725,0.3234999999999998
8,0.635327635327634,0.6574394463667881,0.6507936507936486,0.6500000000000004,"","",8,0.44444444444444525,0.44636678200692326,0.45751633986927953,0.4520000000000001,"","",8,0.27065527065527095,0.28546712802768204,0.2922502334267031,0.28649999999999964
9,0.635327635327634,0.6574394463667881,0.6507936507936486,0.6500000000000004,"","",9,0.41025641025641096,0.41176470588235525,0.4295051353874869,0.421,"","",9,0.25071225071225095,0.26989619377162644,0.2717086834733885,0.2674999999999997
