"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",0,0.6164383561643817,0.6044905008635592,0.6250000000000104,0.6175000000000055,"","",0,0.4082191780821907,0.3799654576856664,0.41950757575758035,0.40600000000000264
1,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",1,0.8520547945205451,0.8221070811744361,0.8645833333333506,0.8500000000000079,"","",1,0.5698630136986285,0.5146804835924036,0.5672348484848573,0.5525000000000052
2,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",2,0.9506849315068461,0.9205526770293566,0.948863636363656,0.9410000000000085,"","",2,0.6356164383561624,0.5906735751295352,0.6155303030303132,0.6120000000000054
3,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",3,0.9863013698630103,0.9654576856649344,0.9820075757575963,0.9780000000000089,"","",3,0.6602739726027377,0.6200345423143361,0.6382575757575866,0.6370000000000056
4,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",4,0.9972602739725993,0.9827288428324643,0.9962121212121422,0.9925000000000088,"","",4,0.6657534246575322,0.628670120898101,0.6467803030303141,0.6450000000000057
5,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",5,0.7397260273972579,0.7409326424870455,0.7282196969697103,0.7340000000000062,"","",5,0.48219178082191644,0.474956822107084,0.47159090909091517,0.47450000000000375
6,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",6,0.5671232876712312,0.6044905008635592,0.5899621212121307,0.590000000000005,"","",6,0.367123287671232,0.3937823834196908,0.38352272727273085,0.3835000000000022
7,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",7,0.48767123287671094,0.5250431778929215,0.5151515151515225,0.5130000000000045,"","",7,0.312328767123287,0.33333333333333415,0.3380681818181841,0.3320000000000013
8,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",8,0.4301369863013687,0.46977547495682487,0.4659090909090968,0.4605000000000037,"","",8,0.2739726027397255,0.2953367875647671,0.3106060606060621,0.2995000000000008
9,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",9,0.4027397260273962,0.42487046632124564,0.4375000000000051,0.4275000000000031,"","",9,0.2630136986301365,0.2659758203799653,0.2935606060606071,0.2800000000000004
10,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",10,0.4027397260273962,0.400690846286703,0.4176136363636409,0.41000000000000275,"","",10,0.2630136986301365,0.2504317789291879,0.28030303030303094,0.2685000000000001
11,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",11,0.3972602739726017,0.38860103626943165,0.41098484848485284,0.40200000000000263,"","",11,0.2630136986301365,0.2417962003454228,0.2755681818181823,0.26350000000000007
12,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",12,0.39452054794520447,0.38169257340241947,0.40435606060606477,0.39600000000000246,"","",12,0.2630136986301365,0.23661485319516373,0.2717803030303034,0.26
13,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",13,0.3863013698630127,0.3765112262521603,0.3977272727272767,0.38950000000000234,"","",13,0.257534246575342,0.2331606217616577,0.26893939393939426,0.2565
14,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",14,0.378082191780821,0.37305699481865423,0.39109848484848864,0.38350000000000223,"","",14,0.25479452054794477,0.22970639032815166,0.26515151515151536,0.25299999999999995
15,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",15,0.3753424657534237,0.36960276338514814,0.38636363636364,0.37950000000000217,"","",15,0.25479452054794477,0.22625215889464562,0.2632575757575759,0.2509999999999999
16,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",16,0.36986301369862923,0.36960276338514814,0.38352272727273085,0.3770000000000021,"","",16,0.24931506849315024,0.22625215889464562,0.2623106060606062,0.2494999999999999
17,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",17,0.367123287671232,0.36614853195164204,0.3787878787878822,0.37300000000000205,"","",17,0.24931506849315024,0.2245250431778926,0.259469696969697,0.24749999999999986
18,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",18,0.36438356164383473,0.36614853195164204,0.37594696969697305,0.371000000000002,"","",18,0.246575342465753,0.2245250431778926,0.25662878787878785,0.2454999999999998
19,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",19,0.36438356164383473,0.35924006908462985,0.3731060606060639,0.36750000000000194,"","",19,0.246575342465753,0.21934369602763354,0.2556818181818181,0.2434999999999998
20,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",20,0.531506849315067,0.4974093264248736,0.5388257575757656,0.5255000000000047,"","",20,0.36438356164383473,0.2987910189982732,0.36363636363636664,0.3450000000000015
21,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",21,0.6794520547945184,0.637305699481866,0.6761363636363755,0.6655000000000061,"","",21,0.46575342465753294,0.38514680483592556,0.4450757575757629,0.43150000000000305
22,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",22,0.7726027397260249,0.7322970639032805,0.767045454545469,0.7580000000000068,"","",22,0.5287671232876697,0.45077720207254135,0.513257575757583,0.4980000000000043
23,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",23,0.8493150684931479,0.8255613126079421,0.8380681818181983,0.8365000000000075,"","",23,0.5835616438356147,0.5198618307426626,0.5568181818181903,0.551000000000005
24,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",24,0.9013698630136956,0.8825561312607908,0.8882575757575937,0.8890000000000079,"","",24,0.6109589041095872,0.5544041450777224,0.5823863636363729,0.5795000000000052
25,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",25,0.8356164383561616,0.846286701208978,0.8551136363636533,0.8490000000000076,"","",25,0.5616438356164367,0.5440414507772044,0.5587121212121298,0.5550000000000049
26,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",26,0.7808219178082166,0.8065630397236592,0.7850378787878938,0.7905000000000069,"","",26,0.5232876712328752,0.5233160621761686,0.5113636363636436,0.5170000000000043
27,0.6657534246575322,0.640759930915372,0.6496212121212233,0.6500000000000057,"","",27,0.7260273972602717,0.7547495682210694,0.7414772727272865,0.7425000000000065,"","",27,0.4794520547945192,0.48704663212435534,0.47916666666667296,0.481500000000004
