"Prevalence of schistosomiasis by age group vs. time (d)","","","","","","","Prevalence of malaria by age group vs. time (d)","","","","","","","Prevalence of coinfection by age group vs. time (d)"
"Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All","","","Time (d)","0-4 y/o","5-15 y/o","16+ y/o","All"
0,0.0,0.0,0.0,0.0,"","",0,0.6040609137055827,0.6116152450090768,0.6066350710900521,0.6075000000000029,"","",0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,"","",1,0.8426395939086239,0.8439201451905662,0.8445497630331825,0.8440000000000036,"","",1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,"","",2,0.9213197969543077,0.927404718693289,0.9402843601895816,0.933000000000004,"","",2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,"","",3,0.9644670050761343,0.9673321234119825,0.9791469194312882,0.9730000000000042,"","",3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,"","",4,0.979695431472073,0.9927404718693329,0.9914691943128049,0.989500000000004,"","",4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,"","",5,0.6522842639593889,0.6678765880217813,0.6644549763033228,0.6630000000000031,"","",5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,"","",6,0.47715736040609225,0.5063520871143394,0.4824644549763068,0.4880000000000025,"","",6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,"","",7,0.37563451776649803,0.4065335753176057,0.38293838862559487,0.38800000000000184,"","",7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,"","",8,0.3096446700507618,0.33756805807622603,0.31469194312796384,0.32000000000000123,"","",8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,"","",9,0.26649746192893425,0.3030852994555362,0.2767772511848355,0.282000000000001,"","",9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,"","",10,0.24619289340101544,0.28130671506352156,0.26255924170616235,0.26450000000000085,"","",10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,"","",11,0.2309644670050763,0.2667876588021785,0.25308056872038026,0.2525000000000008,"","",11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,"","",12,0.21319796954314732,0.25952813067150693,0.2436018957345982,0.24200000000000071,"","",12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,"","",13,0.2081218274111676,0.25589836660617116,0.24075829383886357,0.2385000000000007,"","",13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,"","",14,0.20558375634517775,0.25408348457350327,0.23981042654028537,0.23700000000000068,"","",14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,"","",15,0.2030456852791879,0.2486388384754996,0.23791469194312895,0.23400000000000068,"","",15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,"","",16,0.20050761421319804,0.24500907441016384,0.23507109004739432,0.23100000000000065,"","",16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,"","",17,0.20050761421319804,0.24500907441016384,0.23507109004739432,0.23100000000000065,"","",17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,"","",18,0.19543147208121833,0.24319419237749595,0.23127962085308149,0.22750000000000062,"","",18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,"","",19,0.19543147208121833,0.23956442831216018,0.22748815165876865,0.22450000000000062,"","",19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,"","",20,0.39086294416243716,0.4446460980036313,0.4407582938388656,0.43200000000000216,"","",20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,"","",21,0.5812182741116745,0.6116152450090768,0.6303317535545073,0.6155000000000032,"","",21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,"","",22,0.7284263959390829,0.7459165154265004,0.7488151658767834,0.7440000000000034,"","",22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,"","",23,0.8197969543147157,0.8402903811252305,0.8454976303317607,0.8390000000000039,"","",23,0.0,0.0,0.0,0.0
